"","GCAM_region_ID","year","sce","shares"
"1",5,2015,"SSP5",0.0167697525366607
"2",5,2015,"SSP1",0.0167653204092398
"3",5,2015,"SSP2",0.0167589693869939
"4",5,2015,"SSP3",0.016798587315972
"5",5,2015,"SSP4",0.0167819147830859
"6",4,2015,"SSP5",0.00996489974108974
"7",4,2015,"SSP1",0.00998503468057326
"8",4,2015,"SSP4",0.0100171387882078
"9",4,2015,"SSP2",0.00998321119382632
"10",4,2015,"SSP3",0.010020442238412
"11",2,2015,"SSP1",0.0249514688204543
"12",2,2015,"SSP4",0.024880131379193
"13",2,2015,"SSP3",0.0249126430705899
"14",2,2015,"SSP5",0.0249579955162954
"15",2,2015,"SSP2",0.024963317204842
"16",9,2015,"SSP2",0.00697585921629707
"17",9,2015,"SSP5",0.00694106482901547
"18",9,2015,"SSP3",0.00701501249857053
"19",9,2015,"SSP1",0.00698340428028403
"20",9,2015,"SSP4",0.00706126054736216
"21",4,2015,"SSP5",0.0155216094991096
"22",4,2015,"SSP1",0.0155450670477777
"23",4,2015,"SSP4",0.0155973934282735
"24",4,2015,"SSP3",0.0156069536766941
"25",4,2015,"SSP2",0.0155575676650927
"26",4,2015,"SSP2",0.0213325603723351
"27",4,2015,"SSP4",0.0214166033008769
"28",4,2015,"SSP1",0.0213077687527822
"29",4,2015,"SSP3",0.0213713757816718
"30",4,2015,"SSP5",0.0213041375631591
"31",5,2015,"SSP5",0.0251296374252997
"32",5,2015,"SSP4",0.0251333412792958
"33",5,2015,"SSP1",0.0251264425998394
"34",5,2015,"SSP2",0.0251114734627672
"35",5,2015,"SSP3",0.0251719766136918
"36",2,2015,"SSP3",0.0352304420147944
"37",2,2015,"SSP1",0.0353273258819268
"38",2,2015,"SSP2",0.035307749158786
"39",2,2015,"SSP5",0.0353236742515768
"40",2,2015,"SSP4",0.0352280862726186
"41",24,2015,"SSP2",0.00446137330186256
"42",24,2015,"SSP1",0.00446137330186256
"43",24,2015,"SSP5",0.00446137330186256
"44",24,2015,"SSP4",0.00446137330186256
"45",24,2015,"SSP3",0.00446137330186256
"46",27,2015,"SSP5",0.0300554939184919
"47",27,2015,"SSP1",0.0300629033688527
"48",27,2015,"SSP2",0.0300551957798267
"49",27,2015,"SSP4",0.0300810505465363
"50",27,2015,"SSP3",0.0301145443790548
"51",2,2015,"SSP3",0.0418201314497876
"52",2,2015,"SSP1",0.0419594480874727
"53",2,2015,"SSP2",0.0419243825661453
"54",2,2015,"SSP5",0.0419532744068876
"55",2,2015,"SSP4",0.0418183240267424
"56",4,2015,"SSP5",0.027717497071376
"57",4,2015,"SSP1",0.0277339530294258
"58",4,2015,"SSP4",0.0278519581673825
"59",4,2015,"SSP3",0.0278219848902955
"60",4,2015,"SSP2",0.0277676188744564
"61",17,2015,"SSP1",0.016008409368598
"62",17,2015,"SSP5",0.016008409368598
