"","state","year","gini","gross_income","income_after_federal","state_net_income","Quintile","shares"
"1","Alabama",2015,0.302183967913003,9456,25590.6496,25334.743104,"q1",8.50132253150159
"2","Alabama",2015,0.302183967913003,25610,36439.676,35710.88248,"q2",11.9831382777707
"3","Alabama",2015,0.302183967913003,44845,49357.902,48370.74396,"q3",16.2312794649067
"4","Alabama",2015,0.302183967913003,72160,67702.656,65671.57632,"q4",22.0367441326175
"5","Alabama",2015,0.302183967913003,159466,126337.3656,122921.487493249,"q5",41.2475155932035
"6","Alabama",2014,0.295296880503688,9142,25379.7672,25125.969528,"q1",8.70293159909797
"7","Alabama",2014,0.295296880503688,24679,35814.4164,35098.128072,"q2",12.1570078132348
"8","Alabama",2014,0.295296880503688,43032,48140.2912,47177.485376,"q3",16.3409586160337
"9","Alabama",2014,0.295296880503688,69786,66108.2776,64125.029272,"q4",22.2111128059142
"10","Alabama",2014,0.295296880503688,150680,120436.688,117180.350939028,"q5",40.5879891657193
"11","Alabama",2013,0.317211336306183,11544,26992.9504,26723.020896,"q1",7.96482227877407
"12","Alabama",2013,0.317211336306183,30919,40005.2004,39205.096392,"q2",11.6851169783438
"13","Alabama",2013,0.317211336306183,52717,54644.7372,53551.842456,"q3",15.9611785479984
"14","Alabama",2013,0.317211336306183,83937,75612.0892,73343.726524,"q4",21.8601687773297
"15","Alabama",2013,0.317211336306183,189718,146654.6088,142689.398150918,"q5",42.5287134175541
"16","Alabama",2012,0.290023102952987,8775,25133.29,24881.9571,"q1",8.82760073181537
"17","Alabama",2012,0.290023102952987,23941,35318.7756,34612.400088,"q2",12.2797594706373
"18","Alabama",2012,0.290023102952987,42001,47447.8716,46498.914168,"q3",16.4968473777353
"19","Alabama",2012,0.290023102952987,68058,64947.7528,62999.320216,"q4",22.3508481671095
"20","Alabama",2012,0.290023102952987,144088,116009.5008,112872.864919745,"q5",40.0449442527026
"21","Alabama",2011,0.289672669508876,9122,25366.3352,25112.671848,"q1",8.92635839468971
"22","Alabama",2011,0.289672669508876,23818,35236.1688,34531.445424,"q2",12.2742836607344
"23","Alabama",2011,0.289672669508876,41605,47181.918,46238.27964,"q3",16.4355054738389
"24","Alabama",2011,0.289672669508876,67148,64336.5968,62406.498896,"q4",22.182537114141
"25","Alabama",2011,0.289672669508876,144348,116184.1168,113042.759695991,"q5",40.181315356596
"26","Alaska",2015,0.305431013994769,18458,31636.3928,31636.3928,"q1",7.75254318781441
"27","Alaska",2015,0.305431013994769,45286,49654.0776,49654.0776,"q2",12.1678025519107
"28","Alaska",2015,0.305431013994769,73491,68596.5556,68596.5556,"q3",16.809683808968
"29","Alaska",2015,0.305431013994769,108123,91855.4068,91855.4068,"q4",22.509298476382
"30","Alaska",2015,0.305431013994769,219022,166335.1752,166335.1752,"q5",40.7606719749249
"31","Alaska",2014,0.294384339009014,17950,31295.22,31295.22,"q1",7.91524597409873
"32","Alaska",2014,0.294384339009014,44826,49345.1416,49345.1416,"q2",12.4804661347877
"33","Alaska",2014,0.294384339009014,71820,67474.312,67474.312,"q3",17.0657300512053
"34","Alaska",2014,0.294384339009014,107757,91609.6012,91609.6012,"q4",23.1700728445779
"35","Alaska",2014,0.294384339009014,203119,155654.7204,155654.7204,"q5",39.3684849953304
"36","Alaska",2013,0.296735764794863,9089,25344.1724,25344.1724,"q1",8.58230656326089
"37","Alaska",2013,0.296735764794863,24930,35982.988,35982.988,"q2",12.1849326623953
"38","Alaska",2013,0.296735764794863,43212,48261.1792,48261.1792,"q3",16.3427011330964
"39","Alaska",2013,0.296735764794863,69172,65695.9152,65695.9152,"q4",22.246632294862
"40","Alaska",2013,0.296735764794863,150064,120022.9824,120022.9824,"q5",40.6434273463854
"41","Alaska",2012,0.29496568889834,16888,30581.9808,30581.9808,"q1",8.03201850863977
"42","Alaska",2012,0.29496568889834,41522,47126.1752,47126.1752,"q2",12.3771679121517
"43","Alaska",2012,0.29496568889834,67807,64779.1812,64779.1812,"q3",17.0135344003921
"44","Alaska",2012,0.29496568889834,101587,87465.8292,87465.8292,"q4",22.9719312036166
"45","Alaska",2012,0.29496568889834,195887,150797.7092,150797.7092,"q5",39.6053479751998
"46","Alaska",2011,0.283151401106945,17365,30902.334,30902.334,"q1",8.26734849336952
"47","Alaska",2011,0.283151401106945,42895,48048.282,48048.282,"q2",12.8544300829088
"48","Alaska",2011,0.283151401106945,68144,65005.5104,65005.5104,"q3",17.391023230354
"49","Alaska",2011,0.283151401106945,98234,85213.9544,85213.9544,"q4",22.7974190403514
"50","Alaska",2011,0.283151401106945,186685,144617.646,144617.646,"q5",38.6897791530163
"51","Arizona",2015,0.304806181341868,11593,27025.8588,27025.8588,"q1",8.24349465578428
"52","Arizona",2015,0.304806181341868,31138,40152.2808,39750.757992,"q2",12.1248750500549
"53","Arizona",2015,0.304806181341868,51612,53902.6192,53363.593008,"q3",16.2770958373724
"54","Arizona",2015,0.304806181341868,80418,73248.7288,71783.754224,"q4",21.8956592164863
"55","Arizona",2015,0.304806181341868,178429,139072.9164,135920.717491461,"q5",41.4588752403022
"56","Arizona",2014,0.300694711650168,11108,26700.1328,26700.1328,"q1",8.35713161793072
"57","Arizona",2014,0.300694711650168,30066,39432.3256,39038.002344,"q2",12.2188801881126
"58","Arizona",2014,0.300694711650168,49927,52770.9732,52243.263468,"q3",16.3521219996444
"59","Arizona",2014,0.300694711650168,78324,71842.3984,70405.550432,"q4",22.0369110521084
"60","Arizona",2014,0.300694711650168,171088,134142.7008,131102.249172207,"q5",41.0349551422038
"61","Arizona",2013,0.283658611502794,18887,31924.5092,31924.5092,"q1",8.23271038606243
"62","Arizona",2013,0.283658611502794,46024,50149.7184,49648.221216,"q2",12.8033112081325
"63","Arizona",2013,0.283658611502794,72626,68015.6216,67335.465384,"q3",17.3645076810516
"64","Arizona",2013,0.283658611502794,106954,91070.3064,89248.900272,"q4",23.0155565935512
"65","Arizona",2013,0.283658611502794,199299,153089.2084,149619.319020247,"q5",38.5839141312023
"66","Arizona",2012,0.292169735836801,10983,26616.1828,26616.1828,"q1",8.62057456078248
"67","Arizona",2012,0.292169735836801,29061,38757.3676,38369.793924,"q2",12.4273894528445
"68","Arizona",2012,0.292169735836801,48047,51508.3652,50993.281548,"q3",16.5159440400112
"69","Arizona",2012,0.292169735836801,75312,69819.5392,68423.148416,"q4",22.161211359114
"70","Arizona",2012,0.292169735836801,160800,127233.28,124349.435922176,"q5",40.2748805872479
"71","Arizona",2011,0.28954631145438,10479,26277.6964,26277.6964,"q1",8.68853237661838
"72","Arizona",2011,0.28954631145438,28077,38096.5132,37715.548068,"q2",12.4703762271462
"73","Arizona",2011,0.28954631145438,46871,50718.5636,50211.377964,"q3",16.6020330121036
"74","Arizona",2011,0.28954631145438,73568,68648.2688,67275.303424,"q4",22.2440979242857
"75","Arizona",2011,0.28954631145438,155638,123766.4808,120961.214499483,"q5",39.9949604598461
"76","Arkansas",2015,0.290536500579334,9803,25823.6948,25823.6948,"q1",8.9730289950853
"77","Arkansas",2015,0.290536500579334,25196,36161.6336,35800.017264,"q2",12.4395287127707
"78","Arkansas",2015,0.290536500579334,42291,47642.6356,46689.782888,"q3",16.2234249929356
"79","Arkansas",2015,0.290536500579334,67253,64407.1148,62474.901356,"q4",21.7083227506422
"80","Arkansas",2015,0.290536500579334,151830,121209.028,117003.995917013,"q5",40.6556945485662
"81","Arkansas",2014,0.284313666397331,9962,25930.4792,25930.4792,"q1",9.17399766935847
"82","Arkansas",2014,0.284313666397331,24932,35984.3312,35624.487888,"q2",12.6036609788762
"83","Arkansas",2014,0.284313666397331,41581,47165.7996,46222.483608,"q3",16.3531477232304
"84","Arkansas",2014,0.284313666397331,65540,63256.664,61358.96408,"q4",21.7083143401442
"85","Arkansas",2014,0.284313666397331,146449,117595.1484,113515.490473648,"q5",40.1608792883908
"86","Arkansas",2013,0.296045345568388,10979,26613.4964,26613.4964,"q1",8.55633359054354
"87","Arkansas",2013,0.296045345568388,29187,38841.9892,38453.569308,"q2",12.3629590716361
"88","Arkansas",2013,0.296045345568388,48540,51839.464,50802.67472,"q3",16.3332403102132
"89","Arkansas",2013,0.296045345568388,76430,70570.388,68453.27636,"q4",22.0079714103942
"90","Arkansas",2013,0.296045345568388,166810,131269.596,126715.53866773,"q5",40.739495617213
"91","Arkansas",2012,0.274814598604833,9215,25428.794,25428.794,"q1",9.38362936297468
"92","Arkansas",2012,0.274814598604833,23407,34960.1412,34610.539788,"q2",12.7718395698624
"93","Arkansas",2012,0.274814598604833,40008,46109.3728,45187.185344,"q3",16.6747899732932
"94","Arkansas",2012,0.274814598604833,63270,61732.132,59880.16804,"q4",22.0967342407195
"95","Arkansas",2012,0.274814598604833,134678,109689.7448,105884.3442975,"q5",39.0730068531502
"96","Arkansas",2011,0.275980132006004,8844,25179.6304,25179.6304,"q1",9.39531800533984
"97","Arkansas",2011,0.275980132006004,22699,34484.6484,34139.801916,"q2",12.7386419317787
"98","Arkansas",2011,0.275980132006004,38870,45345.092,44438.19016,"q3",16.5812969254292
"99","Arkansas",2011,0.275980132006004,62044,60908.7504,59081.487888,"q4",22.0451753309451
"100","Arkansas",2011,0.275980132006004,133565,108942.254,105162.78574733,"q5",39.2395678065072
"101","California",2015,0.334190163789509,13826,28525.5416,28810.797016,"q1",7.31811206615852
"102","California",2015,0.334190163789509,37304,44293.3664,43850.432736,"q2",11.138268085169
"103","California",2015,0.334190163789509,64721,62706.6236,62079.557364,"q3",15.7685730649857
"104","California",2015,0.334190163789509,104312,89295.9392,87510.020416,"q4",22.2280604025102
"105","California",2015,0.334190163789509,238624,179499.8784,171440.854409487,"q5",43.5469863811766
"106","California",2014,0.332221978740978,13190,28098.404,28379.38804,"q1",7.40244851464139
"107","California",2014,0.332221978740978,35772,43264.4752,42831.830448,"q2",11.1722077739055
"108","California",2014,0.332221978740978,62428,61166.6448,60554.978352,"q3",15.7950942749047
"109","California",2014,0.332221978740978,100828,86956.0848,85216.963104,"q4",22.2278993846639
"110","California",2014,0.332221978740978,230758,174217.0728,166395.231460791,"q5",43.4023500518844
"111","California",2013,0.276370828783488,9369,25532.2204,25787.542604,"q1",9.34885083008201
"112","California",2013,0.276370828783488,24025,35375.19,35021.4381,"q2",12.6964482688267
"113","California",2013,0.276370828783488,40561,46480.7676,46015.959924,"q3",16.6823319204436
"114","California",2013,0.276370828783488,63796,62085.3936,60843.685728,"q4",22.0578808364326
"115","California",2013,0.276370828783488,139983,113252.5828,108167.87026477,"q5",39.2144881442151
"116","California",2012,0.32164756816686,12521,27649.1036,27925.594636,"q1",7.70417781444305
"117","California",2012,0.32164756816686,33835,41963.586,41543.95014,"q2",11.4612413151737
"118","California",2012,0.32164756816686,58604,58598.4464,58012.461936,"q3",16.0046125439487
"119","California",2012,0.32164756816686,94597,82771.3452,81115.918296,"q4",22.3784476670944
"120","California",2012,0.32164756816686,211240,161108.784,153875.466813874,"q5",42.4515206593401
"121","California",2011,0.319559645228949,12502,27636.3432,27912.706632,"q1",7.79227200967293
"122","California",2011,0.319559645228949,33307,41608.9812,41192.891388,"q2",11.4996449033796
"123","California",2011,0.319559645228949,57726,58008.7816,57428.693784,"q3",16.0321250470248
"124","California",2011,0.319559645228949,93144,81795.5104,80159.600192,"q4",22.3778158498827
"125","California",2011,0.319559645228949,207562,158638.6392,151516.224351974,"q5",42.29814219004
"126","Colorado",2015,0.312301751416135,15334,29538.3144,29538.3144,"q1",7.88596983835891
"127","Colorado",2015,0.312301751416135,39105,45502.918,44592.85964,"q2",11.9051460203569
"128","Colorado",2015,0.312301751416135,64031,62243.2196,60998.355208,"q3",16.2849911760636
"129","Colorado",2015,0.312301751416135,98394,85321.4104,82761.768088,"q4",22.0952623793327
"130","Colorado",2015,0.312301751416135,212709,162095.3644,156676.637939631,"q5",41.8286305858878
"131","Colorado",2014,0.309509341831399,14379,28896.9364,28896.9364,"q1",7.96607894016334
"132","Colorado",2014,0.309509341831399,37312,44298.7392,43412.764416,"q2",11.9676876317093
"133","Colorado",2014,0.309509341831399,61474,60525.9384,59315.419632,"q3",16.35160588018
"134","Colorado",2014,0.309509341831399,94702,82841.8632,80356.607304,"q4",22.1520741260091
"135","Colorado",2014,0.309509341831399,203607,155982.4612,150768.08450893,"q5",41.5625534219383
"136","Colorado",2013,0.334731418992359,12707,27774.0212,27774.0212,"q1",7.43104116025695
"137","Colorado",2013,0.334731418992359,34503,42412.2148,41563.970504,"q2",11.1205926349235
"138","Colorado",2013,0.334731418992359,60143,59632.0388,58439.398024,"q3",15.6356751141596
"139","Colorado",2013,0.334731418992359,97342,84614.8872,82076.440584,"q4",21.9598524777927
"140","Colorado",2013,0.334731418992359,223841,169571.6156,163902.963669204,"q5",43.8528386128672
"141","Colorado",2012,0.303491925472378,13368,28217.9488,28217.9488,"q1",8.20753486573187
"142","Colorado",2012,0.303491925472378,34477,42394.7532,41546.858136,"q2",12.0844108524584
"143","Colorado",2012,0.303491925472378,57158,57627.3128,56474.766544,"q3",16.4263752383004
"144","Colorado",2012,0.303491925472378,88465,78653.094,76293.50118,"q4",22.190896135002
"145","Colorado",2012,0.303491925472378,188979,146158.2964,141272.33417007,"q5",41.0907829085073
"146","Colorado",2011,0.302679799539197,12738,27794.8408,27794.8408,"q1",8.21230997221812
"147","Colorado",2011,0.302679799539197,33719,41885.6804,41047.966792,"q2",12.1281006590698
"148","Colorado",2011,0.302679799539197,55776,56699.1616,55565.178368,"q3",16.4173801786843
"149","Colorado",2011,0.302679799539197,87010,77675.916,75345.63852,"q4",22.2617478917504
"150","Colorado",2011,0.302679799539197,185016,143496.7456,138699.757017151,"q5",40.9804612982774
"151","Connecticut",2015,0.343968259633131,14821,29193.7836,29485.721436,"q1",7.00016927540805
"152","Connecticut",2015,0.343968259633131,41544,47140.9504,46669.540896,"q2",11.0797589601694
"153","Connecticut",2015,0.343968259633131,71627,67344.6932,65324.352404,"q3",15.5085750785158
"154","Connecticut",2015,0.343968259633131,113453,95435.0348,91617.633408,"q4",21.7508309525454
"155","Connecticut",2015,0.343968259633131,265290,197408.764,188117.157907363,"q5",44.6606657333614
"156","Connecticut",2014,0.349275851268908,14450,28944.62,29234.0662,"q1",6.9628022463216
"157","Connecticut",2014,0.349275851268908,40217,46249.7372,45787.239828,"q2",10.9053422177468
"158","Connecticut",2014,0.349275851268908,70039,66278.1924,64289.846628,"q3",15.3121870031583
"159","Connecticut",2014,0.349275851268908,111294,93985.0504,90225.648384,"q4",21.4894275379296
"160","Connecticut",2014,0.349275851268908,268738,199724.4408,190323.840779092,"q5",45.3302409948437
"161","Connecticut",2013,0.304201399892956,13857,28546.3612,28831.824812,"q1",8.22634565833751
"162","Connecticut",2013,0.304201399892956,35333,42969.6428,42539.946372,"q2",12.1375703905346
"163","Connecticut",2013,0.304201399892956,58843,58758.9588,56996.190036,"q3",16.2622506033431
