model,scenario,year,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
Nrao,SSP1,2011,49.27808754,33.8,48.72,29.215,41.48045057,43.57,31.32,34.94,26.106634,16.64,39.36,27.500149,49.44,45.76,37.98,36.457249,41.48045057,43,33.04,36.966496,53.26,54.783241,57.863876,47,45.31845975,44.538,66.46,62.24,28.814909,31.83,55.181377,46.56221,49.18,48.82,48.36375,46.16,54.926247,61.93,53.19,45.447083,27,32.63,26.892487,29.148983,50.617,23.685022,51.173512,41.33,40.036739,36.75,49.92132765,32.634968,35.029377,39.17,24.807383,48.78,28.111074,48.18,33.933167,41.58,48.77,40.856,53.33,56.66,49.92132765,34.031994,55.19928,44.55,54.7,57.4,31.98,60.67090909,26.491692,41.57,37.028835,31.613169,45.685,36.9,27.03,36.961308,31.506916,60.707535,39.66,32.11,27.42,54.51,27.77,37.7,38.65,41.48045057,43.64,43,42.48,41.48045057,42.58,43.78666667,60.18,35.764088,28.509956,36.03,44.13888714,46.72,30.63,46.63,42.78,54.873459,44.05,39.04,27.524786,44.1,30.63,39.88,51.58,43.48,41.80833333,52.12,52.26,66.97,42.1,37.45,48.97,45.73,26.849291,25.54,38.75,32.766598,41.48045057,35.59,53.756649,47.856544,43.864613,49.88,36.523933,55.8,37.222191,52.6,40.46,42.1,46.4,27.21,41.04,57.34,41.48045057,41.39,46.28,53.3,46.1,39.99,42.43,45.7,29.65,36.82,57.61,27.051746,24.87,27.24,57.45,41.77,49.32,52.02,41.986904,30.77,40.77,37.56,38.1,40.27,41.81,40.04,39.8,43.78,48.98,24.55,43.37,40.259327,35.27,49.27808754,46.94,46.69,43.18,48.69,41.89,69.38,61.62,45.43333333
Nrao,SSP1,2012,49.1026321,33.6651555,48.67661751,29.20828396,41.29670831,43.27355836,31.14374872,34.72922219,26.634933,16.7328895,39.2251555,27.366737,49.39255503,45.65796361,37.8451555,36.566883,41.29670831,42.75556139,32.84914086,37.46426,53.20559944,54.507,57.20129,46.784971,45.05675231,44.25725793,66.40559944,62.18559944,28.168718,31.60546651,55.182858,46.706303,49.13402203,48.77605327,48.32237759,46.11645974,54.652508,61.87559944,53.13559944,45.088871,26.8651555,32.39506931,27.118067,29.540003,50.562914,23.949938,51.153431,41.05871686,39.349384,36.6151555,49.82337983,31.979422,35.358841,39.0351555,25.085974,48.73627897,28.465889,48.13966436,33.723827,41.65704514,48.72633539,40.6590524,53.27559944,56.60559944,49.82337983,33.149071,54.849777,44.27101281,54.64559944,57.34559944,31.74126586,60.61650854,26.71574,41.26107862,36.841217,31.112347,45.57199559,36.7651555,27.1228895,37.027214,31.350309,61.125591,39.5251555,31.9829374,27.50928306,54.45559944,27.70150139,37.5651555,38.5151555,41.29670831,43.33717203,42.75556139,42.28300275,41.29670831,42.37387942,43.47045779,60.12559944,35.985756,27.704792,36.10704514,44.012879,46.4603887,30.51849449,46.35605868,42.55563274,54.846306,44.12704514,38.9051555,27.61573,43.75520467,30.4951555,39.7451555,51.53181843,43.19176937,41.67261451,52.06687982,52.20559944,66.91559944,42.00642041,37.3151555,48.92520692,45.6235764,26.75708,25.6328895,38.6151555,32.555305,41.29670831,35.4551555,53.967205,47.552914,43.43948,49.8300724,36.736073,55.87704514,37.022118,52.54559944,40.3251555,42.00642041,46.0894375,27.3028895,41.11704514,57.28559944,41.29670831,41.1093073,45.9503308,53.24559944,46.04768532,39.8551555,42.23756442,45.58918919,29.61106953,36.6851555,57.55559944,27.337002,24.9628895,27.3328895,57.39559944,41.42971341,49.27323211,51.96779438,40.701477,30.64581777,40.84704514,37.4251555,37.9651555,40.1351555,41.67412912,40.11704514,39.6651555,43.46439935,48.9351505,24.6428895,43.09180504,40.167362,35.16642487,49.1026321,46.71541765,46.42561203,42.91913938,48.64678678,41.74683045,69.32559944,61.56559944,45.2835251
Nrao,SSP1,2013,49.03290011,33.56930617,48.58610112,29.16870688,41.22977446,43.24255108,31.09742699,34.68809036,26.592031,16.70297761,39.12930617,27.234299,49.31428748,45.57513466,37.74930617,36.640442,41.22977446,42.70368751,32.80872155,37.53833,53.14830378,54.322598,56.843933,46.73529337,44.9777305,44.2268601,66.34830378,62.12830378,28.136391,31.56193728,55.218697,46.319786,49.05133129,48.68723811,48.22580057,46.01646839,54.520172,61.81830378,53.07830378,45.327019,26.76930617,32.35214142,27.00139,29.455011,50.5046699,23.942957,50.844185,41.01761455,39.156185,36.51930617,49.75216425,32.014999,35.125793,38.93930617,25.131369,48.64678331,28.364538,48.03996135,33.583172,41.62620921,48.63666961,40.5881224,53.21830378,56.54830378,49.75216425,32.867195,54.806759,44.24010012,54.58830378,57.28830378,31.69855796,60.55921287,26.631929,41.23507893,36.543476,31.036804,45.49238458,36.66930617,27.09297761,36.943058,31.214849,61.147034,39.42930617,31.93377075,27.47902122,54.39830378,27.65592926,37.46930617,38.41930617,41.22977446,43.30872731,42.70368751,42.21209267,41.22977446,42.30663014,43.44738226,60.06830378,35.982857,27.511337,36.07620921,43.89930737,46.42379124,30.4687492,46.32366556,42.49570508,54.786205,44.09620921,38.80930617,27.535107,43.74359967,30.39930617,39.64930617,51.4557718,43.15746736,41.57711601,52.00572367,52.14830378,66.85830378,41.90978725,37.21930617,48.8389436,45.54203463,26.654318,25.60297761,38.51930617,32.603443,41.22977446,35.35930617,53.965061,47.535175,43.331184,49.75929025,36.788715,55.84620921,36.515358,52.48830378,40.22930617,41.90978725,46.0677888,27.27297761,41.08620921,57.22830378,41.22977446,41.07198064,45.93428789,53.18830378,45.95026833,39.75930617,42.16482394,45.5089346,29.56836653,36.58930617,57.49830378,27.343157,24.93297761,27.30297761,57.33830378,41.41629925,49.19292308,51.90388073,40.501995,30.59648452,40.81620921,37.32930617,37.86930617,40.03930617,41.57869163,40.08620921,39.56930617,43.44107977,48.8490573,24.61297761,43.05347614,40.278095,35.12912786,49.03290011,46.66854292,46.39041601,42.87385495,48.55576002,41.65432161,69.26830378,61.50830378,45.21471211
Nrao,SSP1,2014,48.97502715,33.47103,48.55882128,29.21031524,41.1712609,43.19066095,31.13286364,34.7237427,26.708775,16.75190589,39.03103,27.381855,49.2855269,45.54668273,37.65103,36.650692,41.1712609,42.63687004,32.84342443,37.482784,53.11700794,54.120655,56.824394,46.70239247,44.92894362,44.19137181,66.31700794,62.09700794,28.146719,31.5986694,55.151928,46.264843,49.02310543,48.65975262,48.1992534,45.99031969,54.408348,61.78700794,53.04700794,45.192547,26.67103,32.38915251,27.10144,29.63509,50.47348872,24.053181,50.698563,40.95850273,39.101265,36.42103,49.70807504,32.098282,35.190586,38.84103,25.187254,48.61938008,28.445055,48.01379207,33.593086,41.64814193,48.60928695,40.50767276,53.18700794,56.51700794,49.70807504,32.968697,54.76659,44.20468092,54.55700794,57.25700794,31.7356711,60.52791704,26.650032,41.18677107,35.919109,31.093987,45.4635008,36.57103,27.14190589,37.032688,31.243074,61.145279,39.33103,31.96788761,27.52768447,54.36700794,27.69299727,37.37103,38.32103,41.1712609,43.25867036,42.63687004,42.13165729,41.1712609,42.22881359,43.40116626,60.03700794,36.095604,27.545946,36.09814193,43.83274042,46.38913495,30.50265667,46.28844503,42.42312619,54.836025,44.11814193,38.71103,27.581314,43.70558933,30.30103,39.55103,51.42674274,43.10322028,41.47909081,51.97489452,52.11700794,66.82700794,41.84740207,37.12103,48.81114962,45.51340996,26.713699,25.65190589,38.42103,32.70697,41.1712609,35.26103,53.939537,47.486099,43.171455,49.72962478,36.854771,55.86814193,36.497433,52.45700794,40.13103,41.84740207,46.03112636,27.32190589,41.10814193,57.19700794,41.1712609,41.01556982,45.89687313,53.15700794,45.92377415,39.66103,42.08307914,45.48013718,29.60760748,36.49103,57.46700794,27.583836,24.98190589,27.35190589,57.30700794,41.37699469,49.1644093,51.87338493,40.568134,30.6305241,40.83814193,37.23103,37.77103,39.94103,41.48071008,40.10814193,39.47103,43.39468918,48.82124276,24.66190589,42.99634835,40.404778,35.15967018,48.97502715,46.63526585,46.35557164,42.81175138,48.52854188,41.55843512,69.23700794,61.47700794,45.18437921
Nrao,SSP1,2015,48.91626483,33.37874433,48.5059257,29.23511884,41.08752233,43.10998131,31.13467942,34.69407455,26.822889,16.76677883,38.93874433,27.331863,49.24392855,45.48108641,37.55874433,36.742401,41.08752233,42.55245551,32.81688612,37.473598,53.09475217,53.912163,56.85302,46.63139201,44.84794803,44.11722847,66.29475217,62.07475217,28.223019,31.57456758,55.112892,46.056538,48.97742752,48.6084261,48.14076804,45.92752108,54.236568,61.76475217,53.02475217,45.09193,26.57874433,32.35946952,27.15427,29.710863,50.4503582,24.103361,50.705051,40.8760162,38.999905,36.32874433,49.65567355,31.988317,35.148479,38.74874433,25.280981,48.56742594,28.419847,47.95242357,33.579544,41.66369971,48.5571759,40.41984739,53.16475217,56.49475217,49.65567355,32.772743,54.74271,44.13062151,54.53475217,57.23475217,31.70394645,60.50566126,26.715981,41.10698774,35.544987,31.130737,45.3973799,36.47874433,27.15677883,36.954456,31.222324,61.126614,39.23874433,31.99610758,27.54291697,54.34475217,27.72396059,37.27874433,38.22874433,41.08752233,43.1784494,42.55245551,42.04383548,41.08752233,42.14164702,43.32190633,60.01475217,36.288704,27.485163,36.11369971,43.73831186,46.31600224,30.53790776,46.21462696,42.33727011,54.901955,44.13369971,38.61874433,27.624931,43.6283825,30.20874433,39.45874433,51.38719276,43.02195092,41.38686794,51.94907817,52.09475217,66.80475217,41.76965011,37.02874433,48.76217669,45.44760381,26.67177,25.66677883,38.32874433,32.746208,41.08752233,35.16874433,53.899742,47.443909,43.025288,49.69493028,36.800514,55.88369971,36.372955,52.43475217,40.03874433,41.76965011,45.95555679,27.33677883,41.12369971,57.17475217,41.08752233,40.93375908,45.82038974,53.13475217,45.86055588,39.56874433,41.99492971,45.41412121,29.63562285,36.39874433,57.44475217,27.866465,24.99677883,27.36677883,57.28475217,41.29946403,49.12092807,51.84502532,40.351677,30.66029022,40.85369971,37.13874433,37.67874433,39.84874433,41.38849813,40.12369971,39.37874433,43.31538556,48.77242673,24.67677883,42.91435823,40.567806,35.14684691,48.91626483,46.56380849,46.28221048,42.72851629,48.47517558,41.46674737,69.21475217,61.45475217,45.11649809
Nrao,SSP1,2016,48.77887335,33.27544733,48.40749155,29.26387848,40.96600753,42.95903342,31.15061938,34.68475411,26.92145,16.78499322,38.83544733,27.297714,49.15490532,45.36258967,37.45544733,36.824291,40.96600753,42.41684199,32.80824864,37.509041,53.02184189,53.55267,56.797371,46.49115428,44.71121371,43.96434684,66.22184189,62.00184189,28.287785,31.57191543,54.976421,45.727261,48.88500591,48.51129902,48.03767745,45.82027963,54.036442,61.69184189,52.95184189,44.649052,26.47544733,32.3528137,27.303234,29.768976,50.37671923,24.104578,50.669903,40.73248691,38.807148,36.22544733,49.55826447,31.93388,35.00753,38.64544733,25.393553,48.46977603,28.372194,47.84693122,33.548386,41.66424807,48.45939529,40.29823776,53.09184189,56.42184189,49.55826447,32.765755,54.415936,43.97807754,54.46184189,57.16184189,31.69582603,60.43275098,26.76009,40.95235989,35.179264,31.278639,45.2767728,36.37544733,27.17499322,36.893154,31.250841,61.102222,39.13544733,32.03098871,27.56151318,54.27184189,27.75926116,37.17544733,38.12544733,40.96600753,43.02561834,42.41684199,41.92221121,40.96600753,42.01733252,43.16512958,59.94184189,36.297516,27.39715,36.11424807,43.59336268,46.1671864,30.57776149,46.06305386,42.20757513,54.896412,44.13424807,38.51544733,27.647354,43.46317633,30.10544733,39.35544733,51.2998759,42.87342425,41.28331312,51.87320183,52.02184189,66.73184189,41.66353673,36.92544733,48.66701022,45.32826292,26.693945,25.68499322,38.22544733,32.754871,40.96600753,35.06544733,53.730953,47.347034,42.853474,49.61165818,36.732815,55.88424807,36.284832,52.36184189,39.93544733,41.66353673,45.79693739,27.35499322,41.12424807,57.10184189,40.96600753,40.78745515,45.65809401,53.06184189,45.75162613,39.46544733,41.87465056,45.29393617,29.66779304,36.29544733,57.37184189,28.095699,25.01499322,27.38499322,57.21184189,41.13558738,49.03033636,51.76703036,39.975132,30.6962805,40.85424807,37.03544733,37.57544733,39.74544733,41.28489848,40.12424807,39.27544733,43.15878816,48.67739097,24.69499322,42.76879082,40.746109,35.1412022,48.77887335,46.42173259,46.13247555,42.58806034,48.37634931,41.36099552,69.14184189,61.38184189,44.98880953
Nrao,SSP1,2017,48.74287786,33.28485567,48.36688458,29.30258518,40.93446628,42.8821256,31.189636,34.71594298,27.068325,16.81300783,38.84485567,27.315554,49.12735187,45.30036928,37.46485567,37.048664,40.93446628,42.36771128,32.84200435,37.674789,53.01663806,53.39978,56.786903,46.41007598,44.65723402,43.87230135,66.21663806,61.99663806,28.385849,31.60233354,54.945774,45.500263,48.85273868,48.47250504,47.99061171,45.76782196,54.037834,61.68663806,52.94663806,44.344345,26.48485567,32.38138019,27.261789,29.892607,50.37050465,24.157442,50.800571,40.66901735,38.746918,36.23485567,49.53371422,31.98271,34.97916,38.65485567,25.498257,48.43025686,28.391773,47.79653412,33.538826,41.73252757,48.41969481,40.27447409,53.08663806,56.41663806,49.53371422,32.889641,54.523071,43.88632493,54.45663806,57.15663806,31.72371517,60.42754715,26.844631,40.86878609,35.257961,31.309624,45.2127219,36.38485567,27.20300783,36.931137,31.260855,61.077377,39.14485567,32.07876528,27.58991492,54.26663806,27.80459986,37.18485567,38.13485567,40.93446628,42.94529929,42.36771128,41.89842103,40.93446628,41.98866915,43.07766321,59.93663806,36.607475,27.437933,36.18252757,43.53998955,46.07866753,30.62771673,45.97214338,42.1691654,54.894653,44.20252757,38.52485567,27.688366,43.36044067,30.11485567,39.36485567,51.27468927,42.80090229,41.29225445,51.86388389,52.01663806,66.72663806,41.64127986,36.93485567,48.63093573,45.26531033,26.751034,25.71300783,38.23485567,32.806061,40.93446628,35.07485567,53.618698,47.366642,42.794754,49.59208188,36.774338,55.95252757,36.299042,52.35663806,39.94485567,41.64127986,45.69991501,27.38300783,41.19252757,57.09663806,40.93446628,40.71895953,45.55788282,53.05663806,45.69770406,39.47485567,41.85329696,45.23025138,29.70995778,36.30485567,57.36663806,28.41556,25.04300783,27.41300783,57.20663806,41.03526004,49.00060732,51.75477378,39.722145,30.74457003,40.92252757,37.04485567,37.58485567,39.75485567,41.29375858,40.19252757,39.28485567,43.07164666,48.64149777,24.72300783,42.70162935,40.974579,35.18620586,48.74287786,46.33905988,46.04315948,42.53015791,48.33519845,41.36595708,69.13663806,61.37663806,44.91861626
Nrao,SSP1,2018,48.69111048,33.28904167,48.33805827,29.3549898,40.90534413,42.81396083,31.2318699,34.74041291,27.170982,16.85420167,38.84904167,27.364208,49.09813153,45.25938161,37.46904167,37.420048,40.90534413,42.32282947,32.8702974,37.878075,52.98674306,53.209137,56.775703,46.34636208,44.60417723,43.79537056,66.18674306,61.96674306,28.468399,31.62746598,54.936169,45.354912,48.82366063,48.443624,47.96198036,45.73859962,54.046452,61.65674306,52.91674306,44.087795,26.48904167,32.40282996,27.409401,30.012794,50.34064016,24.244719,50.864639,40.61211662,38.671955,36.23904167,49.50458181,31.97543,34.994102,38.65904167,25.615515,48.40139771,28.428331,47.76800333,33.575996,41.81224114,48.39084114,40.25085509,53.05674306,56.38674306,49.50458181,32.977268,54.221951,43.8097471,54.42674306,57.12674306,31.74381777,60.39765215,26.952085,40.79503385,35.337185,31.440891,45.16952823,36.38904167,27.24420167,36.951992,31.316589,61.067627,39.14904167,32.1384217,27.63151466,54.23674306,27.86395822,37.18904167,38.13904167,40.90534413,42.87427521,42.32282947,41.87477981,40.90534413,41.9609432,43.00064819,59.90674306,36.859585,27.448612,36.26224114,43.49608189,46.00598678,30.6919156,45.89658043,42.13327,54.883224,44.28224114,38.52904167,27.733841,43.27062683,30.11904167,39.36904167,51.24539748,42.73641377,41.29604899,51.83411308,51.98674306,66.69674306,41.62787929,36.93904167,48.6019726,45.22344026,26.825457,25.75420167,38.23904167,32.831928,40.90534413,35.07904167,53.541649,47.398045,42.719269,49.56262074,36.840481,56.03224114,36.294296,52.32674306,39.94904167,41.62787929,45.61698644,27.42420167,41.27224114,57.06674306,40.90534413,40.65784593,45.47111131,53.02674306,45.66671692,39.47904167,41.83169811,45.1874989,29.76598819,36.30904167,57.33674306,28.762451,25.08420167,27.45420167,57.17674306,40.94746487,48.97145265,51.72509168,39.515297,30.80524667,41.00224114,37.04904167,37.58904167,39.75904167,41.29748505,40.27224114,39.28904167,42.99490396,48.61252917,24.76420167,42.64163404,41.18745,35.23125187,48.69111048,46.27342451,45.969518,42.47792358,48.30638855,41.36641577,69.10674306,61.34674306,44.86802023
Nrao,SSP1,2019,48.62010657,33.28119283,48.29178551,29.3886373,40.85769639,42.72309961,31.26194343,34.75833599,27.231403,16.87656533,38.84119283,27.366192,49.05471553,45.19699836,37.46119283,37.754086,40.85769639,42.25868218,32.89115293,38.051109,52.94821828,52.956448,56.742001,46.25916221,44.53003775,43.69373811,66.14821828,61.92821828,28.533821,31.64545979,54.893158,45.159035,48.77921302,48.39774802,47.9142941,45.6890639,54.036434,61.61821828,52.87821828,43.770866,26.48119283,32.41822249,27.505695,30.095695,50.30189418,24.292713,50.907207,40.53417931,38.561081,36.23119283,49.46134433,31.988201,34.95454,38.65119283,25.691692,48.35536302,28.438396,47.719588,33.579197,41.87253786,48.34476677,40.21110392,53.01821828,56.34821828,49.46134433,33.043808,54.074715,43.70850007,54.38821828,57.08821828,31.75825871,60.35912737,27.011442,40.69776179,35.407932,31.51199,45.10473607,36.38119283,27.26656533,36.945026,31.348598,61.028305,39.14119283,32.18080176,27.65428689,54.19821828,27.90460477,37.18119283,38.13119283,40.85769639,42.78013333,42.25868218,41.83500313,40.85769639,41.91647987,42.89963255,59.86821828,37.061321,27.476261,36.32253786,43.4317775,45.90899528,30.73743419,45.79644163,42.07943335,54.804913,44.34253786,38.52119283,27.744003,43.15492633,30.11119283,39.36119283,51.20249946,42.64977054,41.28775102,51.79468793,51.94821828,66.65821828,41.59822345,36.93119283,48.55669177,45.16009344,26.847965,25.77656533,38.23119283,32.852627,40.85769639,35.07119283,53.409924,47.398991,42.602722,49.52095054,36.87175,56.09253786,36.255714,52.28821828,39.94119283,41.59822345,45.50880451,27.44656533,41.33253786,57.02821828,40.85769639,40.57507493,45.35873297,52.98821828,45.61525407,39.47119283,41.79426476,45.12318852,29.80328511,36.30119283,57.29821828,29.049997,25.10656533,27.47656533,57.13821828,40.83408052,48.92756053,51.6850234,39.25457,30.84834737,41.06253786,37.04119283,37.58119283,39.75119283,41.28910897,40.33253786,39.28119283,42.89420076,48.56728802,24.78656533,42.56014612,41.369671,35.26495745,48.62010657,46.18412644,45.8714774,42.40534032,48.25999676,41.35429036,69.06821828,61.30821828,44.79514483
Nrao,SSP1,2020,48.53752606,33.270999,48.23860419,29.42020239,40.80385024,42.62267728,31.28957315,34.77237952,27.286419,16.8959835,38.830999,27.364017,49.00388805,45.12707051,37.450999,38.080559,40.80385024,42.18729598,32.90811385,38.221218,52.90142094,52.665359,56.705429,46.16247415,44.44695752,43.58148711,66.10142094,61.88142094,28.603531,31.66001796,54.839699,44.944191,48.72753555,48.34489361,47.85994811,45.6329898,54.024551,61.57142094,52.83142094,43.418301,26.470999,32.42996581,27.593084,30.175303,50.25491459,24.335772,50.952999,40.44780434,38.436932,36.220999,49.41110756,31.988564,34.905384,38.640999,25.760578,48.30237784,28.444317,47.66464129,33.576939,41.92873736,48.2917489,40.16623454,52.97142094,56.30142094,49.41110756,33.105152,53.898235,43.59666469,54.34142094,57.04142094,31.76897232,60.31233004,27.066118,40.59037134,35.485001,31.574574,45.03221065,36.370999,27.2859835,36.930943,31.378752,60.978256,39.130999,32.22174842,27.67414486,54.15142094,27.94370427,37.170999,38.120999,40.80385024,42.67614516,42.18729598,41.79010603,40.80385024,41.86648871,42.78817309,59.82142094,37.25108,27.498571,36.37873736,43.35969338,45.80174872,30.7817784,45.68580127,42.01925408,54.679356,44.39873736,38.510999,27.744864,43.0275055,30.100999,39.350999,51.15209878,42.55393286,41.27706901,51.74714873,51.90142094,66.61142094,41.56405045,36.920999,48.50432775,45.08912657,26.86747,25.7959835,38.220999,32.865559,40.80385024,35.060999,53.266869,47.393002,42.472218,49.47156152,36.89323,56.14873736,36.208961,52.24142094,39.930999,41.56405045,45.38949109,27.4659835,41.38873736,56.98142094,40.80385024,40.48344609,45.23489448,52.94142094,45.5571019,39.460999,41.75191469,45.05118262,29.83877876,36.290999,57.25142094,29.337185,25.1259835,27.4959835,57.09142094,40.70917716,48.87634074,51.6369543,38.973114,30.89007384,41.11873736,37.030999,37.570999,39.740999,41.27834205,40.38873736,39.270999,42.78308091,48.51495669,24.8059835,42.46991191,41.544552,35.29470242,48.53752606,46.08517584,45.76309957,42.32478481,48.20671736,41.3394482,69.02142094,61.26142094,44.7139031
