year,st,state,gini,d10_value
1918,18,Kentucky,0.405143052,0.342600746
1918,19,Louisiana,0.466577291,0.376580734
1918,20,Maine,0.413119584,0.370829277
1918,21,Maryland,0.422967911,0.476958237
1918,22,Massachusetts,0.502454996,0.459468536
1918,23,Michigan,0.427059799,0.393848763
1918,24,Minnesota,0.380131602,0.353730774
1918,25,Mississippi,0.377701074,0.258740826
1918,26,Missouri,0.420136899,0.405659981
1918,27,Montana,0.317430645,0.30605135
1918,28,Nebraska,0.30535835,0.236281109
1918,29,Nevada,0.282699496,0.340217438
1918,30,New Hampshire,0.425213128,0.379348259
1918,31,New Jersey,0.433433712,0.436201019
1918,32,New Mexico,0.28840059,0.333836136
1918,33,New York,0.557675481,0.518950195
1918,34,North Carolina,0.42341578,0.312652187
1918,35,North Dakota,0.287734866,0.233340607
1918,36,Ohio,0.406634897,0.358925476
1918,37,Oklahoma,0.364856601,0.354942207
1918,38,Oregon,0.392495483,0.339595413
1918,39,Pennsylvania,0.445582688,0.368179359
1918,40,Rhode Island,0.529801965,0.403334503
1918,41,South Carolina,0.349952251,0.27499815
1918,42,South Dakota,0.270468712,0.180246143
1918,43,Tennessee,0.397225022,0.367793465
1918,44,Texas,0.411279231,0.382624512
1918,45,Utah,0.340239882,0.326904907
1918,46,Vermont,0.439484268,0.384825668
1918,47,Virginia,0.38419804,0.354883461
1918,48,Washington,0.336607665,0.319276676
1918,49,West Virginia,0.353016675,0.313636322
1918,50,Wisconsin,0.391591191,0.351084557
1918,51,Wyoming,0.428132176,0.350233459
1919,1,Alabama,0.38915655,0.318497639
1919,3,Arizona,0.347709239,0.325958443
1919,4,Arkansas,0.367663682,0.267019634
1919,5,California,0.437413841,0.411347008
1919,6,Colorado,0.391209453,0.369019241
1919,7,Connecticut,0.460417479,0.405824585
1919,8,Delaware,0.55292803,0.586457138
1919,9,District of Columbia,0.45005852,0.457672501
1919,10,Florida,0.40029037,0.414748459
1919,11,Georgia,0.396407425,0.367470016
1919,13,Idaho,0.322077006,0.249836617
1919,14,Illinois,0.439445496,0.430194054
1919,15,Indiana,0.359885097,0.336450539
1919,16,Iowa,0.320842624,0.260242939
1919,17,Kansas,0.337450117,0.306702042
1919,18,Kentucky,0.374120116,0.350488472
1919,19,Louisiana,0.49240911,0.38361927
1919,20,Maine,0.404019713,0.371654167
1919,21,Maryland,0.452828676,0.460303154
1919,22,Massachusetts,0.49811849,0.4503508
1919,23,Michigan,0.456963956,0.397708855
1919,24,Minnesota,0.406322211,0.332992058
1919,25,Mississippi,0.440834343,0.266089668
1919,26,Missouri,0.440644234,0.425051346
1919,27,Montana,0.309132665,0.30310339
1919,28,Nebraska,0.361092716,0.278586979
1919,29,Nevada,0.30995357,0.330413094
1919,30,New Hampshire,0.401193321,0.356546326
1919,31,New Jersey,0.437443346,0.428837433
1919,32,New Mexico,0.318574041,0.368476486
1919,33,New York,0.565217495,0.529906082
1919,34,North Carolina,0.435484737,0.312112942
1919,35,North Dakota,0.297037065,0.248403168
1919,36,Ohio,0.446834087,0.389127617
1919,37,Oklahoma,0.392820269,0.365019913
1919,38,Oregon,0.419101179,0.322645226
1919,39,Pennsylvania,0.474481046,0.392662506
1919,40,Rhode Island,0.516762435,0.408407211
1919,41,South Carolina,0.366627276,0.258324661
1919,42,South Dakota,0.303474039,0.218495426
1919,43,Tennessee,0.432377219,0.378920708
1919,44,Texas,0.416900873,0.389831543
1919,45,Utah,0.337838173,0.33482357
1919,46,Vermont,0.437956244,0.390149612
1919,47,Virginia,0.389563113,0.350802155
1919,48,Washington,0.388324738,0.327741737
1919,49,West Virginia,0.392063558,0.339808884
1919,50,Wisconsin,0.393088073,0.370467949
1919,51,Wyoming,0.341817886,0.246423779
1920,1,Alabama,0.344490826,0.329761162
1920,3,Arizona,0.272453666,0.311949863
1920,4,Arkansas,0.322945982,0.281316662
1920,5,California,0.391605526,0.372320213
1920,6,Colorado,0.34627983,0.348234901
1920,7,Connecticut,0.399104595,0.37256752
1920,8,Delaware,0.396182746,0.545384827
1920,9,District of Columbia,0.389021128,0.437905579
1920,10,Florida,0.38356629,0.434866943
1920,11,Georgia,0.360348642,0.382313004
1920,13,Idaho,0.268457711,0.250578213
1920,14,Illinois,0.416761696,0.413246536
1920,15,Indiana,0.333521277,0.319057636
1920,16,Iowa,0.354970843,0.24789278
1920,17,Kansas,0.34106636,0.308052902
1920,18,Kentucky,0.377804488,0.362004128
1920,19,Louisiana,0.395124227,0.399229736
1920,20,Maine,0.377156943,0.360280075
1920,21,Maryland,0.408650726,0.442708435
1920,22,Massachusetts,0.423595965,0.399090385
1920,23,Michigan,0.387432992,0.340304909
1920,24,Minnesota,0.378630221,0.335058708
1920,25,Mississippi,0.345527858,0.271062698
1920,26,Missouri,0.418482423,0.440854187
1920,27,Montana,0.256498486,0.314627762
1920,28,Nebraska,0.353852898,0.288187447
1920,29,Nevada,0.254269481,0.300001507
1920,30,New Hampshire,0.365436047,0.333468666
1920,31,New Jersey,0.403340727,0.413616753
1920,32,New Mexico,0.268190891,0.384186478
1920,33,New York,0.472483724,0.475059013
1920,34,North Carolina,0.42466256,0.321221771
1920,35,North Dakota,0.286495656,0.296475086
1920,36,Ohio,0.391581148,0.359810219
1920,37,Oklahoma,0.391349465,0.378307533
1920,38,Oregon,0.360378712,0.301503544
1920,39,Pennsylvania,0.427326977,0.383362274
1920,40,Rhode Island,0.47553879,0.395264359
1920,41,South Carolina,0.351559371,0.290267715
1920,42,South Dakota,0.325062901,0.257091656
1920,43,Tennessee,0.399434924,0.395818634
1920,44,Texas,0.342037052,0.397807465
1920,45,Utah,0.291074753,0.297776527
1920,46,Vermont,0.400752634,0.385452728
1920,47,Virginia,0.359290093,0.368608856
1920,48,Washington,0.318385631,0.295104313
1920,49,West Virginia,0.337500602,0.272735691
1920,50,Wisconsin,0.389081061,0.355978127
1920,51,Wyoming,0.242974967,0.205796776
1921,1,Alabama,0.343968242,0.354142342
1921,3,Arizona,0.231430054,0.390484962
1921,4,Arkansas,0.353878379,0.295148335
1921,5,California,0.401281387,0.391944275
1921,6,Colorado,0.388668507,0.384659042
1921,7,Connecticut,0.440164328,0.440614395
1921,8,Delaware,0.396805227,0.624876709
1921,9,District of Columbia,0.402097106,0.39525116
1921,10,Florida,0.398388863,0.462038231
1921,11,Georgia,0.368657738,0.409288177
1921,13,Idaho,0.29245609,0.276378307
1921,14,Illinois,0.397783428,0.395984879
1921,15,Indiana,0.349413186,0.36674324
1921,16,Iowa,0.322968096,0.317781525
1921,17,Kansas,0.35802722,0.341235504
1921,18,Kentucky,0.389269352,0.388869133
1921,19,Louisiana,0.378880531,0.422349129
1921,20,Maine,0.393801987,0.380658875
1921,21,Maryland,0.444134593,0.538917618
1921,22,Massachusetts,0.441925615,0.420193825
1921,23,Michigan,0.411264092,0.395862045
1921,24,Minnesota,0.378427923,0.377142715
1921,25,Mississippi,0.4073385,0.291287556
1921,26,Missouri,0.395468056,0.445482407
1921,27,Montana,0.308190972,0.379284782
1921,28,Nebraska,0.374621212,0.350666199
1921,29,Nevada,0.309753776,0.343089027
1921,30,New Hampshire,0.380125076,0.3612146
1921,31,New Jersey,0.422590673,0.456885643
1921,32,New Mexico,0.308202386,0.417403145
1921,33,New York,0.476017147,0.482690773
1921,34,North Carolina,0.379861563,0.33794445
1921,35,North Dakota,0.313823581,0.335645447
1921,36,Ohio,0.399552345,0.411595726
1921,37,Oklahoma,0.352839351,0.408775826
1921,38,Oregon,0.372808307,0.328080177
1921,39,Pennsylvania,0.414112538,0.409476433
1921,40,Rhode Island,0.472835541,0.425462074
1921,41,South Carolina,0.347172648,0.309789734
1921,42,South Dakota,0.352025926,0.322548943
1921,43,Tennessee,0.396943539,0.420933723
1921,44,Texas,0.357056886,0.443908234
1921,45,Utah,0.333749056,0.346406631
1921,46,Vermont,0.395134389,0.41200058
1921,47,Virginia,0.36261344,0.405467529
1921,48,Washington,0.389955461,0.394151611
1921,49,West Virginia,0.359123856,0.327127342
1921,50,Wisconsin,0.413425744,0.378180618
1921,51,Wyoming,0.31101802,0.243895683
1922,1,Alabama,0.374481022,0.353556671
1922,3,Arizona,0.327834427,0.386967125
1922,4,Arkansas,0.39271903,0.296786556
1922,5,California,0.41126132,0.389297905
1922,6,Colorado,0.410469562,0.393822899
1922,7,Connecticut,0.437403649,0.430187836
1922,8,Delaware,0.391823947,0.583237076
1922,9,District of Columbia,0.411999583,0.446143951
1922,10,Florida,0.415551662,0.464126053
1922,11,Georgia,0.377958626,0.407273102
1922,13,Idaho,0.295364767,0.272487564
1922,14,Illinois,0.447446078,0.420195084
1922,15,Indiana,0.369434804,0.366112404
1922,16,Iowa,0.307837218,0.294274693
1922,17,Kansas,0.372367889,0.346884193
1922,18,Kentucky,0.412223518,0.387854767
1922,19,Louisiana,0.383274317,0.423437119
1922,20,Maine,0.410489857,0.389082184
1922,21,Maryland,0.449294686,0.544291344
1922,22,Massachusetts,0.49326387,0.442527618
1922,23,Michigan,0.429100662,0.394994278
1922,24,Minnesota,0.403665155,0.383870697
1922,25,Mississippi,0.393609434,0.288404675
1922,26,Missouri,0.422457755,0.447647972
1922,27,Montana,0.321901649,0.371962776
1922,28,Nebraska,0.365158975,0.359996567
1922,29,Nevada,0.30126217,0.345241127
1922,30,New Hampshire,0.408257723,0.37128437
1922,31,New Jersey,0.436514109,0.444586296
1922,32,New Mexico,0.322845101,0.418648987
1922,33,New York,0.512110293,0.497147903
1922,34,North Carolina,0.38496691,0.324694214
1922,35,North Dakota,0.316883802,0.333728218
1922,36,Ohio,0.420764506,0.418523026
1922,37,Oklahoma,0.421960473,0.407515411
1922,38,Oregon,0.386976957,0.334890671
1922,39,Pennsylvania,0.453250855,0.433696823
1922,40,Rhode Island,0.481873363,0.421191368
1922,41,South Carolina,0.363411844,0.306097641
1922,42,South Dakota,0.334992796,0.321729813
1922,43,Tennessee,0.405967236,0.417692108
1922,44,Texas,0.371356368,0.45108429
1922,45,Utah,0.335218221,0.338538132
1922,46,Vermont,0.421357363,0.411789665
1922,47,Virginia,0.384144604,0.408509636
1922,48,Washington,0.338341594,0.3698592
1922,49,West Virginia,0.394459277,0.345233917
1922,50,Wisconsin,0.412249833,0.363877106
1922,51,Wyoming,0.339329034,0.261972618
1923,1,Alabama,0.382722318,0.347193184
1923,3,Arizona,0.316791743,0.368954353
1923,4,Arkansas,0.37909165,0.292499294
1923,5,California,0.414620131,0.368676071
1923,6,Colorado,0.377662927,0.384503555
1923,7,Connecticut,0.436476827,0.405216103
1923,8,Delaware,0.419100404,0.576979713
1923,9,District of Columbia,0.468911916,0.501600227
1923,10,Florida,0.42020905,0.454364471
1923,11,Georgia,0.373677939,0.40601757
1923,13,Idaho,0.295539021,0.264056835
1923,14,Illinois,0.422855109,0.39746067
1923,15,Indiana,0.35305801,0.34277668
1923,16,Iowa,0.334314674,0.292656498
1923,17,Kansas,0.317372262,0.341876373
1923,18,Kentucky,0.397999614,0.390771408
1923,19,Louisiana,0.385887414,0.42433712
1923,20,Maine,0.399468392,0.372648926
1923,21,Maryland,0.467084259,0.527624588
1923,22,Massachusetts,0.446908593,0.42125351
1923,23,Michigan,0.399964869,0.344372711
1923,24,Minnesota,0.405791283,0.370106163
1923,25,Mississippi,0.391188025,0.286602268
1923,26,Missouri,0.410616428,0.432170448
1923,27,Montana,0.300100386,0.349686508
1923,28,Nebraska,0.35399124,0.353673363
1923,29,Nevada,0.304761082,0.336415405
1923,30,New Hampshire,0.370395273,0.34076828
1923,31,New Jersey,0.435754031,0.458465843
1923,32,New Mexico,0.303040922,0.41576828
1923,33,New York,0.481869698,0.471557465
1923,34,North Carolina,0.395868093,0.315949631
1923,35,North Dakota,0.29680866,0.336081886
1923,36,Ohio,0.386563957,0.370695343
1923,37,Oklahoma,0.377538234,0.41031498
1923,38,Oregon,0.352756202,0.316266479
1923,39,Pennsylvania,0.426159829,0.382743225
1923,40,Rhode Island,0.441236585,0.363622665
1923,41,South Carolina,0.409423828,0.303723545
1923,42,South Dakota,0.319407731,0.318832989
1923,43,Tennessee,0.390228361,0.413684387
1923,44,Texas,0.357951999,0.448425293
1923,45,Utah,0.339154959,0.334375191
1923,46,Vermont,0.401120126,0.379174881
1923,47,Virginia,0.36335355,0.404114609
1923,48,Washington,0.326043457,0.34560997
1923,49,West Virginia,0.364706993,0.312613373
1923,50,Wisconsin,0.378074437,0.3397089
1923,51,Wyoming,0.309806734,0.245247631
1924,1,Alabama,0.393101782,0.354880943
1924,3,Arizona,0.342791885,0.395530586
1924,4,Arkansas,0.382588238,0.296238976
1924,5,California,0.424569696,0.387802048
1924,6,Colorado,0.399340093,0.391018982
1924,7,Connecticut,0.476465553,0.440280495
1924,8,Delaware,0.493469596,0.626537247
1924,9,District of Columbia,0.421082765,0.458474693
1924,10,Florida,0.473021686,0.427992172
1924,11,Georgia,0.390281379,0.417151947
1924,13,Idaho,0.31906566,0.293842392
1924,14,Illinois,0.438799977,0.421452942
1924,15,Indiana,0.394228667,0.372300224
1924,16,Iowa,0.375396699,0.330290451
1924,17,Kansas,0.367390275,0.353017921
1924,18,Kentucky,0.416563392,0.391581612
1924,19,Louisiana,0.412337959,0.430429497
1924,20,Maine,0.432603538,0.402258644
1924,21,Maryland,0.43440789,0.522594261
1924,22,Massachusetts,0.48475346,0.457072716
1924,23,Michigan,0.428377688,0.378549957
1924,24,Minnesota,0.412070781,0.388704987
1924,25,Mississippi,0.39059782,0.290749359
1924,26,Missouri,0.427239329,0.446883316
1924,27,Montana,0.316405028,0.353126411
1924,28,Nebraska,0.363873124,0.369324265
1924,29,Nevada,0.323787957,0.348951759
1924,30,New Hampshire,0.415213078,0.387034645
1924,31,New Jersey,0.439687103,0.468915939
1924,32,New Mexico,0.328916728,0.424505386
1924,33,New York,0.508375406,0.497528763
1924,34,North Carolina,0.407649457,0.32513031
1924,35,North Dakota,0.315039366,0.335921936
1924,36,Ohio,0.43360728,0.413961906
1924,37,Oklahoma,0.400212914,0.422814903
1924,38,Oregon,0.376901627,0.341890793
1924,39,Pennsylvania,0.442536116,0.40303997
1924,40,Rhode Island,0.473363638,0.436434631
1924,41,South Carolina,0.378467798,0.306714497
1924,42,South Dakota,0.287989318,0.307650967
1924,43,Tennessee,0.408183157,0.420896797
1924,44,Texas,0.379054576,0.459149437
1924,45,Utah,0.35304603,0.351195869
1924,46,Vermont,0.406416148,0.393617134
1924,47,Virginia,0.395938665,0.414758339
1924,48,Washington,0.33387807,0.354266739
1924,49,West Virginia,0.383728355,0.34396637
1924,50,Wisconsin,0.405878216,0.357731094
1924,51,Wyoming,0.324435174,0.258409805
1925,1,Alabama,0.431693166,0.34224411
1925,3,Arizona,0.383647829,0.425581894
1925,4,Arkansas,0.438577622,0.291243629
1925,5,California,0.477047205,0.44229702
1925,6,Colorado,0.445891947,0.435122032
1925,7,Connecticut,0.541858077,0.494592514
1925,8,Delaware,0.610778511,0.685578995
1925,9,District of Columbia,0.494218469,0.564547424
1925,10,Florida,0.553238869,0.363762436
1925,11,Georgia,0.451963365,0.392800903
1925,13,Idaho,0.334210336,0.304468613
1925,14,Illinois,0.512346208,0.473972588
1925,15,Indiana,0.462550759,0.380752983
1925,16,Iowa,0.434779078,0.342590981
1925,17,Kansas,0.405237317,0.368058853
1925,18,Kentucky,0.452691197,0.379200592
1925,19,Louisiana,0.443817645,0.408484497
1925,20,Maine,0.516018748,0.418229523
1925,21,Maryland,0.507272303,0.587936478
1925,22,Massachusetts,0.552222908,0.494034386
1925,23,Michigan,0.523962557,0.410736351
1925,24,Minnesota,0.447034568,0.400269661
1925,25,Mississippi,0.426814348,0.283083439
1925,26,Missouri,0.503455758,0.441004868
1925,27,Montana,0.346992046,0.425162735
1925,28,Nebraska,0.40665096,0.379020157
1925,29,Nevada,0.363182396,0.420508308
1925,30,New Hampshire,0.457698822,0.415227394
1925,31,New Jersey,0.511653066,0.535030403
1925,32,New Mexico,0.370620877,0.399603577
1925,33,New York,0.596179605,0.529978294
1925,34,North Carolina,0.46203661,0.317440147
1925,35,North Dakota,0.335159361,0.32716362
1925,36,Ohio,0.488025904,0.422455368
1925,37,Oklahoma,0.508223474,0.397597351
1925,38,Oregon,0.418485731,0.382877045
1925,39,Pennsylvania,0.526364326,0.452617683
1925,40,Rhode Island,0.544466257,0.458814163
1925,41,South Carolina,0.375834078,0.300546494
1925,42,South Dakota,0.312468648,0.303940201
1925,43,Tennessee,0.455778301,0.403114319
1925,44,Texas,0.42168808,0.436235237
1925,45,Utah,0.403353155,0.379430695
1925,46,Vermont,0.459775329,0.41739109
1925,47,Virginia,0.436693102,0.399920959
1925,48,Washington,0.381397843,0.413691864
1925,49,West Virginia,0.431410402,0.367351189
1925,50,Wisconsin,0.447488487,0.364270554
1925,51,Wyoming,0.374100864,0.351201782
1926,1,Alabama,0.448943973,0.344467621
1926,3,Arizona,0.39649865,0.428123856
1926,4,Arkansas,0.428454369,0.297496014
1926,5,California,0.514252126,0.453744774
1926,6,Colorado,0.458782703,0.440866737
1926,7,Connecticut,0.540903687,0.487078934
1926,8,Delaware,0.671886683,0.688802948
1926,9,District of Columbia,0.498609006,0.594850731
1926,10,Florida,0.522476673,0.396292152
1926,11,Georgia,0.449646056,0.3977285
1926,13,Idaho,0.319237649,0.315178432
1926,14,Illinois,0.517956257,0.473444824
1926,15,Indiana,0.494593114,0.387094727
1926,16,Iowa,0.422280818,0.347303772
1926,17,Kansas,0.427598983,0.374354286
1926,18,Kentucky,0.459651381,0.388163528
1926,19,Louisiana,0.439115167,0.415324898
1926,20,Maine,0.530280411,0.421206245
1926,21,Maryland,0.519688725,0.596470337
1926,22,Massachusetts,0.541411519,0.49577343
1926,23,Michigan,0.530382574,0.413136978
1926,24,Minnesota,0.48386699,0.411253014
1926,25,Mississippi,0.411901236,0.287098083
1926,26,Missouri,0.501052737,0.450833626
1926,27,Montana,0.3761338,0.440037231
1926,28,Nebraska,0.395772874,0.386731339
1926,29,Nevada,0.374529481,0.47191803
1926,30,New Hampshire,0.473819643,0.424196396
1926,31,New Jersey,0.510665417,0.519822159
1926,32,New Mexico,0.383579522,0.408795395
1926,33,New York,0.583842695,0.53344902
1926,34,North Carolina,0.477772593,0.325361671
1926,35,North Dakota,0.368446052,0.339093285
1926,36,Ohio,0.512257576,0.420984764
1926,37,Oklahoma,0.502278745,0.40620163
1926,38,Oregon,0.431978643,0.391599503
1926,39,Pennsylvania,0.530092955,0.449000587
1926,40,Rhode Island,0.546211898,0.466906586
1926,41,South Carolina,0.383408964,0.308173866
1926,42,South Dakota,0.358666003,0.326181488
1926,43,Tennessee,0.470571756,0.407032471
1926,44,Texas,0.454988599,0.440664558
1926,45,Utah,0.434502989,0.396811295
1926,46,Vermont,0.456517577,0.426755333
1926,47,Virginia,0.457461447,0.403892899
1926,48,Washington,0.382199764,0.451787491
1926,49,West Virginia,0.444367528,0.377281151
1926,50,Wisconsin,0.477001756,0.375994759
1926,51,Wyoming,0.378063351,0.354419632
1927,1,Alabama,0.454792589,0.337733078
1927,3,Arizona,0.421606004,0.417414894
1927,4,Arkansas,0.441536427,0.293844776
1927,5,California,0.510912538,0.4515588
1927,6,Colorado,0.48077023,0.439693069
1927,7,Connecticut,0.560083568,0.488628845
1927,8,Delaware,0.731057942,0.663745728
1927,9,District of Columbia,0.510492325,0.593045235
1927,10,Florida,0.503742576,0.420193939
1927,11,Georgia,0.469074965,0.391593246
1927,13,Idaho,0.330696732,0.314016743
1927,14,Illinois,0.531332195,0.465008392
1927,15,Indiana,0.487362415,0.379498138
1927,16,Iowa,0.424836278,0.343840485
1927,17,Kansas,0.411278188,0.362909164
1927,18,Kentucky,0.487124115,0.37972023
1927,19,Louisiana,0.447005868,0.409183655
1927,20,Maine,0.532689869,0.415084763
1927,21,Maryland,0.536508322,0.586991806
1927,22,Massachusetts,0.568895221,0.496416473
1927,23,Michigan,0.520504892,0.414041328
1927,24,Minnesota,0.50272733,0.405720444
1927,25,Mississippi,0.428153545,0.281141815
1927,26,Missouri,0.51394558,0.443613129
1927,27,Montana,0.393410891,0.420359726
1927,28,Nebraska,0.410819441,0.381292076
1927,29,Nevada,0.388536096,0.471043053
1927,30,New Hampshire,0.508975744,0.419484367
1927,31,New Jersey,0.523970008,0.498386688
1927,32,New Mexico,0.392512709,0.400655861
1927,33,New York,0.616197169,0.528863335
1927,34,North Carolina,0.514877796,0.320817833
1927,35,North Dakota,0.373682916,0.332205887
1927,36,Ohio,0.52468878,0.416901093
1927,37,Oklahoma,0.491587013,0.395637932
1927,38,Oregon,0.414224356,0.378104553
1927,39,Pennsylvania,0.545649648,0.447311897
1927,40,Rhode Island,0.566451907,0.462975426
1927,41,South Carolina,0.417324543,0.300352325
1927,42,South Dakota,0.371342868,0.325042152
1927,43,Tennessee,0.484536856,0.400165062
1927,44,Texas,0.446502328,0.431069298
1927,45,Utah,0.468515396,0.392275009
1927,46,Vermont,0.459081113,0.419928627
1927,47,Virginia,0.476555347,0.395761681
1927,48,Washington,0.382458329,0.443322792
1927,49,West Virginia,0.46861425,0.369967842
1927,50,Wisconsin,0.498993456,0.371416016
1927,51,Wyoming,0.379575342,0.369292183
1928,1,Alabama,0.507954836,0.349729233
1928,3,Arizona,0.482882887,0.432941132
1928,4,Arkansas,0.415461421,0.303081589
1928,5,California,0.541008651,0.482553253
1928,6,Colorado,0.500906825,0.459627266
1928,7,Connecticut,0.586796224,0.510400543
1928,8,Delaware,0.747416377,0.695374069
1928,9,District of Columbia,0.520945609,0.602595711
1928,10,Florida,0.565491796,0.452310333
1928,11,Georgia,0.478142798,0.405406609
1928,13,Idaho,0.344182104,0.330364723
1928,14,Illinois,0.563126385,0.493304482
1928,15,Indiana,0.493874967,0.395074883
1928,16,Iowa,0.477211058,0.359828072
1928,17,Kansas,0.42672503,0.37908432
1928,18,Kentucky,0.514894426,0.390436935
1928,19,Louisiana,0.46523279,0.425372734
1928,20,Maine,0.548787832,0.431383057
1928,21,Maryland,0.548064947,0.617042046
1928,22,Massachusetts,0.585208237,0.523165207
1928,23,Michigan,0.57883215,0.430726357
1928,24,Minnesota,0.546123862,0.422828789
1928,25,Mississippi,0.421452522,0.29009861
1928,26,Missouri,0.537052691,0.460042152
1928,27,Montana,0.424668908,0.443696556
1928,28,Nebraska,0.424627274,0.397231598
1928,29,Nevada,0.456738621,0.505644989
1928,30,New Hampshire,0.519171,0.438703575
1928,31,New Jersey,0.549278736,0.527189674
1928,32,New Mexico,0.414109915,0.414227371
1928,33,New York,0.650389373,0.558674622
1928,34,North Carolina,0.550142646,0.333734703
1928,35,North Dakota,0.376523286,0.343498421
1928,36,Ohio,0.559483945,0.441169281
1928,37,Oklahoma,0.503523111,0.413181763
1928,38,Oregon,0.443900645,0.405879288
1928,39,Pennsylvania,0.568220913,0.466210289
1928,40,Rhode Island,0.591891706,0.483895798
1928,41,South Carolina,0.434401274,0.30974762
1928,42,South Dakota,0.384560704,0.337345886
1928,43,Tennessee,0.513640046,0.413070831
1928,44,Texas,0.454129606,0.44959198
1928,45,Utah,0.477365047,0.407478981
1928,46,Vermont,0.470364064,0.428973694
1928,47,Virginia,0.485997528,0.409789238
1928,48,Washington,0.424596786,0.458998947
1928,49,West Virginia,0.475173533,0.38731842
1928,50,Wisconsin,0.519121468,0.390353928
1928,51,Wyoming,0.404323071,0.389538841
1929,1,Alabama,0.463655859,0.313813972
1929,3,Arizona,0.446041107,0.403812294
1929,4,Arkansas,0.412276387,0.287203331
1929,5,California,0.513885498,0.462248268
1929,6,Colorado,0.491378248,0.42759922
1929,7,Connecticut,0.598133326,0.511869011
1929,8,Delaware,0.726843834,0.620329552
1929,9,District of Columbia,0.491220772,0.465686874
1929,10,Florida,0.545912802,0.401149025
1929,11,Georgia,0.462192506,0.337764244
1929,13,Idaho,0.321197629,0.325259361
1929,14,Illinois,0.557082176,0.475437355
1929,15,Indiana,0.490233839,0.349207268
1929,16,Iowa,0.443893343,0.317054234
1929,17,Kansas,0.433506548,0.354018593
1929,18,Kentucky,0.523451269,0.372104912
1929,19,Louisiana,0.448426485,0.375639534
1929,20,Maine,0.538714528,0.430068245
1929,21,Maryland,0.571213424,0.533563156
1929,22,Massachusetts,0.602971613,0.537189102
1929,23,Michigan,0.566799462,0.429170036
1929,24,Minnesota,0.529773295,0.38304451
1929,25,Mississippi,0.412884176,0.277254868
1929,26,Missouri,0.534362495,0.43277771
1929,27,Montana,0.421966165,0.392391663
1929,28,Nebraska,0.431581318,0.321266937
1929,29,Nevada,0.445505887,0.403530045
1929,30,New Hampshire,0.512349844,0.38873661
1929,31,New Jersey,0.543277502,0.495226746
1929,32,New Mexico,0.398329228,0.352628403
1929,33,New York,0.646377325,0.652696533
1929,34,North Carolina,0.506020248,0.28646307
1929,35,North Dakota,0.376946151,0.269739628
1929,36,Ohio,0.548680484,0.406425743
1929,37,Oklahoma,0.509828448,0.383718033
