year,st,state,gini,d10_value
1917,1,Alabama,0.399791867,0.307369423
1917,3,Arizona,0.399657935,0.351036568
1917,4,Arkansas,0.376482785,0.272478981
1917,5,California,0.449362546,0.409526482
1917,6,Colorado,0.438901246,0.36122757
1917,7,Connecticut,0.53154701,0.438109512
1917,8,Delaware,0.727728069,0.632663307
1917,9,District of Columbia,0.482478231,0.562891808
1917,10,Florida,0.397961587,0.388926468
1917,11,Georgia,0.388794899,0.341458664
1917,13,Idaho,0.34610495,0.24817646
1917,14,Illinois,0.487053216,0.414444199
1917,15,Indiana,0.383764029,0.316304359
1917,16,Iowa,0.300658852,0.257628193
1917,17,Kansas,0.366322577,0.292959595
1917,18,Kentucky,0.422666013,0.331019669
1917,19,Louisiana,0.466088861,0.368980751
1917,20,Maine,0.483965099,0.37055809
1917,21,Maryland,0.50558567,0.512466125
1917,22,Massachusetts,0.580388665,0.474928894
1917,23,Michigan,0.489041418,0.371685371
1917,24,Minnesota,0.445720136,0.335902214
1917,25,Mississippi,0.436748475,0.258972168
1917,26,Missouri,0.46901077,0.397603455
1917,27,Montana,0.354874611,0.318370056
1917,28,Nebraska,0.305532992,0.267951832
1917,29,Nevada,0.31527397,0.337076073
1917,30,New Hampshire,0.48403284,0.385450249
1917,31,New Jersey,0.512200654,0.456727982
1917,32,New Mexico,0.41891861,0.292319546
1917,33,New York,0.629399717,0.533398438
1917,34,North Carolina,0.430408478,0.289953022
1917,35,North Dakota,0.27694726,0.254952774
1917,36,Ohio,0.518598914,0.386818771
1917,37,Oklahoma,0.418078631,0.33203907
1917,38,Oregon,0.425189465,0.339699707
1917,39,Pennsylvania,0.559789479,0.408294983
1917,40,Rhode Island,0.606528938,0.428274193
1917,41,South Carolina,0.368056834,0.252954483
1917,42,South Dakota,0.240189657,0.204785786
1917,43,Tennessee,0.416278571,0.34587307
1917,44,Texas,0.415792108,0.377916718
1917,45,Utah,0.422347099,0.31672617
1917,46,Vermont,0.510027111,0.380086365
1917,47,Virginia,0.435853481,0.33677227
1917,48,Washington,0.397824198,0.356214905
1917,49,West Virginia,0.482665241,0.325047417
1917,50,Wisconsin,0.441684961,0.340285416
1917,51,Wyoming,0.428996444,0.340571442
1918,1,Alabama,0.346332014,0.302492828
1918,3,Arizona,0.356613398,0.356518745
1918,4,Arkansas,0.377164006,0.272621403
1918,5,California,0.41719532,0.414261932
1918,6,Colorado,0.3398242,0.342657928
1918,7,Connecticut,0.460177004,0.416903839
1918,8,Delaware,0.569236517,0.624640427
1918,9,District of Columbia,0.438614786,0.461546555
1918,10,Florida,0.382938743,0.411163483
1918,11,Georgia,0.392978072,0.36714695
1918,13,Idaho,0.303747654,0.240143204
1918,14,Illinois,0.447603881,0.417197113
1918,15,Indiana,0.330549479,0.331115837
1918,16,Iowa,0.300823569,0.25517683
1918,17,Kansas,0.324391186,0.29823101
