ISO,sce,population
MAR,SSP1,23.0418176
MAR,SSP2,30.87893988
MAR,SSP3,56.8099094
MAR,SSP4,24.5439368
MAR,SSP5,18.72675064
ABW,SSP1,0.114062762
ABW,SSP2,0.150848057
ABW,SSP3,0.171803946
ABW,SSP4,0.118181194
ABW,SSP5,0.134903557
AFG,SSP1,65.37720101
AFG,SSP2,113.0859892
AFG,SSP3,181.9257549
AFG,SSP4,171.5150584
AFG,SSP5,57.59411474
AGO,SSP1,41.53588164
AGO,SSP2,56.89196019
AGO,SSP3,79.30504813
AGO,SSP4,79.22185426
AGO,SSP5,42.10502428
ALB,SSP1,1.809776317
ALB,SSP2,2.318759916
ALB,SSP3,3.532972605
ALB,SSP4,1.742862121
ALB,SSP5,1.70099268
ARE,SSP1,12.24214445
ARE,SSP2,16.32694947
ARE,SSP3,16.53084772
ARE,SSP4,13.22887599
ARE,SSP5,15.22702544
ARG,SSP1,33.70916113
ARG,SSP2,46.57496885
ARG,SSP3,73.85400031
ARG,SSP4,34.70821293
ARG,SSP5,32.41376032
ARM,SSP1,1.348128903
ARM,SSP2,1.767782002
ARM,SSP3,2.983987983
ARM,SSP4,1.263082873
ARM,SSP5,1.044854659
AUS,SSP1,41.44114041
AUS,SSP2,42.57716273
AUS,SSP3,22.9211534
AUS,SSP4,34.58979432
AUS,SSP5,66.44895078
AUT,SSP1,8.209988799
AUT,SSP2,8.148180681
AUT,SSP3,4.480784053
AUT,SSP4,6.387014103
AUT,SSP5,12.35410322
AZE,SSP1,7.059986464
AZE,SSP2,9.292231409
AZE,SSP3,12.4709803
AZE,SSP4,6.456910847
AZE,SSP5,7.332139905
BDI,SSP1,15.08812128
BDI,SSP2,18.91795643
BDI,SSP3,21.46114991
BDI,SSP4,23.98202113
BDI,SSP5,16.73818004
BEL,SSP1,13.25087651
BEL,SSP2,12.92424476
BEL,SSP3,7.134927161
BEL,SSP4,9.368171962
BEL,SSP5,19.83087369
BEN,SSP1,18.37620556
BEN,SSP2,24.38514129
BEN,SSP3,30.58583794
BEN,SSP4,31.06219053
BEN,SSP5,18.7099254
BFA,SSP1,37.14416176
BFA,SSP2,55.32480772
BFA,SSP3,86.73094096
BFA,SSP4,83.49297277
BFA,SSP5,34.26606353
BGD,SSP1,124.6721136
BGD,SSP2,167.4898176
BGD,SSP3,261.4960994
BGD,SSP4,115.8469868
BGD,SSP5,116.1757884
BGR,SSP1,3.947892768
BGR,SSP2,5.061846185
BGR,SSP3,6.612219506
BGR,SSP4,3.798246868
BGR,SSP5,4.219912394
BHR,SSP1,2.756216399
BHR,SSP2,3.847875646
BHR,SSP3,4.319799634
BHR,SSP4,3.020864125
BHR,SSP5,3.392940419
BHS,SSP1,0.337953497
BHS,SSP2,0.461855868
BHS,SSP3,0.58821921
BHS,SSP4,0.338778113
BHS,SSP5,0.373057068
BIH,SSP1,1.770064271
BIH,SSP2,2.193855685
BIH,SSP3,2.772129078
BIH,SSP4,1.629163546
BIH,SSP5,1.79994571
BLR,SSP1,4.869162756
BLR,SSP2,6.231850503
