iso,sce,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,SSP1,1329.877435,1382.736669,1424.056984,1457.348116,1485.735727,1511.85871,1538.068137,1566.299407,1598.232518,1635.259172,1678.514508,1729.078115,1788.006426,1855.318894,1930.788287,2014.454721,2107.119597,2209.44225,2321.834266,2444.662572,2578.251327,2723.105539,2879.708556,3048.611669,3230.522006,3426.125866,3635.936857,3860.488757,4100.519168,4356.821264,4630.118273,4921.004884,5230.064428,5558.071893,5905.855933,6274.199143,6663.623705,7074.683316,7507.922721,7963.875578,8442.917467,8945.460261,9471.811367,10022.41177,10597.7239,11198.22096,11824.18659,12475.93066,13153.5865,13857.09343,14586.33302,15341.33663,16122.03266,16928.36393,17760.28719,18617.81957,19500.87156,20409.37501,21343.29137,22302.69052,23287.54633,24297.76667,25333.2385,26393.86677,27479.56677,28590.16337,29725.48996,30885.4047,32069.34162,33276.53621,34506.38295,35758.7892,37033.60277,38330.54413,39649.34622,40989.78157,42351.64159,43734.623,45138.98394,46565.27956,48013.76685,49484.07537,50975.81965,52488.72327,54022.37447,55576.27646,57149.8547,58742.47031,60353.31846,61981.56171,63626.21875
ALB,SSP1,8671.751631,8788.140116,8923.0919,9075.239566,9245.350786,9432.446817,9636.622463,9857.987665,10095.97275,10351.42081,10624.14697,10914.29593,11221.29211,11546.85926,11892.13882,12258.89186,12646.29945,13054.69661,13483.62001,13932.32127,14400.57132,14887.57432,15393.16271,15915.48137,16452.42924,17002.23135,17564.02391,18136.25724,18718.97771,19311.9779,19914.31088,20525.22789,21144.33585,21768.55329,22393.7718,23016.83932,23638.03024,24256.56129,24873.25746,25490.28098,26109.51486,26730.16269,27351.44262,27974.40972,28600.7173,29231.09351,29865.04634,30501.9346,31141.83109,31783.69672,32426.94793,33071.4421,33717.22836,34362.29732,35003.04546,35637.19902,36264.71875,36885.57197,37501.30755,38115.87185,38730.66591,39346.21916,39962.52527,40581.47052,41205.62146,41836.82805,42476.20386,43124.42483,43781.11413,44444.93814,45115.7285,45794.08673,46480.83372,47176.78629,47881.34086,48595.74181,49319.63342,50054.27359,50798.7086,51553.31422,52316.59131,53089.92034,53873.65733,54668.14293,55475.42336,56295.97587,57132.13317,57985.91162,58860.26301,59759.78418,60687.90883
DZA,SSP1,8485.985764,8584.37366,8704.536007,8848.269067,9016.752159,9210.823229,9430.811518,9676.716146,9948.14611,10244.42262,10564.48511,10907.45097,11272.51338,11656.4026,12054.69411,12464.07689,12883.84621,13313.37302,13749.39641,14187.741,14625.45466,15062.52157,15499.06351,15934.17267,16366.88554,16797.4113,17226.39056,17653.77516,18085.58379,18530.72692,18995.19231,19479.12837,19983.56838,20509.058,21055.26316,21622.22474,22211.19975,22823.38679,23457.72974,24112.11442,24785.39805,25478.20195,26190.78463,26924.07346,27679.63822,28458.56121,29260.295,30083.96527,30931.26301,31804.89641,32705.82505,33632.96643,34586.18864,35559.85504,36545.52073,37537.19808,38534.5394,39536.40612,40541.64071,41549.85019,42560.62204,43572.85828,44585.47935,45599.76666,46618.11209,47642.15081,48671.73943,49707.21821,50748.37382,51794.5394,52845.469,53901.81423,54963.89659,56033.01215,57111.0334,58199.18685,59297.49572,60405.95884,61525.49129,62657.29618,63802.04796,64959.46446,66129.23287,67311.04267,68504.49502,69708.98894,70923.83339,72148.27567,73381.45337,74622.47885,75870.43411
AGO,SSP1,5801.798267,5743.973262,5831.3901,6019.632809,6271.727403,6557.904628,6854.352195,7142.852849,7410.095087,7647.044743,7848.394305,8008.793128,8122.514492,8204.085335,8276.055359,8352.058003,8429.49125,8509.768474,8590.101154,8664.511722,8730.779908,8792.919794,8853.291777,8917.878944,8994.843496,9089.833583,9203.840558,9338.363011,9495.719587,9677.880776,9886.589287,10123.1641,10388.79442,10684.40583,11010.79153,11368.53492,11758.29639,12180.74237,12635.48149,13121.70929,13638.90427,14187.38031,14767.16752,15378.60605,16022.30319,16698.57883,17407.1382,18147.67601,18920.07726,19724.22016,20559.82791,21426.49464,22323.86495,23251.01629,24206.76893,25190.12239,26200.69263,27237.92108,28301.24915,29390.18566,30504.17742,31642.60907,32804.85635,33990.33366,35198.37382,36428.29285,37679.58099,38951.76303,40243.84616,41554.63127,42883.1364,44228.94401,45591.51752,46970.69076,48366.56374,49779.02906,51207.50753,52651.43816,54110.62948,55584.97232,57074.16774,58577.55234,60094.394,61623.92929,63165.27556,64717.41331,66279.23599,67849.44131,69426.652,71009.2423,72595.47267
ARG,SSP1,16112.47245,16754.98769,17374.17852,17979.97056,18581.04891,19185.1436,19798.88368,20427.94912,21077.14677,21750.35867,22450.64088,23180.89951,23943.94557,24738.36558,25560.69533,26408.88256,27283.59731,28184.24742,29112.10136,30069.16532,31055.70145,32069.59032,33109.51867,34169.93754,35243.36051,36324.23729,37411.52498,38503.79651,39598.08543,40691.29725,41781.16162,42866.59096,43946.31966,45020.88874,46091.7568,47159.86123,48224.68337,49286.02261,50344.3095,51400.25505,52454.25065,53506.34334,54556.50021,55605.33475,56653.71866,57702.20297,58750.69388,59799.13241,60847.33692,61894.96586,62941.62928,63986.9042,65030.32634,66071.34986,67109.46906,68144.05228,69175.04858,70203.08626,71224.88229,72235.54647,73232.22341,74215.74709,75185.96016,76147.11253,77106.01776,78067.5441,79031.70375,79999.0948,80972.07275,81953.51107,82945.77758,83950.21791,84968.51663,86000.0672,87042.77326,88095.27192,89158.30711,90232.00404,91316.71865,92413.02214,93521.06771,94640.15173,95769.50889,96908.34986,98055.60736,99210.05513,100370.2571,101534.4931,102700.8806,103867.1475,105030.8556
ARM,SSP1,5497.661443,5720.749635,5943.586267,6168.112604,6397.357406,6633.989833,6880.331963,7138.360445,7410.447355,7698.62757,8004.600548,8330.102677,8676.536645,9045.677459,9440.075916,9861.588023,10310.27366,10786.24539,11289.79424,11821.10544,12379.69585,12964.8791,13575.88098,14209.2655,14859.51143,15523.27727,16199.01798,16885.64341,17580.64028,18281.92154,18988.53787,19698.49827,20410.58146,21123.06574,21833.23963,22539.524,23241.16084,23938.25656,24630.30588,25317.30816,25998.48354,26674.85774,27345.46316,28014.60801,28686.42842,29364.5897,30049.35046,30740.221,31440.02957,32153.61173,32882.99505,33627.85385,34389.1452,35159.48603,35926.1267,36681.85044,37426.57955,38159.32603,38879.76013,39587.79248,40283.7149,40966.75025,41636.67844,42298.6575,42963.37802,43637.129,44320.86837,45016.77524,45724.39148,46439.27251,47161.13809,47891.46915,48630.84513,49379.41639,50138.827,50907.91402,51686.7567,52475.22312,53273.62165,54083.88719,54907.64516,55743.31998,56591.1189,57448.66693,58315.99745,59191.01145,60070.88397,60952.75004,61832.88015,62705.70845,63566.25753
AUS,SSP1,42577.43528,43184.30053,43899.99567,44696.32216,45549.41029,46439.15201,47349.14243,48266.3013,49180.66086,50085.09086,50975.28212,51846.51538,52693.85394,53528.80652,54370.19261,55230.08065,56105.50421,56995.58943,57902.87853,58829.77816,59777.09001,60744.86914,61733.71029,62737.88027,63748.67242,64760.35949,65772.37883,66782.12039,67792.64025,68809.66319,69835.53235,70867.71174,71906.3416,72941.5007,73958.79204,74949.77807,75916.98105,76861.36861,77786.73401,78699.43652,79604.73362,80503.3555,81395.99476,82290.64522,83197.80293,84124.40249,85070.86836,86038.20853,87027.23269,88038.01406,89070.69776,90125.76275,91203.29759,92301.74858,93418.6423,94551.58332,95700.42088,96865.67326,98041.15281,99217.72797,100389.836,101557.7474,102720.0774,103882.1496,105053.106,106238.8896,107438.7782,108653.6466,109881.8959,111120.1163,112366.5126,113622.8473,114890.0616,116170.0592,117465.3242,118777.8026,120107.8865,121455.9706,122823.5503,124212.4947,125623.8908,127057.6589,128513.6321,129991.5488,131490.7978,133010.5344,134549.6011,136106.5071,137679.4407,139266.2912,140864.5947
AUT,SSP1,41982.93904,42788.58486,43579.13135,44354.196,45113.37507,45856.76203,46584.99462,47299.11073,48000.30014,48690.3039,49371.44727,50045.10234,50712.11428,51379.2342,52056.17757,52749.50571,53459.81716,54188.34087,54935.84599,55702.09325,56486.78338,57290.32102,58112.75769,58952.82729,59808.67088,60678.28221,61560.35275,62453.21749,63353.88824,64258.70712,65164.20814,66069.25533,66973.58816,67870.86747,68752.20973,69612.67254,70452.70532,71271.49511,72074.36641,72870.1247,73665.16919,74459.52388,75254.65963,76052.05875,76852.95852,77658.42124,78470.3409,79289.42296,80120.2626,80969.40559,81841.02403,82735.48386,83653.98393,84594.0763,85551.39167,86522.84646,87509.26885,88510.84612,89526.65412,90554.90997,91594.53651,92644.89485,93705.88829,94776.14206,95853.99851,96938.74963,98029.94245,99126.96318,100232.0773,101349.1879,102481.1557,103628.3615,104791.7222,105971.3615,107166.2456,108375.9477,109601.4809,110843.4444,112102.3655,113379.0368,114673.603,115986.4803,117318.0004,118668.2424,120037.1564,121425.187,122832.0893,124257.8559,125702.4864,127165.7377,128647.1445
AZE,SSP1,9853.039978,9879.170811,9988.136723,10157.25159,10366.77509,10600.7653,10845.93241,11091.90688,11330.94123,11557.96853,11769.79524,11961.59613,12125.93814,12279.8752,12450.60006,12654.00583,12886.62223,13151.35944,13431.88957,13701.78551,13944.89619,14165.46347,14362.39774,14547.96561,14742.99888,14960.74304,15198.46252,15456.30887,15732.87519,16024.24088,16327.73972,16644.96199,16977.43129,17321.1876,17670.57848,18022.07598,18376.62923,18734.89838,19097.70535,19467.09658,19844.83183,20231.77737,20628.91636,21040.09504,21471.08157,21926.07905,22405.7192,22909.6828,23443.27223,24013.29446,24623.78331,25273.84705,25963.72322,26687.79868,27437.22772,28205.2061,28991.42592,29796.02517,30610.7436,31424.15306,32228.90468,33024.42542,33808.17985,34586.49865,35370.86883,36169.17691,36980.21165,37804.94628,38643.26731,39493.52474,40355.41734,41230.08584,42118.18186,43021.75263,43943.93004,44886.5947,45849.11662,46831.36724,47831.40413,48845.90888,49872.41294,50909.35922,51955.07477,53007.32465,54063.7146,55121.52501,56178.20402,57230.92159,58276.91138,59313.29015,60337.15492
BHS,SSP1,31563.33546,31787.80035,32104.47736,32498.30525,32951.90014,33445.62529,33969.90292,34518.59902,35076.89194,35645.31641,36215.58613,36785.40486,37349.54674,37911.88999,38490.4711,39085.62244,39697.47197,40326.48464,40973.9639,41640.18942,42323.56571,43027.04398,43750.43529,44489.37979,45232.50011,45981.42025,46731.17202,47482.39293,48235.79038,48999.76071,49774.88789,50559.28259,51353.57721,52148.49548,52932.49818,53696.51402,54441.31765,55167.71373,55876.13495,56579.40873,57280.25933,57979.32521,58674.80999,59369.02807,60053.79619,60733.99737,61407.57071,62074.59793,62739.47837,63407.59092,64086.01043,64772.42287,65464.92817,66168.14939,66880.8645,67602.33874,68333.21199,69076.57138,69822.02536,70556.31925,71268.8221,71964.6386,72635.60345,73298.29706,73962.22333,74636.53305,75324.49234,76022.07053,76730.51353,77441.53654,78148.21629,78854.02605,79558.44553,80266.86204,80987.98505,81727.82763,82483.57716,83259.47639,84056.28277,84866.28912,85694.98756,86540.44319,87399.82376,88275.41413,89166.53593,90069.33401,90982.9752,91906.5877,92836.05437,93770.29527,94704.94657
