iso,sce,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
BHR,SSP1,23945.68432,23722.83991,23670.31322,23756.29499,23958.77953,24262.82098,24656.92734,25130.79496,25677.00816,26287.19748,26953.81563,27669.00339,28424.38766,29214.39371,30035.66908,30885.62261,31759.32598,32652.85551,33563.40867,34489.35854,35428.27862,36375.71826,37327.62574,38281.59943,39235.37892,40186.23793,41131.90028,42070.89562,42995.27127,43894.27995,44761.75739,45599.21685,46408.4743,47189.04845,47942.08226,48668.95384,49372.33818,50053.69167,50723.05697,51395.75347,52081.73659,52780.82554,53494.07683,54225.46221,54978.92183,55756.02651,56557.00422,57382.84861,58226.47916,59078.20847,59930.8312,60784.46342,61637.7694,62489.209,63337.16398,64181.02632,65018.71529,65850.02326,66671.39168,67479.2309,68271.34874,69047.86783,69807.82069,70554.20994,71290.30845,72019.18067,72741.02563,73456.17938,74165.59276,74869.44889,75567.81143,76261.80945,76952.0228,77640.89987,78332.60661,79029.55034,79732.39676,80441.0981,81156.13976,81875.04037,82597.89323,83324.37598,84054.69476,84788.44094,85525.61978,86265.85336,87008.81904,87754.63486,88502.73071,89253.77264,90007.01448
BGD,SSP1,1669.615651,1743.236929,1828.58508,1925.087579,2032.329739,2150.050631,2278.141515,2416.662008,2565.786183,2725.852821,2897.333008,3080.690552,3276.410379,3485.698101,3710.09935,3950.89324,4208.622448,4483.816268,4777.795006,5092.10745,5427.792357,5785.146886,6164.498079,6565.984693,6989.577065,7435.269711,7903.206564,8393.456553,8905.753023,9439.627932,9994.699563,10570.89586,11168.15809,11785.90035,12423.36223,13080.03499,13755.81875,14450.52851,15164.15434,15896.73879,16648.19342,17418.15019,18206.16588,19012.20644,19836.39666,20678.63346,21538.51742,22415.83567,23309.2051,24216.57426,25136.36852,26068.2478,27011.74896,27966.28573,28931.46839,29906.98144,30892.35161,31886.9784,32891.50231,33907.14543,34934.5756,35973.42478,37023.5753,38084.18957,39153.92151,40231.81718,41317.86102,42411.97161,43513.67222,44622.44508,45737.90743,46859.97504,47988.53024,49123.82772,50266.35384,51416.54677,52574.35563,53739.62142,54913.28652,56096.73957,57290.8213,58495.23815,59709.69441,60933.9192,62167.4326,63409.54922,64659.36444,65915.73035,67177.26642,68442.31542,69708.95043
BRB,SSP1,19717.10163,19716.52532,19830.35916,20038.17562,20319.69059,20654.74879,21027.40548,21429.93985,21846.58039,22269.72823,22695.86172,23121.44817,23530.81065,23948.70543,24387.72476,24864.46963,25375.39899,25925.18055,26501.76886,27109.0205,27734.83645,28383.85934,29060.65303,29753.90081,30464.76509,31181.99664,31910.2082,32645.89898,33393.87805,34154.86394,34929.56511,35722.82437,36526.96206,37342.61122,38166.17423,38989.66292,39817.67857,40642.03924,41471.25377,42296.39986,43117.16682,43937.98792,44750.09689,45561.93749,46368.55928,47164.99979,47955.45397,48739.51623,49521.95815,50298.71125,51079.36934,51863.84275,52647.51422,53434.35707,54232.82686,55047.22067,55873.3069,56716.73527,57567.65101,58410.66567,59245.66293,60067.54434,60875.67127,61678.5471,62492.35337,63326.79041,64177.27143,65050.83262,65941.49296,66846.93459,67759.98864,68681.82755,69619.22955,70565.65143,71525.54202,72498.25937,73490.34009,74489.49156,75510.74308,76552.41139,77617.92796,78707.66809,79822.33357,80962.98681,82123.54821,83311.18698,84518.90707,85753.31636,87006.26463,88275.97755,89552.40871
BLR,SSP1,13874.25059,14475.88286,15123.7722,15812.61858,16537.78276,17295.03864,18081.06804,18892.98717,19728.71609,20586.85687,21466.58992,22366.56281,23284.75019,24226.24538,25199.55689,26210.29026,27256.31731,28335.96399,29449.77009,30597.72939,31778.34083,32989.33405,34228.94107,35487.5419,36751.12576,38009.00987,39258.75844,40496.70267,41718.71502,42921.48808,44102.32124,45258.92371,46390.38118,47493.46113,48565.01445,49603.34041,50609.82913,51584.97562,52535.79828,53472.36242,54403.15741,55329.25505,56251.75124,57179.61723,58124.4975,59094.25451,60089.56934,61111.94267,62158.91119,63224.48545,64303.92605,65397.32052,66504.40729,67617.23965,68724.33499,69817.22165,70894.5029,71954.44484,72992.80635,74004.60952,74986.83925,75938.67005,76858.71183,77752.56924,78629.79488,79497.79028,80357.07339,81209.05568,82058.23872,82910.34383,83769.41138,84637.96579,85518.31001,86412.29671,87320.08775,88242.39527,89180.68833,90135.08465,91107.76848,92101.99265,93119.50189,94158.91333,95218.19978,96295.69338,97388.00956,98491.352,99600.19099,100707.9651,101806.7923,102887.4911,103938.467
BEL,SSP1,40354.53238,40735.66224,41126.98037,41530.52087,41948.17629,42381.54179,42832.50648,43302.69213,43793.69412,44307.06411,44844.44803,45406.67721,45993.90064,46609.5756,47258.19844,47942.54395,48661.50809,49414.32408,50199.87062,51016.83498,51863.2123,52737.33141,53637.40727,54557.94312,55491.16919,56431.09532,57375.92203,58323.64933,59270.13705,60210.60032,61141.82229,62062.70216,62972.53364,63870.29043,64755.60472,65628.70877,66489.82182,67339.04821,68180.43469,69019.66618,69860.94174,70704.83922,71552.24856,72405.08986,73265.39439,74134.51138,75013.13134,75901.68756,76800.40727,77709.48663,78628.61927,79558.04642,80497.92468,81446.53133,82401.44365,83361.08761,84325.6877,85295.42913,86269.84769,87248.59877,88231.54558,89218.68934,90209.9568,91206.22444,92208.64299,93218.10457,94234.81715,95259.49109,96291.98957,97331.91106,98379.14553,99434.56249,100498.1711,101573.0741,102663.3903,103772.3635,104900.3422,106048.3857,107215.938,108401.4908,109603.9989,110823.981,112061.7339,113316.8352,114589.1722,115878.2548,117183.7188,118505.1126,119841.7579,121193.1033,122558.4317
BLZ,SSP1,7419.452852,7436.098045,7453.098255,7474.037193,7509.040645,7557.669983,7629.419571,7723.597201,7842.823497,7992.849215,8169.812455,8379.431853,8621.090463,8891.260365,9192.718545,9516.067515,9867.264515,10243.27837,10643.61749,11070.46544,11520.28005,11993.08244,12488.81418,13004.76101,13541.40861,14096.30116,14672.49985,15264.44569,15875.53855,16506.41685,17157.69779,17826.95189,18514.64102,19218.5701,19936.64642,20669.5658,21415.03577,22170.84669,22940.02199,23725.27862,24523.75426,25335.8784,26161.91734,26999.65335,27850.03613,28710.89791,29582.49536,30465.24672,31355.97444,32259.84869,33173.48865,34097.11997,35033.80007,35977.8992,36926.93187,37884.29321,38847.01823,39815.19346,40789.04015,41765.75912,42745.5615,43725.56366,44709.13403,45696.26799,46689.95017,47696.56907,48713.57722,49744.82022,50784.50853,51836.45112,52895.01908,53960.91452,55037.90254,56125.22048,57226.47781,58341.23027,59470.64056,60616.48644,61778.76845,62959.73395,64159.07899,65378.74725,66617.00673,67878.9119,69159.15901,70459.67998,71782.72571,73127.19232,74492.22721,75880.95828,77293.2236
BEN,SSP1,1597.334998,1602.187411,1612.275814,1627.864979,1649.647638,1678.022443,1713.349852,1755.958212,1806.35873,1865.023317,1932.193192,2008.469567,2094.393227,2190.208126,2296.032657,2412.220513,2539.569145,2678.718175,2830.4628,2995.638894,3174.942885,3369.039318,3578.51303,3804.280254,4047.341238,4308.566154,4588.728174,4888.608891,5209.078042,5551.263384,5916.123787,6304.417826,6716.998248,7154.705973,7618.713951,8109.923339,8629.010155,9176.608826,9753.443986,10360.15344,10997.47396,11665.70489,12365.24493,13096.66686,13860.73733,14657.87983,15488.09408,16351.4312,17247.77319,18176.79641,19138.36904,20132.12655,21157.75764,22214.82834,23303.07224,24421.97038,25571.16837,26750.49093,27958.41562,29193.0601,30452.99952,31738.13644,33047.8955,34383.03327,35744.85512,37134.04367,38550.13655,39992.88205,41461.48867,42954.87489,44472.21754,46013.32643,47577.92239,49165.57685,50775.76108,52408.04475,54061.91798,55736.76208,57432.62419,59149.84865,60888.39516,62647.42815,64426.06189,66223.58374,68039.00702,69871.26688,71719.13231,73581.30093,75456.30183,77342.54985,79238.13796
BTN,SSP1,5362.381574,5552.455045,5949.543689,6512.507502,7205.845968,7999.348763,8867.731389,9792.998303,10758.46184,11752.59832,12768.63029,13797.66617,14831.35006,15881.99589,16972.50292,18114.78658,19303.34146,20537.97223,21816.11487,23136.83584,24496.09352,25894.68107,27330.89653,28800.18242,30298.66509,31821.46156,33366.62714,34932.4676,36518.67669,38127.22286,39759.04746,41410.81474,43081.38296,44765.07302,46455.71127,48149.18069,49844.04742,51541.1051,53236.63012,54932.66269,56626.3756,58317.64516,60006.42336,61692.91433,63379.97467,65067.84042,66756.27065,68445.7233,70135.4451,71828.64261,73526.87208,75229.0234,76937.27848,78645.30911,80350.04444,82046.7581,83735.44627,85415.82833,87088.66032,88752.85446,90410.99216,92061.27856,93702.82108,95336.59852,96963.45041,98583.07249,100196.0661,101802.9927,103402.6797,104992.4813,106570.8168,108138.5982,109696.6088,111246.2892,112789.9894,114332.228,115871.9843,117408.7486,118943.3506,120476.418,122005.8764,123533.1641,125058.762,126582.1343,128104.6318,129626.1448,131147.4338,132671.323,134197.0763,135728.3839,137266.6993
BOL,SSP1,4879.434877,5062.357751,5236.255607,5407.459692,5581.553929,5763.445067,5957.324978,6166.93418,6395.499182,6645.869763,6920.349558,7220.957447,7549.635819,7907.041147,8293.432109,8709.193775,9155.368254,9632.66118,10141.42347,10681.51909,11252.77397,11855.32963,12489.39898,13154.50009,13849.86788,14575.14514,15330.21655,16114.74647,16929.20156,17773.83087,18649.15401,19554.82565,20490.83886,21456.37531,22449.96822,23470.53522,24518.10435,25592.41197,26693.69431,27822.40437,28978.69166,30161.91117,31371.67823,32607.11072,33867.65107,35152.67881,36461.74185,37794.42408,39149.80594,40526.61026,41923.56018,43339.63815,44773.98778,46224.99118,47690.79587,49170.07607,50662.29714,52167.33992,53683.99819,55211.45348,56749.21141,58297.06212,59854.43073,61424.32059,63011.08843,64618.06149,66244.68693,67891.3945,69556.82903,71238.38936,72934.28618,74644.95941,76370.32732,78109.58613,79861.31693,81624.55222,83398.93594,85183.86383,86979.65467,88787.35642,90607.51395,92439.15034,94281.629,96134.20142,97995.95634,99865.86819,101742.8426,103625.3389,105511.849,107400.693,109289.6912
BIH,SSP1,9315.170797,9347.687173,9467.482761,9666.95057,9937.842423,10272.5871,10664.96652,11109.11294,11599.17379,12130.63967,12699.68171,13301.79136,13933.45203,14593.87338,15283.64641,16003.01783,16749.19572,17519.10131,18312.96269,19131.08629,19973.59441,20837.58261,21721.06803,22619.86963,23529.2887,24444.83677,25364.4453,26285.71127,27204.92617,28118.37112,29022.5791,29915.68166,30796.09955,31660.89283,32505.99083,33329.70258,34131.21391,34910.44696,35668.86043,36409.62027,37135.2668,37845.26029,38538.64702,39222.59652,39909.83526,40607.69577,41315.62556,42037.37863,42761.54031,43471.34135,44154.94409,44814.50649,45448.18526,46062.19247,46667.8535,47273.20976,47876.08718,48476.33429,49073.52142,49664.16646,50246.36479,50821.72411,51391.21387,51952.57328,52503.00951,53040.61409,53566.16888,54078.64679,54583.28843,55085.56747,55590.40272,56098.69242,56610.92526,57129.04519,57655.22314,58190.05049,58735.44747,59292.82623,59861.55493,60439.54049,61025.67452,61620.54253,62224.38027,62836.38708,63457.40612,64086.16451,64723.75492,65369.15865,66023.87564,66687.26744,67360.01439
BWA,SSP1,13981.11846,14332.60367,14763.20578,15256.72018,15799.19615,16378.8621,16986.04884,17612.55382,18253.09553,18902.5827,19558.60417,20218.27946,20877.25297,21543.38402,22229.45517,22942.41215,23680.63054,24443.22761,25228.18709,26029.00092,26841.38611,27665.88701,28501.27506,29347.71293,30204.49249,31072.59898,31949.98999,32835.24886,33726.59524,34621.61089,35517.39811,36413.97919,37310.60136,38206.01089,39100.6981,39993.92719,40885.0509,41773.76614,42660.88727,43546.72179,44432.15671,45317.17165,46202.11133,47086.73988,47973.05889,48860.31871,49748.59468,50637.82061,51528.19421,52421.76133,53319.02529,54219.72355,55124.17429,56029.41409,56931.76031,57828.58406,58719.50483,59603.81551,60480.42505,61345.62548,62197.43841,63035.96317,63860.33275,64672.84999,65478.32184,66280.01795,67077.12785,67871.18256,68660.21921,69441.9815,70215.21098,70980.8233,71739.67037,72492.99964,73244.41092,73996.63938,74749.17353,75502.46427,76256.88249,77013.25303,77771.98887,78532.63386,79295.21694,80059.26712,80823.34463,81587.46445,82349.65788,83108.9252,83863.24982,84610.52103,85348.6455
BRA,SSP1,11322.37101,11494.556,11737.27028,12038.38789,12387.31711,12774.90168,13193.36069,13636.20809,14098.20161,14575.29903,15064.61998,15563.2496,16068.2454,16583.44678,17116.00872,17670.68866,18246.11517,18841.66779,19459.38176,20101.74425,20770.07466,21464.05314,22183.60076,22926.88324,23691.04204,24473.9045,25275.06499,26093.86155,26928.47055,27776.62479,28636.45447,29507.20521,30388.29503,31277.86667,32173.72054,33074.50086,33979.91098,34889.30127,35804.24512,36727.46353,37660.67791,38603.19398,39554.47167,40514.99701,41485.41877,42465.86271,43456.06604,44456.22757,45463.34697,46472.83386,47481.55538,48489.76454,49497.37348,50504.11183,51510.07551,52515.59061,53520.4658,54524.08309,55529.88676,56543.23587,57567.70848,58603.27333,59650.74841,60708.69514,61774.09102,62844.98255,63922.21463,65006.34526,66096.99347,67193.63002,68296.08256,69404.47029,70518.56554,71640.71609,72774.82244,73923.98134,75088.77951,76270.24884,77468.85987,78684.27097,79916.16127,81165.02267,82431.00506,83713.90302,85013.27651,86328.5116,87658.73516,89002.84504,90359.49046,91727.02333,93103.52819
BRN,SSP1,51049.50834,51301.45679,51802.76407,52497.04373,53342.24369,54298.95706,55337.89278,56428.89861,57556.05662,58699.30549,59849.4402,60992.42975,62119.26824,63240.02985,64389.0515,65584.33759,66815.97591,68079.73043,69368.35504,70675.21391,71990.59959,73312.89864,74640.11108,75965.69475,77283.63821,78583.79105,79866.84152,81131.34074,82375.1079,83596.76488,84792.4611,85963.53236,87109.25869,88236.25837,89349.30701,90456.90197,91558.2672,92654.86347,93745.52615,94828.72508,95901.03204,96963.75887,98018.17365,99066.90296,100114.3411,101163.0612,102211.8919,103259.4343,104303.2148,105343.3325,106377.3097,107403.837,108422.0118,109427.1892,110415.8472,111381.1055,112323.859,113246.6457,114146.9896,115027.3579,115891.7115,116738.0799,117570.7784,118393.3137,119220.2674,120059.3442,120913.3459,121783.6053,122667.9303,123564.4656,124464.19,125374.5249,126293.2901,127225.2094,128179.0395,129155.7409,130157.7833,131183.4638,132236.4528,133313.4494,134417.8492,135547.7794,136701.1137,137880.3386,139080.331,140302.9319,141542.1316,142796.416,144058.6439,145328.7467,146598.3226
BGR,SSP1,14958.9445,15054.92841,15341.86751,15793.59847,16386.44853,17098.39624,17909.85796,18803.23395,19763.17987,20776.69336,21833.59149,22921.86847,24028.57441,25162.70389,26344.81767,27586.81094,28880.41316,30221.21711,31603.04952,33016.74419,34454.75107,35913.75853,37390.49343,38876.19518,40359.5835,41832.20318,43290.262,44729.94745,46147.30698,47538.56496,48901.3641,50233.68202,51534.12892,52802.59087,54039.95161,55247.73222,56426.71499,57577.80627,58705.3527,59815.41409,60912.93004,61999.39486,63075.98831,64149.41096,65229.27968,66321.86898,67427.1965,68545.93737,69676.80216,70817.20121,71964.10673,73117.57656,74278.21882,75437.26677,76581.79667,77702.50734,78799.4003,79871.6537,80916.24081,81930.86186,82914.39478,83866.48137,84785.26962,85679.60155,86563.47581,87446.28795,88328.85853,89213.79411,90100.73322,90986.98547,91871.26166,92755.96489,93642.6306,94535.52853,95440.88119,96363.33435,97303.61481,98262.49706,99240.81476,100237.8286,101252.5554,102284.9499,103333.6096,104396.8396,105472.3621,106556.2848,107645.211,108734.0234,109817.0714,110888.028,111939.0087
