"state","year","GDP","pop","value","growth","timestep","laborproductivity"
"AK",1990,24626.8876070348,553,44.5332506456326,0.662586921005125,15,-0.02707
"AK",2005,28591.7957306062,667,42.8662604656764,0.962567516276299,15,-0.00254
"AK",2010,34366.3839698139,714,48.132190433913,1.1228455645776,5,0.02344
"AK",2015,34007.1777995324,738,46.0801867202336,0.957367331609458,5,-0.00868
"AK",2020,33165.2190627366,733,45.2458650241972,0.981894133782449,5,-0.00365
"AK",2025,34121.9808060557,732,46.6147278771252,1.0302538773918,5,0.00598
"AK",2030,36842.8306549121,747,49.3210584403107,1.05805741417861,5,0.01135
"AK",2035,40235.4377991063,764,52.6641856009245,1.06778295653691,5,0.0132
"AK",2040,44010.5782200015,782,56.2795117902832,1.0686486679345,5,0.01337
"AK",2045,48203.3293382265,797,60.4809652926305,1.0746533395315,5,0.0145
"AK",2050,52668.6600406622,812,64.8628818234757,1.07245116723326,5,0.01409
"AK",2055,57343.9513677648,827,69.3397235402234,1.06902008654089,5,0.01344
"AK",2060,62159.7827814294,842,73.8239700492035,1.0646706718751,5,0.01261
"AK",2065,66380.5448219057,848,78.2789443654548,1.06034590544619,5,0.01179
"AK",2070,70596.8826835572,854,82.6661389737203,1.05604565370457,5,0.01097
"AK",2075,75032.6932027856,863,86.9440245686971,1.05174894640158,5,0.01014
"AK",2080,79322.7804238448,871,91.0709304521755,1.04746623938736,5,0.00932
"AK",2085,83224.3509392871,876,95.0049668256702,1.04319749841098,5,0.00849
"AK",2090,86959.7166873052,881,98.7056943102215,1.03895298959834,5,0.00767
"AK",2095,89978.2653706092,881,102.131969773677,1.03471203447176,5,0.00685
"AK",2100,92720.3257134198,881,105.244410571419,1.03047469665609,5,0.00602
"AL",1990,71698.0351484387,4049,17.707590799812,0.967612271734839,15,-0.00219
"AL",2005,115114.788697322,4570,25.1892316624336,1.42251037688882,15,0.02377
"AL",2010,115671.367869295,4785,24.1737445912842,0.959685667083531,5,-0.0082
"AL",2015,119766.69899443,4853,24.6788994424954,1.02089683910177,5,0.00414
"AL",2020,130103.312787337,4918,26.4545166302028,1.07194879949346,5,0.01399
"AL",2025,144998.259566733,5017,28.9013871968771,1.09249348989733,5,0.01785
"AL",2030,163310.532968202,5153,31.6923215540854,1.09656748785781,5,0.01861
"AL",2035,179177.924814229,5277,33.954505365592,1.07137955506497,5,0.01388
"AL",2040,198034.360089041,5400,36.6730296461187,1.08006372795763,5,0.01552
"AL",2045,218216.742453039,5499,39.6829864435423,1.08207548780313,5,0.0159
"AL",2050,240335.159205941,5598,42.9323256888069,1.08188242711741,5,0.01587
"AL",2055,259800.392455212,5695,45.6190329157528,1.06258005323123,5,0.01221
"AL",2060,279799.514614138,5792,48.3079272469161,1.05894237907518,5,0.01152
"AL",2065,299612.805195417,5877,50.980569201194,1.05532512170554,5,0.01083
"AL",2070,319605.620532881,5961,53.6161081249591,1.05169693012575,5,0.01013
"AL",2075,337956.822837936,6014,56.1950154369697,1.04809948730333,5,0.00944
"AL",2080,356048.605257045,6066,58.6957806226583,1.04450154815766,5,0.00875
"AL",2085,371715.546810509,6084,61.0972299162572,1.0409134910231,5,0.00805
"AL",2090,386738.306931959,6102,63.3789424667256,1.03734559739608,5,0.00736
"AL",2095,399211.578990344,6093,65.5197076957729,1.03377723177018,5,0.00667
"AL",2100,410731.147712341,6085,67.4989560743371,1.030208443355,5,0.00597
"AR",1990,38085.5689893863,2354,16.1790862316849,0.982268078965101,15,-0.00119
"AR",2005,66416.9670291026,2781,23.8824045412091,1.4761281446438,15,0.0263
"AR",2010,67222.9596726671,2922,23.0058041316451,0.963295136046649,5,-0.00745
"AR",2015,71826.6373391374,2978,24.1190857418191,1.04839133654288,5,0.0095
"AR",2020,75195.1276851884,3037,24.7596732582115,1.02655936146376,5,0.00526
"AR",2025,80902.8607782065,3104,26.0640659723604,1.05268214570304,5,0.01032
"AR",2030,89359.8750038266,3184,28.0652873755737,1.07678086010585,5,0.01491
"AR",2035,98064.9875764499,3252,30.1552852326107,1.0744691415081,5,0.01447
"AR",2040,107650.80229437,3320,32.4249404501114,1.07526558611511,5,0.01462
"AR",2045,118129.672774125,3373,35.0221383854505,1.08009877271279,5,0.01553
"AR",2050,129480.811970952,3425,37.8046166338547,1.07944912494435,5,0.01541
"AR",2055,140745.263988094,3477,40.4789370112436,1.07074057656212,5,0.01376
"AR",2060,152266.137392443,3528,43.1593359955904,1.06621712876507,5,0.01291
"AR",2065,163724.345413123,3573,45.8226547475855,1.06170898348082,5,0.01205
"AR",2070,175223.569965977,3617,48.4444484285256,1.05721610184705,5,0.01119
"AR",2075,185737.732584432,3642,50.9988282768897,1.05272802005647,5,0.01033
"AR",2080,196038.978787853,3667,53.4603160043232,1.04826557414357,5,0.00947
"AR",2085,204852.280217904,3671,55.8028548673125,1.04381827564955,5,0.00861
"AR",2090,213210.613293319,3676,58.0007109067788,1.03938608597521,5,0.00776
"AR",2095,220063.89279794,3666,60.028339552084,1.03495868608514,5,0.0069
"AR",2100,226169.678099127,3656,61.8626034187984,1.03055663175762,5,0.00604
"AZ",1990,69849.2211198277,3679,18.9859258276237,0.661682635975692,15,-0.02716
"AZ",2005,166949.000636797,5839,28.5920535428665,1.50596045736501,15,0.02767
"AZ",2010,163410.248683635,6408,25.5009751378956,0.891890297409504,5,-0.02262
"AZ",2015,177340.593979889,6834,25.9497503628751,1.01759835545711,5,0.0035
"AZ",2020,211400.707064503,7406,28.5445189123012,1.09999204281897,5,0.01924
"AZ",2025,250157.447592348,7914,31.6094828901122,1.10737486896268,5,0.02061
"AZ",2030,287938.85420437,8285,34.754237079586,1.09948768223784,5,0.01915
"AZ",2035,322327.50372621,8563,37.6418899598517,1.08308779368838,5,0.01609
"AZ",2040,359741.477354693,8842,40.6855323857377,1.08085785355444,5,0.01567
"AZ",2045,400476.773815298,9085,44.0810978332744,1.08345879354222,5,0.01616
"AZ",2050,445128.541532852,9328,47.7196120854258,1.08254137104101,5,0.01599
"AZ",2055,493700.936386442,9566,51.6099661704414,1.0815252663423,5,0.0158
"AZ",2060,544286.87425381,9803,55.5224802870356,1.07580927496974,5,0.01472
"AZ",2065,595171.70154622,10017,59.4161626780693,1.07012803410266,5,0.01365
"AZ",2070,647008.081887233,10230,63.2461468120462,1.06446030779081,5,0.01257
"AZ",2075,695583.461225897,10387,66.9667335347932,1.05882708924235,5,0.0115
"AZ",2080,743666.781295692,10544,70.5298540682561,1.05320732168625,5,0.01042
"AZ",2085,786100.965509556,10639,73.888614109367,1.04762182036929,5,0.00935
"AZ",2090,826470.863259727,10734,76.99560865099,1.04204970656269,5,0.00827
"AZ",2095,859838.925991522,10774,79.8068429544758,1.03651161868502,5,0.0072
"AZ",2100,889856.102090481,10815,82.2798060185373,1.03098685491759,5,0.00612
"CA",1990,775562.934151156,29950,25.8952565659818,0.811652433101593,15,-0.01382
"CA",2005,1263022.83909936,35828,35.2523958663436,1.36134568802281,15,0.02078
"CA",2010,1306176.44680366,37321,34.9984310925124,0.992795815217948,5,-0.00145
"CA",2015,1539727.09467371,38953,39.5278180030733,1.12941685581814,5,0.02464
"CA",2020,1814462.94201983,39914,45.4593110692948,1.15005870209584,5,0.02836
"CA",2025,2097191.12273176,41058,51.0787452562659,1.12361459192387,5,0.02358
"CA",2030,2359134.32082379,42583,55.4008482451633,1.08461646751918,5,0.01638
"CA",2035,2609552.22470373,44113,59.1560815338729,1.06778295653691,5,0.0132
"CA",2040,2885479.83953193,45644,63.2170677313979,1.0686486679345,5,0.01337
"CA",2045,3193012.34878799,47000,67.936432952936,1.0746533395315,5,0.0145
"CA",2050,3523218.81419996,48357,72.8585068180401,1.07245116723326,5,0.01409
"CA",2055,3869514.34407589,49681,77.8872072638612,1.06902008654089,5,0.01344
"CA",2060,4229467.18659376,51004,82.9242252880904,1.0646706718751,5,0.01261
"CA",2065,4590300.17718227,52205,87.9283627465237,1.06034590544619,5,0.01179
"CA",2070,4959179.90242228,53407,92.8563653158252,1.05604565370457,5,0.01097
"CA",2075,5304000.64809053,54310,97.6615843875995,1.05174894640158,5,0.01014
"CA",2080,5648135.99547909,55213,102.29721253109,1.04746623938736,5,0.00932
"CA",2085,5953056.28920293,55784,106.71619620685,1.04319749841098,5,0.00849
"CA",2090,6248254.17534567,56355,110.87311108767,1.03895298959834,5,0.00767
"CA",2095,6497954.20797831,56641,114.721742341737,1.03471203447176,5,0.00685
"CA",2100,6729905.91505914,56928,118.217852639459,1.03047469665609,5,0.00602
