sce,year,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
SSP1,2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SSP1,2016,0.997191293,0.996905306,0.997970678,1.000983736,0.997042538,0.99649854,1.000511968,0.999731353,1.003674511,1.001086338,0.997347192,0.998750579,0.998192199,0.997394593,0.997249722,1.00222876,0.997042538,0.996813027,0.999736798,1.000945813,0.998626789,0.993331876,0.999021178,0.996992633,0.996951158,0.99653465,0.99890021,0.998825444,1.002294793,0.999916004,0.997523792,0.992850592,0.998112975,0.998001847,0.997858559,0.997664985,0.996310128,0.998819549,0.998624977,0.990178331,0.996113549,0.999794316,1.005485841,1.001955951,0.998540368,1.000050491,0.999306815,0.996488667,0.995057501,0.997156604,0.998038309,0.998298222,0.995989898,0.997334185,1.004452834,0.997989395,0.998323249,0.997800062,0.999072114,1.000013162,0.997986279,0.996991339,0.998628597,0.998709433,0.998038309,0.999786774,0.99403073,0.996543353,0.998663049,0.998726119,0.999743867,0.998794984,1.001651034,0.996238405,0.989710982,1.004750996,0.997343303,0.997168296,1.000670712,0.998341147,1.000913353,0.999600959,0.997367474,1.001090168,1.000675172,0.998658375,1.001273288,0.997229064,0.997297923,0.997042538,0.996460478,0.996813027,0.997107203,0.997042538,0.99705008,0.996381121,0.998785127,1.00024283,0.9967978,1.000015184,0.996685991,0.996786945,1.001305057,0.996720235,0.996936624,0.999899038,1.000012425,0.997325211,1.000811694,0.996213333,0.99658056,0.997382152,0.998300805,0.996547654,0.997497882,0.998539409,0.99860043,0.998908606,0.997459558,0.997210356,0.998048355,0.9973741,1.000831403,1.000709648,0.997304973,1.00026455,0.997042538,0.997062818,0.996868464,0.997958115,0.996006674,0.998324334,0.998160379,1.000009812,0.997577238,0.998609505,0.997420074,0.997459558,0.996548417,1.000666296,1.000013334,0.998724782,0.997042538,0.996425837,0.996458002,0.998627823,0.997624762,0.997389429,0.997135865,0.997353576,1.001085524,0.997162072,0.998730776,1.00822616,1.000728669,1.000665566,0.998727231,0.996031991,0.998155741,0.998495614,0.990668418,1.00117384,1.000013422,0.997218619,0.997258481,0.997407773,0.997496898,1.000013667,0.997376834,0.996384717,0.998051445,1.000738119,0.996607956,1.004395185,0.999839396,0.997191293,0.996948791,0.996764741,0.996712829,0.997961301,0.997449719,0.998946608,0.998813594,0.997169804
SSP1,2017,0.996455433,0.997187172,0.997133523,1.002307716,0.996274878,0.994714548,1.001765125,1.000630321,1.009150245,1.002757178,0.997588811,0.999403297,0.997632669,0.996026543,0.997500218,1.008335411,0.996274878,0.995658435,1.000765406,1.005368873,0.998528779,0.990495967,0.998837054,0.995253926,0.995747542,0.994448266,0.998821715,0.998741612,1.005769404,1.000879377,0.996967715,0.98792191,0.997454157,0.997203755,0.99688089,0.996522801,0.996335793,0.998735296,0.998526837,0.983420869,0.996467528,1.000677102,1.003959561,1.006117089,0.998417186,1.002243712,1.001883836,0.994935934,0.993513138,0.997415582,0.997543899,0.999824717,0.99518275,0.997576988,1.008594445,0.997175698,0.999012169,0.996749081,0.998787417,1.001651986,0.997168676,0.996403418,0.998530716,0.998617321,0.997543899,1.003566928,0.995987795,0.994464239,0.998567627,0.998635198,1.000623541,0.998708978,1.00481547,0.994205324,0.991924994,1.005746314,0.995932408,0.997426209,1.001702301,0.99936898,1.001234085,0.999194508,0.997607246,1.002583367,1.001706353,0.998562619,1.002908649,0.997481442,0.99754403,0.996274878,0.994600313,0.995658435,0.996541361,0.996274878,0.996369912,0.994362134,0.998698418,1.008784304,0.998281618,1.001905866,0.995465707,0.994875751,1.002940901,0.994753099,0.996029392,0.999866999,1.001559531,0.997568832,1.002296295,0.993858543,0.996892004,0.997620587,0.997810671,0.994861957,0.997713925,0.998360043,0.998500538,0.99883071,0.99692671,0.997464438,0.99730855,0.995988931,1.002971831,1.001801122,0.997550437,1.001827784,0.996274878,0.997330338,0.994785801,0.998371403,0.994641895,0.997930405,0.999288706,1.001231627,0.997967913,0.998510261,0.997655055,0.99692671,0.994437196,1.001691092,1.001673679,0.998633766,0.996274878,0.994752509,0.994270958,0.998529887,0.996448978,0.997627201,0.996627385,0.995951263,1.002508296,0.997420552,0.998640187,1.019704509,1.001849398,1.001689238,0.998636389,0.993602726,0.99755052,0.998259205,0.984398864,1.002748826,1.00168474,0.997471948,0.99750818,0.997643874,0.997710969,1.001715392,0.997615753,0.994372926,0.997315513,1.001873381,0.995042944,1.01002699,1.001119843,0.996455433,0.99517332,0.994834927,0.995357705,0.997112395,0.997569371,0.998871424,0.998728917,0.995613981
SSP1,2018,0.995397147,0.997312581,0.996539239,1.004100238,0.995566094,0.993133366,1.003121615,1.001335627,1.012977461,1.005214051,0.997696313,1.001183417,0.997039289,0.995125341,0.99761167,1.018443188,0.995566094,0.994603695,1.001627555,1.010793653,0.997965729,0.986959789,0.998640055,0.993887595,0.994564505,0.992704485,0.998370774,0.998260015,1.008694321,1.001675348,0.996793436,0.984765985,0.996860454,0.996609598,0.996286148,0.99588653,0.99649469,0.998251282,0.997963044,0.977731381,0.996625022,1.001339961,1.009395613,1.01016231,0.997825228,1.005864659,1.003147379,0.993543902,0.991591005,0.997530807,0.996957211,0.999597134,0.995607861,0.997685017,1.013232635,0.99658149,1.000298524,0.9961541,0.99989434,1.003565248,0.996574456,0.995819076,0.997968408,0.998088157,0.996957211,1.006240704,0.990487153,0.992728985,0.998019444,0.998112875,1.001257614,0.998214892,1.008837557,0.992411171,0.994153831,1.009962951,0.994980951,0.997540961,1.00321919,0.999933323,1.003019154,0.999035003,0.997713926,1.004447857,1.003216714,0.99801252,1.005049698,0.997593732,0.997653528,0.995566094,0.992955417,0.994603695,0.995979062,0.995566094,0.99571199,0.992584395,0.998200291,1.015731645,0.998670155,1.00411316,0.994461835,0.993306515,1.005043169,0.993118055,0.995181548,0.999658828,1.003365714,0.997677225,1.003942453,0.991799933,0.997030573,0.997726672,0.997240649,0.993362989,0.99780561,0.997786966,0.99792668,0.998383212,0.996605889,0.997577486,0.996714583,0.995067649,1.00576216,1.00340607,0.99765965,1.002617708,0.995566094,0.997449364,0.993356313,0.999033301,0.992887462,0.997337564,1.001086045,1.002658046,0.997837432,0.997940124,0.997759603,0.996605889,0.992632657,1.003197993,1.003612064,0.998110895,0.995566094,0.993259521,0.992377227,0.99796726,0.995773297,0.997732992,0.996113064,0.995009871,1.00439894,0.997535556,0.998119774,1.03215284,1.003497364,1.003194488,0.998114523,0.991476907,0.996956991,0.997686689,0.979272733,1.004727824,1.003635936,0.997584661,0.997619277,0.997748921,0.997801005,1.003702087,0.997722054,0.992601206,0.996721558,1.003542717,0.99364492,1.015274279,1.002401495,0.995397147,0.993763741,0.993243787,0.994135235,0.996518073,0.997580432,0.998439507,0.998242461,0.994492528
SSP1,2019,0.993945608,0.997077436,0.995585278,1.005251166,0.99440643,0.991025705,1.004087533,1.001852231,1.015230052,1.006547859,0.997494745,1.001256007,0.996157638,0.99375371,0.997402695,1.027534537,0.99440643,0.993096207,1.002263067,1.015411144,0.997240144,0.982272739,0.998047263,0.992017613,0.992911375,0.990400794,0.997789661,0.997639396,1.011012358,1.002245231,0.99601302,0.980513016,0.995952942,0.995665812,0.995295589,0.994807968,0.99630998,0.997627548,0.9972365,0.970702873,0.996329718,1.001815634,1.012941795,1.012952569,0.997057226,1.007855834,1.003986901,0.991637226,0.988748075,0.997314757,0.996086465,0.999996374,0.994482293,0.99748246,1.016245849,0.995633639,1.000652678,0.995144446,0.999989666,1.005012472,0.995625587,0.99483562,0.997243777,0.997406239,0.996086465,1.00827105,0.987797553,0.990434727,0.997313018,0.997439774,1.001713107,0.997578179,1.011059336,0.990044857,0.996144182,1.012246835,0.993553728,0.997325799,1.004042692,0.999744821,1.00404435,0.998391715,0.997513899,1.005772395,1.004043505,0.997303624,1.006515814,0.997383187,0.997448216,0.99440643,0.990775119,0.993096207,0.995032985,0.99440643,0.994656897,0.99025265,0.997558369,1.02129084,0.999676116,1.005782796,0.992991628,0.99121239,1.006533729,0.990951234,0.993909934,0.998232449,1.004731943,0.997473986,1.004310309,0.989147978,0.996770753,0.99752776,0.99640585,0.991349058,0.997605112,0.997028047,0.997187166,0.997806535,0.995895904,0.99736552,0.995785977,0.993673806,1.006606048,1.004277377,0.997454874,1.003249811,0.99440643,0.997226188,0.990912424,0.99905324,0.99017866,0.996499044,1.001935734,1.003737014,0.996776699,0.997205405,0.997563572,0.995895904,0.990278602,1.004016073,1.005078292,0.997437087,0.99440643,0.991237449,0.989924643,0.997242221,0.994651137,0.997534632,0.995221686,0.993593784,1.005657457,0.997319921,0.997449134,1.042471551,1.004392026,1.004011671,0.997442009,0.988731488,0.996063439,0.996913842,0.972811365,1.006133573,1.005111854,0.997373323,0.997410967,0.997551955,0.997598628,1.005204858,0.997522737,0.990276324,0.995793961,1.00444898,0.99174607,1.019766043,1.003360488,0.993945608,0.991845984,0.991125465,0.992436527,0.995561051,0.99728802,0.99788291,0.997615581,0.992877256
SSP1,2020,0.992257406,0.996772038,0.99448889,1.006330864,0.993095907,0.98869626,1.004974958,1.002257013,1.017281136,1.007705992,0.997232953,1.001176429,0.99512548,0.992216195,0.997131285,1.036419993,0.993095907,0.991418603,1.002779902,1.01995058,0.996358751,0.976873419,0.99740399,0.989944159,0.991058888,0.987856414,0.997083763,0.99688551,1.013482328,1.002706304,0.995043029,0.975848228,0.994897813,0.994578461,0.994166692,0.993587041,0.996090885,0.996869878,0.996353944,0.962884068,0.995946184,1.002178537,1.016160037,1.015631993,0.996126021,1.009642265,1.004890006,0.98952413,0.98556476,0.997034158,0.995074762,1.000007722,0.993083769,0.997219385,1.018970664,0.994542678,1.000861018,0.993998587,0.999922423,1.006361356,0.994533723,0.993725537,0.996363545,0.996577891,0.995074762,1.01014285,0.984573745,0.987900537,0.996454899,0.996622136,1.002051034,0.996804742,1.013105901,0.987432394,0.998312392,1.014257195,0.99195616,0.997046353,1.004757732,0.99936373,1.005010133,0.997572939,0.997254109,1.007052134,1.004764488,0.996442504,1.007926129,0.997109738,0.997181562,0.993095907,0.988366784,0.991418603,0.993965121,0.993095907,0.993470632,0.98767983,0.996778605,1.026519988,1.000487827,1.007338978,0.991343551,0.98889685,1.007985833,0.988557179,0.992488509,0.995945518,1.006005335,0.997210025,1.004341477,0.986227383,0.996433306,0.997269418,0.995425047,0.989121412,0.99734701,0.996112935,0.996288854,0.997106026,0.995077774,0.997090224,0.994712112,0.992112296,1.007337346,1.005033926,0.997188916,1.003644727,0.993095907,0.996936333,0.98825833,0.998927007,0.987145467,0.9955052,1.002519421,1.004742665,0.99549132,0.996312918,0.997308973,0.995077774,0.987682323,1.004726404,1.006444888,0.996618591,0.993095907,0.988998983,0.987221949,0.996361492,0.993383116,0.997277009,0.99421323,0.992008244,1.006855125,0.997039861,0.996634484,1.052777415,1.005168853,1.004721223,0.996625084,0.985707154,0.99502071,0.995986673,0.96583629,1.007494502,1.006487482,0.997098843,0.997140421,0.997296142,0.997338486,1.006605514,0.997263871,0.987710957,0.994720992,1.005235881,0.989643412,1.024076875,1.004206793,0.992257406,0.98972093,0.988783792,0.99055124,0.994461944,0.99693009,0.997206792,0.996854088,0.991076546
SSP1,2021,0.990327531,0.996385674,0.993282038,1.007333237,0.991635842,0.98614496,1.005798828,1.002583564,1.019119939,1.008682639,0.996901758,1.000917976,0.993959497,0.990551389,0.996787921,1.045092725,0.991635842,0.989568128,1.003211811,1.024452336,0.995313509,0.970756989,0.996703025,0.987688381,0.989010623,0.985083561,0.99624664,0.995991477,1.016066424,1.003091104,0.993874736,0.970960149,0.993717214,0.993377359,0.992939156,0.992270638,0.995823759,0.995971358,0.995307323,0.954288628,0.995460972,1.002464157,1.019065436,1.018173723,0.995024271,1.011225364,1.005846518,0.987203188,0.982026572,0.996679168,0.993928227,0.999916251,0.991448421,0.996886566,1.021416851,0.993339279,1.000909857,0.992760259,0.99968055,1.007619824,0.993329749,0.992483353,0.99531968,0.995595555,0.993928227,1.011850427,0.98072357,0.985138898,0.995437257,0.995652501,1.002309014,0.995887524,1.014945137,0.984574376,1.000605486,1.015984234,0.990225265,0.996692823,1.00536072,0.99879825,1.00590808,0.996562954,0.996925445,1.008283705,1.005376019,0.995421305,1.009272407,0.996763795,0.996844216,0.991635842,0.985730665,0.989568128,0.992770209,0.991635842,0.992148421,0.984866866,0.995853885,1.03148178,1.001095537,1.008790849,0.989543226,0.986374636,1.009390863,0.985948553,0.990913465,0.992798945,1.007193371,0.996876085,1.004046164,0.983040509,0.996006399,0.996942587,0.994311653,0.986679562,0.997022713,0.995037836,0.995223549,0.996275294,0.994172282,0.996741946,0.993519591,0.990421084,1.007934232,1.005671919,0.996852449,1.003850919,0.991635842,0.996569634,0.985406628,0.998655233,0.983773217,0.994363594,1.002868031,1.005680906,0.993967138,0.99525452,0.996986877,0.994172282,0.984851133,1.005325422,1.007719881,0.995647938,0.991635842,0.986543204,0.98427364,0.995317037,0.992014885,0.996951087,0.993082189,0.990290586,1.007985052,0.996685554,0.995668394,1.063057657,1.005823946,1.005319584,0.995656295,0.982406161,0.993848001,0.994904545,0.958363193,1.008806,1.007770901,0.996751595,0.996798151,0.99697251,0.997011994,1.007912283,0.996936376,0.984906006,0.993529041,1.005899469,0.987335942,1.028186858,1.004964717,0.990327531,0.987408363,0.986232816,0.988477477,0.993253363,0.996498464,0.996404985,0.995951036,0.989122096
SSP1,2022,0.988331453,0.996115078,0.992054052,1.008375478,0.990169306,0.983482403,1.006700588,1.002968994,1.0207802,1.009633895,0.996669799,1.000830532,0.992764374,0.988841705,0.99654744,1.053780617,0.990169306,0.987670435,1.003707889,1.029268473,0.994228028,0.964332353,0.996126925,0.985335466,0.986896539,0.982175229,0.99537729,0.995063026,1.019371492,1.003541783,0.992710925,0.965928616,0.992510338,0.992153998,0.991694537,0.990937845,0.99570856,0.995038247,0.994220408,0.945140006,0.995121145,1.002811765,1.021899466,1.020645816,0.9938808,1.012687152,1.006956743,0.984797894,0.978460486,0.996430545,0.992759012,0.999930131,0.990089073,0.99665347,1.023706952,0.99211407,1.001075833,0.991506962,0.999600024,1.008949202,0.992104078,0.991254427,0.994235627,0.9945754,0.992759012,1.013598251,0.976719092,0.982242697,0.994380438,0.994645536,1.002629405,0.994934996,1.016844562,0.98158341,1.003452695,1.017893377,0.988444089,0.996445222,1.005948032,0.998356626,1.006881647,0.995576755,0.99669526,1.009602049,1.005974185,0.99436079,1.010696329,0.996521507,0.996607949,0.990169306,0.98297554,0.987670435,0.991587979,0.990169306,0.990827261,0.981918737,0.994893565,1.036875745,1.001780342,1.010324527,0.987717078,0.983733424,1.01088888,0.983213838,0.98931637,0.989004472,1.008448348,0.996642205,1.003766996,0.979684303,0.995707407,0.996713686,0.993168889,0.984136455,0.996790651,0.993924095,0.99411723,0.99541258,0.993301721,0.996498022,0.992303128,0.988682834,1.008421901,1.006293325,0.996616799,1.00422113,0.990169306,0.99631281,0.982505612,0.998466041,0.980227279,0.993188074,1.003337399,1.006672015,0.992551196,0.994155375,0.996761291,0.993301721,0.981875593,1.005908867,1.009066715,0.994639917,0.990169306,0.983990872,0.98117137,0.994232373,0.990626026,0.996722822,0.991969667,0.988523729,1.009171674,0.996437409,0.99466511,1.073511405,1.006462008,1.00590239,0.994650209,0.978932139,0.992647469,0.993785477,0.950594965,1.010208723,1.009126636,0.996508395,0.996558435,0.996745849,0.996777537,1.009292684,0.996707009,0.981966621,0.992313037,1.006545805,0.984939496,1.032179951,1.005790423,0.988331453,0.984993998,0.983560481,0.986336092,0.992023986,0.996149265,0.99557231,0.995013218,0.987099085
SSP1,2023,0.986087614,0.9957355,0.990673541,1.009332871,0.988535962,0.980590878,1.007535762,1.003278052,1.02221666,1.010395388,0.996344421,1.000553749,0.991410296,0.986956382,0.996210106,1.062213926,0.988535962,0.985587911,1.004119687,1.033960577,0.992981277,0.957157812,0.995473134,0.982773835,0.984570561,0.979023294,0.994378781,0.993996636,1.022778073,1.003918393,0.991366884,0.960477642,0.991146807,0.990777206,0.990300647,0.989450783,0.995531447,0.993966505,0.992972012,0.93523136,0.994644455,1.00308533,1.024379112,1.022944403,0.992568266,1.013960003,1.008099371,0.982174859,0.974521861,0.99608179,0.991438205,0.999828406,0.988524596,0.996326496,1.025720284,0.990735793,1.00107724,0.990106093,0.999361218,1.010174695,0.990725428,0.98987624,0.992990519,0.993403682,0.991438205,1.015186278,0.972139322,0.97910358,0.993166608,0.993488967,1.002873564,0.993840951,1.018496607,0.978340607,1.006274359,1.019537347,0.98648322,0.996097901,1.006418183,0.997742113,1.007769153,0.994408802,0.996372369,1.010864061,1.006457755,0.993142717,1.012046465,0.99618164,0.996276528,0.988535962,0.979986104,0.985587911,0.990262208,0.988535962,0.989354542,0.978725157,0.993790571,1.041942363,1.002291345,1.011738355,0.985696901,0.980867215,1.012329825,0.980248846,0.987551792,0.984406985,1.009605255,0.99631413,1.003162795,0.976059098,0.995287998,0.996392595,0.991872285,0.981371273,0.99646988,0.992648134,0.992846548,0.994421694,0.992301182,0.99615586,0.990931886,0.986767326,1.008738828,1.006790769,0.996286242,1.00442778,0.988535962,0.995952552,0.979401608,0.99809143,0.976322692,0.991849763,1.003532288,1.007585672,0.990895296,0.992892932,0.996444852,0.992301182,0.978656175,1.006375922,1.0103083,0.993482135,0.988535962,0.981212239,0.977818066,0.992986561,0.989079718,0.996402624,0.990717626,0.986577992,1.010282247,0.996089325,0.99351277,1.083863597,1.006972785,1.006368932,0.993494651,0.975178159,0.991289041,0.992505727,0.942313401,1.011553176,1.010376427,0.996167246,0.996222176,0.996427901,0.996454232,1.010565213,0.996385266,0.978782292,0.990942163,1.007063206,0.982329436,1.035959204,1.006522952,0.986087614,0.982367448,0.980661393,0.983995813,0.990642356,0.995704597,0.994615926,0.99393607,0.984882668
SSP1,2024,0.98359772,0.994394631,0.989136754,1.010200831,0.986614836,0.977818723,1.008300348,1.003508827,1.023420893,1.010961855,0.995195013,1.000074748,0.989893497,0.985017879,0.995018466,1.070373245,0.986614836,0.983344746,1.004445081,1.038507565,0.991569655,0.949213,0.994731626,0.980347048,0.982020025,0.976128659,0.993248228,0.992789225,1.026270471,1.004218412,0.989844137,0.954608898,0.989622859,0.989243231,0.988753743,0.987812916,0.995281615,0.992753034,0.991558526,0.92456699,0.992960534,1.003282696,1.026498448,1.025056997,0.991082883,1.01504508,1.009262864,0.979535907,0.970197363,0.994849804,0.98990892,0.999600448,0.986766625,0.995171452,1.027455936,0.989200694,1.000906374,0.98855391,0.998965322,1.011293538,0.989190049,0.988058224,0.991580755,0.992077015,0.98990892,1.016608894,0.966965209,0.976218622,0.99179226,0.992179453,1.0030394,0.992602229,1.019882931,0.975292941,1.009027124,1.020921027,0.984487689,0.994870981,1.006767923,0.996958418,1.008560638,0.993055087,0.995231749,1.012064406,1.006823464,0.991763564,1.013316955,0.99498105,0.995105773,0.986614836,0.977149927,0.983344746,0.988513868,0.986614836,0.987510116,0.975755495,0.992541716,1.046676674,1.002634039,1.013029143,0.98332546,0.978210937,1.013707729,0.977518139,0.985516525,0.979018161,1.01066148,0.995155198,1.002231933,0.972807205,0.993806424,0.995258335,0.99041822,0.978681731,0.99537869,0.991206289,0.991407828,0.993299772,0.990841738,0.994947164,0.989402108,0.984806037,1.008867391,1.007160813,0.995118542,1.004470869,0.986614836,0.99467993,0.976093837,0.997514686,0.972044952,0.990344886,1.003451528,1.008419818,0.988992206,0.991463542,0.995327022,0.990841738,0.975733766,1.00672336,1.011441835,0.992171246,0.986614836,0.978470677,0.974794779,0.991576002,0.98739713,0.995271516,0.989017497,0.984593884,1.011311747,0.994859708,0.992208043,1.094078097,1.007352747,1.00671599,0.992186279,0.971793389,0.989768952,0.991061639,0.933513494,1.012833704,1.011517453,0.99496213,0.995034331,0.995304741,0.995361386,1.011726999,0.995248702,0.975818678,0.989412664,1.007448095,0.979741327,1.039523804,1.007159899,0.98359772,0.979891746,0.977980342,0.981584107,0.989104723,0.994532393,0.993533069,0.992716478,0.982694232
