country,year,iso,Category,Income (net),id,gdp_ppp_pc_usd2011,avg_gdp,loggdp,population,TFP_yoy,Primary_prct,Secondary_prct,Tertiary_prct,gini
Argentina,1986,arg,q1,5.11,Argentina1986,12.689,8.318428571,2.540735476,61556208,0.895301654,0.398584,0.259461774,0.075266873,0.39484
Argentina,1987,arg,q1,4.6,Argentina1987,12.819,9.018666667,2.550928445,62510883,0.929670314,0.397327909,0.264424908,0.078269934,0.41674
Argentina,1989,arg,q1,4.1,Argentina1989,11.453,9.328083333,2.438251704,32263561,0.774369047,0.394815728,0.274351175,0.084276055,0.4398
Argentina,1990,arg,q1,4.95,Argentina1990,11.334,8.6083,2.427807058,32729739,0.734654884,0.393559637,0.279314308,0.087279116,0.4295
Argentina,1991,arg,q1,5.255771607,Argentina1991,12.2175,7.366666667,2.50286935,66272922,0.866469009,0.391687782,0.284381392,0.090461779,0.419678747
Argentina,1992,arg,q1,4.633374928,Argentina1992,13.0085,9.583857143,2.56560299,67184471,1.028436202,0.389815926,0.289448476,0.093644441,0.423338491
Argentina,1993,arg,q1,4.45,Argentina1993,13.8905,8.490115385,2.631205153,68081017,1.132238298,0.387944071,0.29451556,0.096827104,0.41436
Argentina,1994,arg,q1,4.32658658,Argentina1994,14.514,9.671631579,2.675113701,68960783,1.221496607,0.386072215,0.299582644,0.100009766,0.4351585
Argentina,1995,arg,q1,4.080763743,Argentina1995,13.927,8.825527778,2.633829402,69822982,1.203579086,0.38420036,0.304649728,0.103192429,0.442413222
Argentina,1996,arg,q1,3.90596872,Argentina1996,14.5215,8.215204545,2.67563031,70666058,1.246513484,0.381472306,0.308771924,0.107084331,0.443911208
Argentina,1997,arg,q1,3.85049345,Argentina1997,15.5175,9.307736842,2.741968419,71491405,1.326768018,0.378744251,0.31289412,0.110976233,0.453019605
Argentina,1998,arg,q1,3.800985502,Argentina1998,15.934,8.698522727,2.768455191,72305038,1.320864923,0.376016197,0.317016316,0.114868134,0.45295701
Argentina,1999,arg,q1,3.444888695,Argentina1999,15.2235,8.431131579,2.722840287,73115288,1.218484153,0.373288142,0.321138512,0.118760036,0.472945346
Argentina,2000,arg,q1,3.163395103,Argentina2000,14.9375,9.452444444,2.70387483,73928248,1.175785154,0.370560088,0.325260708,0.122651938,0.470287356
Argentina,2001,arg,q1,2.49,Argentina2001,14.123,8.752136364,2.647804674,74747153,1.101015298,0.367190767,0.329818709,0.125976793,0.477
Argentina,2002,arg,q1,2.625,Argentina2002,12.447,8.964846154,2.52147963,75571114,0.888781056,0.363821447,0.33437671,0.129301648,0.47482
Argentina,2003,arg,q1,3.595,Argentina2003,13.4,9.54248,2.595254707,76397247,0.979567341,0.360452126,0.338934711,0.132626504,0.44792
Argentina,2004,arg,q1,4,Argentina2004,14.499,10.6051,2.674079682,38491968,0.994420456,0.357082806,0.343492712,0.135951359,0.4264
Argentina,2005,arg,q1,4.375,Argentina2005,15.619,11.20794444,2.748488122,38892924,1.083252296,0.353713485,0.348050713,0.139276214,0.41818
Argentina,2006,arg,q1,4.42,Argentina2006,16.706,12.19429167,2.815767936,39289876,1.181605358,0.349359512,0.352461364,0.142442082,0.41968
Argentina,2007,arg,q1,4.545,Argentina2007,18.03,12.68722222,2.892037037,39684304,1.275129687,0.34500554,0.356872015,0.14560795,0.41664
Argentina,2008,arg,q1,4.84,Argentina2008,18.576,12.736,2.921870425,40080160,1.345786359,0.340651567,0.361282665,0.148773818,0.40099
Argentina,2009,arg,q1,4.845,Argentina2009,17.2355,12.6595,2.84697121,81282191,1.316659686,0.336297595,0.365693316,0.151939686,0.39632
Argentina,2010,arg,q1,4.965,Argentina2010,18.862,12.52243103,2.937149316,40895752,1.367949609,0.331943622,0.370103967,0.155105554,0.39625
Argentina,2011,arg,q1,5.34,Argentina2011,19.789,13.77528846,2.985126228,41320496,1.464370682,0.326815388,0.376795799,0.192394808,0.38726
Argentina,2012,arg,q1,5.59,Argentina2012,19.382,14.0893,2.9643448,41755188,1.43864173,0.321687153,0.38348763,0.229684061,0.37425
