GCAM_region_ID,year,value,scenario,POP,pop,pop_mil,gdppcap,region,,,,,
16,2100,6336436.179,SSP5,28810.99867,28810998.67,28.81099867,219931.1538,European Free Trade Association,,,,,
16,2099,6213147.813,SSP5,28725.48356,28725483.56,28.72548356,216293.9329,European Free Trade Association,,,,,
16,2098,6089859.447,SSP5,28639.96844,28639968.44,28.63996844,212634.9916,European Free Trade Association,,,,,
16,2097,5966571.082,SSP5,28554.45332,28554453.32,28.55445332,208954.1346,European Free Trade Association,,,,,
16,2096,5843282.716,SSP5,28468.9382,28468938.2,28.4689382,205251.1644,European Free Trade Association,,,,,
16,2095,5719994.35,SSP5,28383.42308,28383423.08,28.38342308,201525.8813,European Free Trade Association,,,,,
16,2094,5606279.312,SSP5,28280.82386,28280823.86,28.28082386,198236.0677,European Free Trade Association,,,,,
16,2093,5492564.274,SSP5,28178.22463,28178224.63,28.17822463,194922.2971,European Free Trade Association,,,,,
16,2092,5378849.236,SSP5,28075.6254,28075625.4,28.0756254,191584.307,European Free Trade Association,,,,,
16,2091,5265134.198,SSP5,27973.02618,27973026.18,27.97302618,188221.8307,European Free Trade Association,,,,,
16,2090,5151419.16,SSP5,27870.42695,27870426.95,27.87042695,184834.5979,European Free Trade Association,,,,,
16,2089,5045124.327,SSP5,27747.99504,27747995.04,27.74799504,181819.4187,European Free Trade Association,,,,,
16,2088,4938829.494,SSP5,27625.56312,27625563.12,27.62556312,178777.5138,European Free Trade Association,,,,,
16,2087,4832534.661,SSP5,27503.13121,27503131.21,27.50313121,175708.5266,European Free Trade Association,,,,,
6,2100,12980924.89,SSP5,74830.55643,74830556.43,74.83055643,173470.9123,Australia_NZ,,,,,
16,2086,4726239.828,SSP5,27380.6993,27380699.3,27.3806993,172612.0935,European Free Trade Association,,,,,
6,2099,12726782.75,SSP5,74631.27844,74631278.44,74.63127844,170528.8053,Australia_NZ,,,,,
16,2085,4619944.995,SSP5,27258.26739,27258267.39,27.25826739,169487.8449,European Free Trade Association,,,,,
6,2098,12472640.6,SSP5,74432.00046,74432000.46,74.43200046,167570.9443,Australia_NZ,,,,,
16,2084,4520290.15,SSP5,27115.11811,27115118.11,27.11511811,166707.3745,European Free Trade Association,,,,,
19,2100,17531066.27,SSP5,106443.1473,106443147.3,106.4431473,164698.8717,Japan,,,,,
6,2097,12218498.46,SSP5,74232.72247,74232722.47,74.23272247,164597.2026,Australia_NZ,,,,,
16,2083,4420635.306,SSP5,26971.96883,26971968.83,26.97196883,163897.3904,European Free Trade Association,,,,,
19,2099,17295652.58,SSP5,106867.2905,106867290.5,106.8672905,161842.342,Japan,,,,,
6,2096,11964356.31,SSP5,74033.44448,74033444.48,74.03344448,161607.4518,Australia_NZ,,,,,
16,2082,4320980.461,SSP5,26828.81955,26828819.55,26.82881955,161057.4201,European Free Trade Association,,,,,
16,2100,2324611.626,SSP4,14472.50774,14472507.74,14.47250774,160622.5865,European Free Trade Association,,,,,
19,2098,17060238.89,SSP5,107291.4337,107291433.7,107.2914337,159008.3971,Japan,,,,,
16,2099,2311545.386,SSP4,14573.9854,14573985.4,14.5739854,158607.637,European Free Trade Association,,,,,
6,2095,11710214.17,SSP5,73834.16649,73834166.49,73.83416649,158601.5624,Australia_NZ,,,,,
16,2081,4221325.616,SSP5,26685.67027,26685670.27,26.68567027,158186.981,European Free Trade Association,,,,,
16,2098,2298479.146,SSP4,14675.46305,14675463.05,14.67546305,156620.5534,European Free Trade Association,,,,,
19,2097,16824825.2,SSP5,107715.5768,107715576.8,107.7155768,156196.7702,Japan,,,,,
6,2094,11473404.21,SSP5,73576.54147,73576541.47,73.57654147,155938.3464,Australia_NZ,,,,,
16,2080,4121670.771,SSP5,26542.52099,26542520.99,26.54252099,155285.5802,European Free Trade Association,,,,,
16,2097,2285412.905,SSP4,14776.94071,14776940.71,14.77694071,154660.7616,European Free Trade Association,,,,,
19,2096,16589411.51,SSP5,108139.72,108139720,108.13972,153407.1986,Japan,,,,,
6,2093,11236594.25,SSP5,73318.91645,73318916.45,73.31891645,153256.4145,Australia_NZ,,,,,
16,2096,2272346.665,SSP4,14878.41837,14878418.37,14.87841837,152727.7032,European Free Trade Association,,,,,
16,2079,4028618.902,SSP5,26379.72747,26379727.47,26.37972747,152716.4716,European Free Trade Association,,,,,
16,2095,2259280.424,SSP4,14979.89603,14979896.03,14.97989603,150820.8348,European Free Trade Association,,,,,
19,2095,16353997.82,SSP5,108563.8632,108563863.2,108.5638632,150639.424,Japan,,,,,
6,2092,10999784.29,SSP5,73061.29142,73061291.42,73.06129142,150555.5688,Australia_NZ,,,,,
16,2078,3935567.033,SSP5,26216.93395,26216933.95,26.21693395,150115.4575,European Free Trade Association,,,,,
16,2094,2244222.529,SSP4,15066.35404,15066354.04,15.06635404,148955.9136,European Free Trade Association,,,,,
19,2094,16130889.03,SSP5,109001.915,109001915,109.001915,147987.2076,Japan,,,,,
6,2091,10762974.33,SSP5,72803.6664,72803666.4,72.8036664,147835.6086,Australia_NZ,,,,,
16,2077,3842515.164,SSP5,26054.14043,26054140.43,26.05414043,147481.9396,European Free Trade Association,,,,,
16,2093,2229164.634,SSP4,15152.81204,15152812.04,15.15281204,147112.2738,European Free Trade Association,,,,,
19,2093,15907780.24,SSP5,109439.9669,109439966.9,109.4399669,145356.2231,Japan,,,,,
16,2092,2214106.74,SSP4,15239.27005,15239270.05,15.23927005,145289.5534,European Free Trade Association,,,,,
6,2090,10526164.37,SSP5,72546.04137,72546041.37,72.54604137,145096.3301,Australia_NZ,,,,,
