"year","sce","state","total_pop"
2010,"SSP2","AK",708670.000000125
2010,"SSP2","AL",4782789
2010,"SSP2","AR",2917270.00000022
2010,"SSP2","AZ",6387700.0000002
2010,"SSP2","CA",37236690.000003
2010,"SSP2","CO",5027370
2010,"SSP2","CT",3582333
2010,"SSP2","DC",602049.99999996
2010,"SSP2","DE",899239.9999999
2010,"SSP2","FL",18795120.0000045
2010,"SSP2","GA",9689279.9999984
2010,"SSP2","HI",1355130.00000026
2010,"SSP2","IA",3048679.9999996
2010,"SSP2","ID",1568850.00000008
2010,"SSP2","IL",12825089.9999971
2010,"SSP2","IN",6486509.9999998
2010,"SSP2","KS",2849550.00000037
2010,"SSP2","KY",4337910.0000002
2010,"SSP2","LA",4529330.0000016
2010,"SSP2","MA",6545879.9999984
2010,"SSP2","MD",5770369.9999997
2010,"SSP2","ME",1330069.99999974
2010,"SSP2","MI",9889769.9999979
2010,"SSP2","MN",5307340.0000005
2010,"SSP2","MO",5990920.0000018
2010,"SSP2","MS",2968220.00000096
2010,"SSP2","MT",990499.99999985
2010,"SSP2","NC",9538040.0000015
2010,"SSP2","ND",672309.9999998
2010,"SSP2","NE",1823409.99999859
2010,"SSP2","NH",1315279.99999936
2010,"SSP2","NJ",8789650.0000037
2010,"SSP2","NM",2056780.0000003
2010,"SSP2","NV",2703319.99999962
2010,"SSP2","NY",19376040.0000033
2010,"SSP2","OH",11523779.9999954
2010,"SSP2","OK",3756649.99999904
2010,"SSP2","OR",3837590.00000128
2010,"SSP2","PA",12688140.0000088
2010,"SSP2","RI",1050019.99999926
2010,"SSP2","SC",4625149.99999969
2010,"SSP2","SD",815809.99999956
2010,"SSP2","TN",6351679.99999995
2010,"SSP2","TX",25132430.0000025
2010,"SSP2","UT",2764120.00000121
2010,"SSP2","VA",8007559.9999983
2010,"SSP2","VT",624390.00000002
2010,"SSP2","WA",6729569.9999985
2010,"SSP2","WI",5684769.9999978
2010,"SSP2","WV",1856089.99999992
2010,"SSP2","WY",565560.000000047
2010,"SSP3","AK",708670.000000125
2010,"SSP3","AL",4782789
2010,"SSP3","AR",2917270.00000022
2010,"SSP3","AZ",6387700.0000002
2010,"SSP3","CA",37236690.000003
2010,"SSP3","CO",5027370
2010,"SSP3","CT",3582333
2010,"SSP3","DC",602049.99999996
2010,"SSP3","DE",899239.9999999
2010,"SSP3","FL",18795120.0000045
2010,"SSP3","GA",9689279.9999984
2010,"SSP3","HI",1355130.00000026
2010,"SSP3","IA",3048679.9999996
2010,"SSP3","ID",1568850.00000008
2010,"SSP3","IL",12825089.9999971
2010,"SSP3","IN",6486509.9999998
2010,"SSP3","KS",2849550.00000037
2010,"SSP3","KY",4337910.0000002
2010,"SSP3","LA",4529330.0000016
2010,"SSP3","MA",6545879.9999984
2010,"SSP3","MD",5770369.9999997
2010,"SSP3","ME",1330069.99999974
2010,"SSP3","MI",9889769.9999979
2010,"SSP3","MN",5307340.0000005
2010,"SSP3","MO",5990920.0000018
2010,"SSP3","MS",2968220.00000096
2010,"SSP3","MT",990499.99999985
2010,"SSP3","NC",9538040.0000015
2010,"SSP3","ND",672309.9999998
2010,"SSP3","NE",1823409.99999859
2010,"SSP3","NH",1315279.99999936
2010,"SSP3","NJ",8789650.0000037
2010,"SSP3","NM",2056780.0000003
2010,"SSP3","NV",2703319.99999962
2010,"SSP3","NY",19376040.0000033
2010,"SSP3","OH",11523779.9999954
2010,"SSP3","OK",3756649.99999904
2010,"SSP3","OR",3837590.00000128
2010,"SSP3","PA",12688140.0000088
2010,"SSP3","RI",1050019.99999926
2010,"SSP3","SC",4625149.99999969
2010,"SSP3","SD",815809.99999956
2010,"SSP3","TN",6351679.99999995
2010,"SSP3","TX",25132430.0000025
2010,"SSP3","UT",2764120.00000121
2010,"SSP3","VA",8007559.9999983
2010,"SSP3","VT",624390.00000002
2010,"SSP3","WA",6729569.9999985
2010,"SSP3","WI",5684769.9999978
2010,"SSP3","WV",1856089.99999992
2010,"SSP3","WY",565560.000000047
2010,"SSP5","AK",708670.000000125
2010,"SSP5","AL",4782789
2010,"SSP5","AR",2917270.00000022
2010,"SSP5","AZ",6387700.0000002
2010,"SSP5","CA",37236690.000003
2010,"SSP5","CO",5027370
2010,"SSP5","CT",3582333
2010,"SSP5","DC",602049.99999996
2010,"SSP5","DE",899239.9999999
2010,"SSP5","FL",18795120.0000045
2010,"SSP5","GA",9689279.9999984
2010,"SSP5","HI",1355130.00000026
2010,"SSP5","IA",3048679.9999996
2010,"SSP5","ID",1568850.00000008
2010,"SSP5","IL",12825089.9999971
2010,"SSP5","IN",6486509.9999998
2010,"SSP5","KS",2849550.00000037
2010,"SSP5","KY",4337910.0000002
2010,"SSP5","LA",4529330.0000016
2010,"SSP5","MA",6545879.9999984
2010,"SSP5","MD",5770369.9999997
2010,"SSP5","ME",1330069.99999974
2010,"SSP5","MI",9889769.9999979
2010,"SSP5","MN",5307340.0000005
2010,"SSP5","MO",5990920.0000018
2010,"SSP5","MS",2968220.00000096
2010,"SSP5","MT",990499.99999985
2010,"SSP5","NC",9538040.0000015
2010,"SSP5","ND",672309.9999998
2010,"SSP5","NE",1823409.99999859
2010,"SSP5","NH",1315279.99999936
2010,"SSP5","NJ",8789650.0000037
2010,"SSP5","NM",2056780.0000003
2010,"SSP5","NV",2703319.99999962
2010,"SSP5","NY",19376040.0000033
2010,"SSP5","OH",11523779.9999954
2010,"SSP5","OK",3756649.99999904
2010,"SSP5","OR",3837590.00000128
2010,"SSP5","PA",12688140.0000088
2010,"SSP5","RI",1050019.99999926
2010,"SSP5","SC",4625149.99999969
2010,"SSP5","SD",815809.99999956
2010,"SSP5","TN",6351679.99999995
2010,"SSP5","TX",25132430.0000025
2010,"SSP5","UT",2764120.00000121
2010,"SSP5","VA",8007559.9999983
2010,"SSP5","VT",624390.00000002
2010,"SSP5","WA",6729569.9999985
2010,"SSP5","WI",5684769.9999978
2010,"SSP5","WV",1856089.99999992
2010,"SSP5","WY",565560.000000047
2011,"SSP2","AK",690720.454744484
2011,"SSP2","AL",4819519.45721779
2011,"SSP2","AR",2941776.13923766
2011,"SSP2","AZ",6480660.08603381
2011,"SSP2","CA",37503707.5544987
2011,"SSP2","CO",5108564.52187487
2011,"SSP2","CT",3589747.24442978
2011,"SSP2","DC",607735.214829675
2011,"SSP2","DE",912061.894802632
2011,"SSP2","FL",18938897.9688105
2011,"SSP2","GA",9806208.63622304
2011,"SSP2","HI",1369197.4468307
