# 
state,year,value
AL,1971,19.25272755966904
AK,1971,79.97279974616045
AZ,1971,34.580392100230824
AR,1971,18.041423426405817
CA,1971,33.773530041243774
CO,1971,30.9539935562798
CT,1971,31.37673208804288
DE,1971,34.181244614511314
DC,1971,53.808476935172365
FL,1971,32.28795199216885
GA,1971,27.640332114570857
HI,1971,34.553202058689614
ID,1971,20.095301080289023
IL,1971,22.74677466199126
IN,1971,19.128859392238258
IA,1971,16.967389668320887
KS,1971,21.845894225395153
KY,1971,18.380486930110145
LA,1971,24.05931443541826
ME,1971,21.441317958156745
MD,1971,26.257399245823166
MA,1971,27.404157696592318
MI,1971,21.11331763991987
MN,1971,24.63965750562522
MS,1971,16.33602764345192
MO,1971,21.019787714983963
MT,1971,17.60500101214188
NE,1971,19.53630204774698
NV,1971,47.97172012984196
NH,1971,29.956511451969902
NJ,1971,27.155311272302544
NM,1971,21.87094113190974
NY,1971,26.242408717452307
NC,1971,24.22301908518144
ND,1971,17.847624350271715
OH,1971,19.716903633542245
OK,1971,20.748599308901028
OR,1971,22.67683718651159
PA,1971,19.226506219302312
RI,1971,21.216991498871568
SC,1971,21.606666717902304
SD,1971,17.377596671473906
TN,1971,22.36512606073584
TX,1971,28.98509917140329
UT,1971,25.40743267192457
VT,1971,21.722584473054074
VA,1971,28.18145334310726
WA,1971,29.886389767895782
WV,1971,13.887273955420662
WI,1971,20.09772292959193
WY,1971,30.894125488989623
AL,1972,19.024240824007528
AK,1972,77.99816271539105
AZ,1972,32.65160528985938
AR,1972,17.62143982014476
CA,1972,33.38140598587057
CO,1972,29.654054533749964
CT,1972,31.29494197507307
DE,1972,33.70401955881133
DC,1972,54.38862223905563
FL,1972,30.770491327379126
GA,1972,27.082812419184418
HI,1972,33.468198129310466
ID,1972,19.463207730450314
IL,1972,22.64569585528138
IN,1972,18.952074384652505
IA,1972,16.91992843847943
KS,1972,21.75874305162363
KY,1972,18.171116875150854
LA,1972,23.726756128495943
ME,1972,21.047328556604544
MD,1972,25.902830878889635
MA,1972,27.299489038723387
MI,1972,20.984706224459067
MN,1972,24.531421284024283
MS,1972,16.03862271886372
MO,1972,20.87403167493469
MT,1972,17.409117829809286
NE,1972,19.356243964357606
NV,1972,45.60382900825927
NH,1972,29.22773588527665
NJ,1972,26.955394870297862
NM,1972,21.36420014182842
NY,1972,26.269596991929195
NC,1972,23.779775762928544
ND,1972,17.73448568561072
OH,1972,19.694887922776218
OK,1972,20.43647295600293
OR,1972,22.202037682378897
PA,1972,19.190985297499772
RI,1972,20.955859295808533
SC,1972,21.15371342517688
SD,1972,17.223585474976353
TN,1972,21.922738951842167
TX,1972,28.371331870299503
UT,1972,24.646328961928596
VT,1972,21.300331211158856
VA,1972,27.754992710012974
WA,1972,29.886389767895782
WV,1972,13.678733134065624
WI,1972,19.919155866690183
WY,1972,30.270901055494157
AL,1973,18.806365440268895
AK,1973,76.34865474255801
AZ,1973,30.868372609245593
AR,1973,17.27910976050135
CA,1973,32.927128382727766
CO,1973,28.572917128873662
CT,1973,31.30514241248346
DE,1973,33.412462296191855
DC,1973,55.20705567904142
FL,1973,29.203583568352872
GA,1973,26.52571179711973
HI,1973,32.52543198482285
ID,1973,18.990316494032722
IL,1973,22.647708627111022
IN,1973,18.82425972038733
IA,1973,16.896297253509488
KS,1973,21.66272035501452
KY,1973,17.982452060368807
LA,1973,23.563900885797715
ME,1973,20.805867808345216
MD,1973,25.744809704665077
MA,1973,27.200321201011366
MI,1973,20.871437816770317
MN,1973,24.411571192896368
MS,1973,15.745150047837702
MO,1973,20.769290558439096
MT,1973,17.217545694130507
NE,1973,19.217081426051767
NV,1973,43.84058781637578
NH,1973,28.49795471460807
NJ,1973,26.962746675799103
NM,1973,20.84265095210928
NY,1973,26.503721144027587
NC,1973,23.38712269374475
ND,1973,17.67845255548241
OH,1973,19.658304124275656
OK,1973,20.156002073446512
OR,1973,21.756412483580032
PA,1973,19.21842174103333
RI,1973,20.934388128497254
SC,1973,20.71190018115086
SD,1973,17.172853264446232
TN,1973,21.64784567344916
TX,1973,27.75528215165157
UT,1973,23.909045616913637
VT,1973,21.072763570013993
VA,1973,27.31893181658898
WA,1973,29.620083909084407
WV,1973,13.618140739230338
WI,1973,19.822289945145712
WY,1973,29.672323915978737
AL,1974,18.56778496308953
AK,1974,74.10969126037155
AZ,1974,29.493667756202267
AR,1974,16.933692049915408
CA,1974,32.452830935068754
CO,1974,28.066903248197036
CT,1974,31.24403933685727
DE,1974,33.23993667331995
DC,1974,56.20662632504077
FL,1974,27.84879628388295
GA,1974,26.053459676706915
HI,1974,31.925884851462058
ID,1974,18.379241953383154
IL,1974,22.62558779645055
IN,1974,18.740003429210663
IA,1974,16.87273198537349
KS,1974,21.634078591653992
KY,1974,17.74556378673983
LA,1974,23.36650695167585
ME,1974,20.550460554796125
MD,1974,25.613554301946465
MA,1974,27.23329699741024
MI,1974,20.779876343566674
MN,1974,24.31777673390727
MS,1974,15.559757196139026
MO,1974,20.71299348227986
MT,1974,17.007005053849017
NE,1974,19.10470083291696
NV,1974,41.784412843413435
NH,1974,27.97409525294248
NJ,1974,26.966424082601584
NM,1974,20.381938066342055
NY,1974,26.690201619667008
NC,1974,23.040868455361764
ND,1974,17.62277238995333
OH,1974,19.660130086018576
OK,1974,19.868585590497915
OR,1974,21.34699202984089
PA,1974,19.250800515763398
RI,1974,21.48471378907815
SC,1974,20.21685300634655
SD,1974,17.147599068469102
TN,1974,21.30365828376689
TX,1974,27.191987241246384
UT,1974,23.311319476490795
VT,1974,20.850007084073045
VA,1974,26.934235532710236
WA,1974,29.02768223090272
WV,1974,13.550612768622585
WI,1974,19.726361573215836
WY,1974,28.699460836766317
AL,1975,18.30029580760061
AK,1975,67.21118276539016
AZ,1975,28.693401935246232
AR,1975,16.47115138744087
CA,1975,31.904366339453325
CO,1975,27.578500059423305
CT,1975,31.16293865071358
DE,1975,32.900175821463186
DC,1975,57.08112829049402
FL,1975,27.13279647334405
GA,1975,25.71904520613307
HI,1975,31.277277710010235
ID,1975,17.849071512420178
IL,1975,22.565477308149674
IN,1975,18.726033989457243
IA,1975,16.796596783773403
KS,1975,21.520264938387946
KY,1975,17.479482668830236
LA,1975,22.969649139321085
ME,1975,20.30124788015774
MD,1975,25.4897874292625
MA,1975,27.308971320431873
MI,1975,20.779876343566674
MN,1975,24.138469455676066
MS,1975,15.423552568744729
MO,1975,20.66129715911277
MT,1975,16.734165400578714
NE,1975,19.055174712805705
NV,1975,40.23434591535132
NH,1975,27.535418246563406
NJ,1975,26.944374676156286
NM,1975,19.872389614683506
NY,1975,26.759881088429122
NC,1975,22.725183219629386
ND,1975,17.512457695806518
OH,1975,19.65282827354466
OK,1975,19.582191563968216
