state,year,GDP_PC_2011_USD,Population
NM,2015,27592.56284,2090000
NM,2016,27592.56284,2090000
NM,2017,27592.56284,2090000
NM,2018,27592.56284,2090000
NM,2019,27592.56284,2090000
SC,2030,27778.27585,5672000
SC,2031,27778.27585,5672000
SC,2032,27778.27585,5672000
SC,2033,27778.27585,5672000
SC,2034,27778.27585,5672000
MS,2035,27804.96341,3136000
MS,2036,27804.96341,3136000
MS,2037,27804.96341,3136000
MS,2038,27804.96341,3136000
MS,2039,27804.96341,3136000
ME,2020,27823.28194,1345000
ME,2021,27823.28194,1345000
ME,2022,27823.28194,1345000
ME,2023,27823.28194,1345000
ME,2024,27823.28194,1345000
MT,2025,28027.53626,1118000
MT,2026,28027.53626,1118000
MT,2027,28027.53626,1118000
MT,2028,28027.53626,1118000
MT,2029,28027.53626,1118000
AR,2030,28065.28738,3184000
AR,2031,28065.28738,3184000
AR,2032,28065.28738,3184000
AR,2033,28065.28738,3184000
AR,2034,28065.28738,3184000
MI,2015,28132.31493,9933000
MI,2016,28132.31493,9933000
MI,2017,28132.31493,9933000
MI,2018,28132.31493,9933000
MI,2019,28132.31493,9933000
FL,2020,28336.71986,21915000
FL,2021,28336.71986,21915000
FL,2022,28336.71986,21915000
FL,2023,28336.71986,21915000
FL,2024,28336.71986,21915000
AZ,2020,28544.51891,7406000
AZ,2021,28544.51891,7406000
AZ,2022,28544.51891,7406000
AZ,2023,28544.51891,7406000
AZ,2024,28544.51891,7406000
MO,2015,28828.34917,6072000
MO,2016,28828.34917,6072000
MO,2017,28828.34917,6072000
MO,2018,28828.34917,6072000
MO,2019,28828.34917,6072000
AL,2025,28901.3872,5017000
AL,2026,28901.3872,5017000
AL,2027,28901.3872,5017000
AL,2028,28901.3872,5017000
AL,2029,28901.3872,5017000
ID,2025,28940.34569,1956000
ID,2026,28940.34569,1956000
ID,2027,28940.34569,1956000
ID,2028,28940.34569,1956000
ID,2029,28940.34569,1956000
TN,2015,28942.60185,6591000
TN,2016,28942.60185,6591000
TN,2017,28942.60185,6591000
TN,2018,28942.60185,6591000
TN,2019,28942.60185,6591000
NM,2020,29003.57369,2102000
NM,2021,29003.57369,2102000
NM,2022,29003.57369,2102000
NM,2023,29003.57369,2102000
NM,2024,29003.57369,2102000
KY,2025,29055.25785,4595000
KY,2026,29055.25785,4595000
KY,2027,29055.25785,4595000
KY,2028,29055.25785,4595000
KY,2029,29055.25785,4595000
VT,2015,29249.28264,625000
VT,2016,29249.28264,625000
VT,2017,29249.28264,625000
VT,2018,29249.28264,625000
VT,2019,29249.28264,625000
SC,2035,29366.12722,5823000
SC,2036,29366.12722,5823000
SC,2037,29366.12722,5823000
SC,2038,29366.12722,5823000
SC,2039,29366.12722,5823000
WV,2025,29564.64115,1776000
WV,2026,29564.64115,1776000
WV,2027,29564.64115,1776000
WV,2028,29564.64115,1776000
WV,2029,29564.64115,1776000
NC,2015,29587.89404,10033000
NC,2016,29587.89404,10033000
NC,2017,29587.89404,10033000
NC,2018,29587.89404,10033000
NC,2019,29587.89404,10033000
IN,2015,29760.94145,6608000
IN,2016,29760.94145,6608000
IN,2017,29760.94145,6608000
IN,2018,29760.94145,6608000
IN,2019,29760.94145,6608000
GA,2015,29873.89096,10181000
GA,2016,29873.89096,10181000
GA,2017,29873.89096,10181000
GA,2018,29873.89096,10181000
GA,2019,29873.89096,10181000
NV,2015,29884.92414,2869000
NV,2016,29884.92414,2869000
NV,2017,29884.92414,2869000
NV,2018,29884.92414,2869000
NV,2019,29884.92414,2869000
MS,2040,30031.13243,3199000
MS,2041,30031.13243,3199000
MS,2042,30031.13243,3199000
MS,2043,30031.13243,3199000
MS,2044,30031.13243,3199000
UT,2015,30082.18555,2982000
UT,2016,30082.18555,2982000
UT,2017,30082.18555,2982000
UT,2018,30082.18555,2982000
UT,2019,30082.18555,2982000
AR,2035,30155.28523,3252000
AR,2036,30155.28523,3252000
AR,2037,30155.28523,3252000
AR,2038,30155.28523,3252000
AR,2039,30155.28523,3252000
OR,2015,30269.81011,4017000
OR,2016,30269.81011,4017000
OR,2017,30269.81011,4017000
OR,2018,30269.81011,4017000
OR,2019,30269.81011,4017000
MT,2030,30278.16159,1150000
MT,2031,30278.16159,1150000
MT,2032,30278.16159,1150000
MT,2033,30278.16159,1150000
MT,2034,30278.16159,1150000
ME,2025,30386.30308,1368000
ME,2026,30386.30308,1368000
ME,2027,30386.30308,1368000
ME,2028,30386.30308,1368000
ME,2029,30386.30308,1368000
MO,2020,30396.0844,6166000
MO,2021,30396.0844,6166000
MO,2022,30396.0844,6166000
MO,2023,30396.0844,6166000
MO,2024,30396.0844,6166000
FL,2025,30670.95802,23269000
FL,2026,30670.95802,23269000
FL,2027,30670.95802,23269000
FL,2028,30670.95802,23269000
FL,2029,30670.95802,23269000
SC,2040,31042.32899,5973000
SC,2041,31042.32899,5973000
SC,2042,31042.32899,5973000
SC,2043,31042.32899,5973000
SC,2044,31042.32899,5973000
VT,2020,31151.70203,628000
VT,2021,31151.70203,628000
VT,2022,31151.70203,628000
VT,2023,31151.70203,628000
VT,2024,31151.70203,628000
MI,2020,31167.21034,10048000
MI,2021,31167.21034,10048000
MI,2022,31167.21034,10048000
MI,2023,31167.21034,10048000
MI,2024,31167.21034,10048000
NV,2020,31310.0733,3152000
NV,2021,31310.0733,3152000
NV,2022,31310.0733,3152000
NV,2023,31310.0733,3152000
NV,2024,31310.0733,3152000
NC,2020,31371.87811,10601000
NC,2021,31371.87811,10601000
NC,2022,31371.87811,10601000
NC,2023,31371.87811,10601000
NC,2024,31371.87811,10601000
WI,2015,31425.85529,5761000
WI,2016,31425.85529,5761000
WI,2017,31425.85529,5761000
WI,2018,31425.85529,5761000
WI,2019,31425.85529,5761000
LA,2015,31470.24741,4665000
LA,2016,31470.24741,4665000
LA,2017,31470.24741,4665000
LA,2018,31470.24741,4665000
LA,2019,31470.24741,4665000
TN,2020,31508.66615,6889000
TN,2021,31508.66615,6889000
TN,2022,31508.66615,6889000
TN,2023,31508.66615,6889000
TN,2024,31508.66615,6889000
OH,2015,31534.0854,11618000
OH,2016,31534.0854,11618000
OH,2017,31534.0854,11618000
OH,2018,31534.0854,11618000
OH,2019,31534.0854,11618000
OK,2015,31580.23213,3910000
OK,2016,31580.23213,3910000
OK,2017,31580.23213,3910000
OK,2018,31580.23213,3910000
OK,2019,31580.23213,3910000
KS,2015,31608.11912,2910000
KS,2016,31608.11912,2910000
KS,2017,31608.11912,2910000
KS,2018,31608.11912,2910000
KS,2019,31608.11912,2910000
AZ,2025,31609.48289,7914000
AZ,2026,31609.48289,7914000
AZ,2027,31609.48289,7914000
AZ,2028,31609.48289,7914000
AZ,2029,31609.48289,7914000
NM,2025,31622.44876,2136000
NM,2026,31622.44876,2136000
NM,2027,31622.44876,2136000
NM,2028,31622.44876,2136000
NM,2029,31622.44876,2136000
AL,2030,31692.32155,5153000
AL,2031,31692.32155,5153000
AL,2032,31692.32155,5153000
AL,2033,31692.32155,5153000
AL,2034,31692.32155,5153000
KY,2030,31699.2903,4719000
KY,2031,31699.2903,4719000
KY,2032,31699.2903,4719000
KY,2033,31699.2903,4719000
KY,2034,31699.2903,4719000
WV,2030,31740.0729,1803000
WV,2031,31740.0729,1803000
WV,2032,31740.0729,1803000
WV,2033,31740.0729,1803000
WV,2034,31740.0729,1803000
ID,2030,31763.40531,2041000
ID,2031,31763.40531,2041000
ID,2032,31763.40531,2041000
ID,2033,31763.40531,2041000
ID,2034,31763.40531,2041000
IN,2020,31809.14474,6760000
IN,2021,31809.14474,6760000
IN,2022,31809.14474,6760000
IN,2023,31809.14474,6760000
IN,2024,31809.14474,6760000
RI,2015,31853.99374,1056000
RI,2016,31853.99374,1056000
RI,2017,31853.99374,1056000
RI,2018,31853.99374,1056000
RI,2019,31853.99374,1056000
OK,2020,32058.71289,3967000
OK,2021,32058.71289,3967000
OK,2022,32058.71289,3967000
OK,2023,32058.71289,3967000
OK,2024,32058.71289,3967000
LA,2020,32349.08761,4648000
LA,2021,32349.08761,4648000
LA,2022,32349.08761,4648000
LA,2023,32349.08761,4648000
LA,2024,32349.08761,4648000
AR,2040,32424.94045,3320000
AR,2041,32424.94045,3320000
AR,2042,32424.94045,3320000
AR,2043,32424.94045,3320000
AR,2044,32424.94045,3320000
GA,2020,32451.45773,10725000
GA,2021,32451.45773,10725000
GA,2022,32451.45773,10725000
GA,2023,32451.45773,10725000
GA,2024,32451.45773,10725000
MS,2045,32495.95228,3247000
MS,2046,32495.95228,3247000
MS,2047,32495.95228,3247000
MS,2048,32495.95228,3247000
MS,2049,32495.95228,3247000
FL,2030,32635.69796,24308000
FL,2031,32635.69796,24308000
FL,2032,32635.69796,24308000
FL,2033,32635.69796,24308000
FL,2034,32635.69796,24308000
RI,2020,32723.52247,1061000
RI,2021,32723.52247,1061000
RI,2022,32723.52247,1061000
RI,2023,32723.52247,1061000
RI,2024,32723.52247,1061000
MT,2035,32793.90723,1172000
MT,2036,32793.90723,1172000
MT,2037,32793.90723,1172000
MT,2038,32793.90723,1172000
MT,2039,32793.90723,1172000
SC,2045,32881.72219,6097000
SC,2046,32881.72219,6097000
SC,2047,32881.72219,6097000
SC,2048,32881.72219,6097000
SC,2049,32881.72219,6097000
UT,2020,33034.20412,3271000
UT,2021,33034.20412,3271000
UT,2022,33034.20412,3271000
UT,2023,33034.20412,3271000
UT,2024,33034.20412,3271000
MO,2025,33191.17183,6303000
MO,2026,33191.17183,6303000
MO,2027,33191.17183,6303000
MO,2028,33191.17183,6303000
MO,2029,33191.17183,6303000
SD,2020,33304.21763,899000
SD,2021,33304.21763,899000
SD,2022,33304.21763,899000
SD,2023,33304.21763,899000
SD,2024,33304.21763,899000
ME,2030,33314.744,1399000
ME,2031,33314.744,1399000
ME,2032,33314.744,1399000
ME,2033,33314.744,1399000
ME,2034,33314.744,1399000
VT,2025,33425.46461,637000
VT,2026,33425.46461,637000
VT,2027,33425.46461,637000
VT,2028,33425.46461,637000
VT,2029,33425.46461,637000
WV,2035,33554.38701,1836000
WV,2036,33554.38701,1836000
WV,2037,33554.38701,1836000
WV,2038,33554.38701,1836000
WV,2039,33554.38701,1836000
NV,2025,33568.57715,3401000
NV,2026,33568.57715,3401000
NV,2027,33568.57715,3401000
NV,2028,33568.57715,3401000
NV,2029,33568.57715,3401000
SD,2015,33638.88602,854000
SD,2016,33638.88602,854000
SD,2017,33638.88602,854000
SD,2018,33638.88602,854000
SD,2019,33638.88602,854000
PA,2015,33646.58511,12786000
PA,2016,33646.58511,12786000
PA,2017,33646.58511,12786000
PA,2018,33646.58511,12786000
PA,2019,33646.58511,12786000
OH,2020,33684.3464,11754000
OH,2021,33684.3464,11754000
OH,2022,33684.3464,11754000
OH,2023,33684.3464,11754000
OH,2024,33684.3464,11754000
OR,2020,33788.30907,4277000
OR,2021,33788.30907,4277000
OR,2022,33788.30907,4277000
OR,2023,33788.30907,4277000
OR,2024,33788.30907,4277000
NH,2015,33810.24943,1336000
NH,2016,33810.24943,1336000
NH,2017,33810.24943,1336000
NH,2018,33810.24943,1336000
NH,2019,33810.24943,1336000
NC,2025,33823.01323,11088000
NC,2026,33823.01323,11088000
NC,2027,33823.01323,11088000
NC,2028,33823.01323,11088000
NC,2029,33823.01323,11088000
AL,2035,33954.50537,5277000
AL,2036,33954.50537,5277000
AL,2037,33954.50537,5277000
AL,2038,33954.50537,5277000
AL,2039,33954.50537,5277000
KY,2035,33961.97154,4829000
KY,2036,33961.97154,4829000
KY,2037,33961.97154,4829000
KY,2038,33961.97154,4829000
KY,2039,33961.97154,4829000
WI,2020,34078.77958,5862000
WI,2021,34078.77958,5862000
WI,2022,34078.77958,5862000
WI,2023,34078.77958,5862000
WI,2024,34078.77958,5862000
IN,2025,34129.28584,6952000
IN,2026,34129.28584,6952000
IN,2027,34129.28584,6952000
IN,2028,34129.28584,6952000
IN,2029,34129.28584,6952000
IA,2015,34213.21005,3121000
IA,2016,34213.21005,3121000
IA,2017,34213.21005,3121000
IA,2018,34213.21005,3121000
IA,2019,34213.21005,3121000
HI,2015,34375.43406,1422000
HI,2016,34375.43406,1422000
HI,2017,34375.43406,1422000
HI,2018,34375.43406,1422000
HI,2019,34375.43406,1422000
KS,2020,34394.34525,2919000
KS,2021,34394.34525,2919000
KS,2022,34394.34525,2919000
KS,2023,34394.34525,2919000
KS,2024,34394.34525,2919000
ID,2035,34402.55658,2095000
ID,2036,34402.55658,2095000
ID,2037,34402.55658,2095000
ID,2038,34402.55658,2095000
ID,2039,34402.55658,2095000
VA,2015,34459.96637,8363000
VA,2016,34459.96637,8363000
VA,2017,34459.96637,8363000
VA,2018,34459.96637,8363000
VA,2019,34459.96637,8363000
FL,2035,34501.20746,25117000
FL,2036,34501.20746,25117000
FL,2037,34501.20746,25117000
FL,2038,34501.20746,25117000
FL,2039,34501.20746,25117000
MI,2025,34514.68081,10251000
MI,2026,34514.68081,10251000
MI,2027,34514.68081,10251000
MI,2028,34514.68081,10251000
MI,2029,34514.68081,10251000
RI,2025,34562.45113,1081000
RI,2026,34562.45113,1081000
RI,2027,34562.45113,1081000
RI,2028,34562.45113,1081000
RI,2029,34562.45113,1081000
SD,2025,34594.51451,936000
SD,2026,34594.51451,936000
SD,2027,34594.51451,936000
SD,2028,34594.51451,936000
SD,2029,34594.51451,936000
NM,2030,34615.25519,2196000
NM,2031,34615.25519,2196000
NM,2032,34615.25519,2196000
NM,2033,34615.25519,2196000
NM,2034,34615.25519,2196000
GA,2025,34700.14627,11200000
GA,2026,34700.14627,11200000
GA,2027,34700.14627,11200000
GA,2028,34700.14627,11200000
GA,2029,34700.14627,11200000
SC,2050,34722.83482,6222000
SC,2051,34722.83482,6222000
SC,2052,34722.83482,6222000
SC,2053,34722.83482,6222000
SC,2054,34722.83482,6222000
OK,2025,34727.30352,4048000
OK,2026,34727.30352,4048000
OK,2027,34727.30352,4048000
OK,2028,34727.30352,4048000
OK,2029,34727.30352,4048000
AZ,2030,34754.23708,8285000
AZ,2031,34754.23708,8285000
AZ,2032,34754.23708,8285000
AZ,2033,34754.23708,8285000
AZ,2034,34754.23708,8285000
TN,2025,34756.06287,7167000
TN,2026,34756.06287,7167000
TN,2027,34756.06287,7167000
TN,2028,34756.06287,7167000
TN,2029,34756.06287,7167000
LA,2025,34797.66963,4678000
LA,2026,34797.66963,4678000
LA,2027,34797.66963,4678000
LA,2028,34797.66963,4678000
LA,2029,34797.66963,4678000
AR,2045,35022.13839,3373000
AR,2046,35022.13839,3373000
AR,2047,35022.13839,3373000
AR,2048,35022.13839,3373000
AR,2049,35022.13839,3373000
IA,2020,35090.93885,3182000
IA,2021,35090.93885,3182000
IA,2022,35090.93885,3182000
IA,2023,35090.93885,3182000
IA,2024,35090.93885,3182000
MS,2050,35156.79972,3294000
MS,2051,35156.79972,3294000
MS,2052,35156.79972,3294000
MS,2053,35156.79972,3294000
MS,2054,35156.79972,3294000
MT,2040,35445.55218,1195000
MT,2041,35445.55218,1195000
MT,2042,35445.55218,1195000
MT,2043,35445.55218,1195000
MT,2044,35445.55218,1195000
WV,2040,35469.65227,1870000
WV,2041,35469.65227,1870000
WV,2042,35469.65227,1870000
WV,2043,35469.65227,1870000
WV,2044,35469.65227,1870000
MO,2030,35763.66597,6494000
MO,2031,35763.66597,6494000
MO,2032,35763.66597,6494000
MO,2033,35763.66597,6494000
MO,2034,35763.66597,6494000
CO,2015,35842.48601,5452000
CO,2016,35842.48601,5452000
CO,2017,35842.48601,5452000
CO,2018,35842.48601,5452000
CO,2019,35842.48601,5452000
NC,2030,35949.19152,11482000
NC,2031,35949.19152,11482000
NC,2032,35949.19152,11482000
NC,2033,35949.19152,11482000
NC,2034,35949.19152,11482000
MN,2015,36036.15552,5483000
MN,2016,36036.15552,5483000
MN,2017,36036.15552,5483000
MN,2018,36036.15552,5483000
MN,2019,36036.15552,5483000
ME,2035,36153.76992,1425000
ME,2036,36153.76992,1425000
ME,2037,36153.76992,1425000
ME,2038,36153.76992,1425000
ME,2039,36153.76992,1425000
OH,2025,36319.79264,12003000
OH,2026,36319.79264,12003000
OH,2027,36319.79264,12003000
OH,2028,36319.79264,12003000
OH,2029,36319.79264,12003000
SC,2055,36462.62237,6343000
SC,2056,36462.62237,6343000
SC,2057,36462.62237,6343000
SC,2058,36462.62237,6343000
SC,2059,36462.62237,6343000
VT,2030,36462.88525,649000
VT,2031,36462.88525,649000
VT,2032,36462.88525,649000
VT,2033,36462.88525,649000
VT,2034,36462.88525,649000
FL,2040,36470.51669,25925000
FL,2041,36470.51669,25925000
FL,2042,36470.51669,25925000
FL,2043,36470.51669,25925000
FL,2044,36470.51669,25925000
MD,2015,36513.15252,5987000
MD,2016,36513.15252,5987000
MD,2017,36513.15252,5987000
MD,2018,36513.15252,5987000
MD,2019,36513.15252,5987000
NV,2030,36569.01244,3570000
NV,2031,36569.01244,3570000
NV,2032,36569.01244,3570000
NV,2033,36569.01244,3570000
NV,2034,36569.01244,3570000
IL,2015,36592.68211,12864000
IL,2016,36592.68211,12864000
IL,2017,36592.68211,12864000
IL,2018,36592.68211,12864000
IL,2019,36592.68211,12864000
IN,2030,36638.15846,7178000
IN,2031,36638.15846,7178000
IN,2032,36638.15846,7178000
IN,2033,36638.15846,7178000
IN,2034,36638.15846,7178000
NH,2020,36655.63738,1369000
NH,2021,36655.63738,1369000
NH,2022,36655.63738,1369000
NH,2023,36655.63738,1369000
NH,2024,36655.63738,1369000
PA,2020,36669.6295,12859000
PA,2021,36669.6295,12859000
PA,2022,36669.6295,12859000
PA,2023,36669.6295,12859000
PA,2024,36669.6295,12859000
AL,2040,36673.02965,5400000
AL,2041,36673.02965,5400000
AL,2042,36673.02965,5400000
AL,2043,36673.02965,5400000
AL,2044,36673.02965,5400000
KY,2040,36681.09359,4939000
KY,2041,36681.09359,4939000
KY,2042,36681.09359,4939000
KY,2043,36681.09359,4939000
KY,2044,36681.09359,4939000
TX,2015,36710.06221,27487000
TX,2016,36710.06221,27487000
TX,2017,36710.06221,27487000
TX,2018,36710.06221,27487000
TX,2019,36710.06221,27487000
UT,2025,36741.00974,3504000
UT,2026,36741.00974,3504000
UT,2027,36741.00974,3504000
UT,2028,36741.00974,3504000
UT,2029,36741.00974,3504000
SD,2030,36748.04099,965000
SD,2031,36748.04099,965000
SD,2032,36748.04099,965000
SD,2033,36748.04099,965000
SD,2034,36748.04099,965000
NE,2015,36787.98056,1892000
NE,2016,36787.98056,1892000
NE,2017,36787.98056,1892000
NE,2018,36787.98056,1892000
NE,2019,36787.98056,1892000
GA,2030,36794.50579,11612000
GA,2031,36794.50579,11612000
GA,2032,36794.50579,11612000
GA,2033,36794.50579,11612000
GA,2034,36794.50579,11612000
VA,2020,36946.76622,8626000
VA,2021,36946.76622,8626000
VA,2022,36946.76622,8626000
VA,2023,36946.76622,8626000
VA,2024,36946.76622,8626000
HI,2020,37050.5111,1415000
HI,2021,37050.5111,1415000
HI,2022,37050.5111,1415000
HI,2023,37050.5111,1415000
HI,2024,37050.5111,1415000
OR,2025,37129.68894,4475000
OR,2026,37129.68894,4475000
OR,2027,37129.68894,4475000
OR,2028,37129.68894,4475000
OR,2029,37129.68894,4475000
ID,2040,37184.27346,2149000
ID,2041,37184.27346,2149000
ID,2042,37184.27346,2149000
ID,2043,37184.27346,2149000
ID,2044,37184.27346,2149000
IA,2025,37236.84859,3257000
IA,2026,37236.84859,3257000
IA,2027,37236.84859,3257000
IA,2028,37236.84859,3257000
IA,2029,37236.84859,3257000
WI,2025,37328.18782,6001000
WI,2026,37328.18782,6001000
WI,2027,37328.18782,6001000
WI,2028,37328.18782,6001000
WI,2029,37328.18782,6001000
MS,2055,37356.91412,3341000
MS,2056,37356.91412,3341000
MS,2057,37356.91412,3341000
MS,2058,37356.91412,3341000
MS,2059,37356.91412,3341000
KS,2025,37364.51789,2962000
KS,2026,37364.51789,2962000
KS,2027,37364.51789,2962000
KS,2028,37364.51789,2962000
KS,2029,37364.51789,2962000
MI,2030,37388.66763,10564000
MI,2031,37388.66763,10564000
MI,2032,37388.66763,10564000
MI,2033,37388.66763,10564000
MI,2034,37388.66763,10564000
NM,2035,37491.36037,2256000
NM,2036,37491.36037,2256000
NM,2037,37491.36037,2256000
NM,2038,37491.36037,2256000
NM,2039,37491.36037,2256000
RI,2030,37534.01439,1117000
RI,2031,37534.01439,1117000
RI,2032,37534.01439,1117000
RI,2033,37534.01439,1117000
RI,2034,37534.01439,1117000
WV,2045,37571.38365,1894000
WV,2046,37571.38365,1894000
WV,2047,37571.38365,1894000
WV,2048,37571.38365,1894000
WV,2049,37571.38365,1894000
NE,2020,37622.89778,1952000
NE,2021,37622.89778,1952000
NE,2022,37622.89778,1952000
NE,2023,37622.89778,1952000
NE,2024,37622.89778,1952000
AZ,2035,37641.88996,8563000
AZ,2036,37641.88996,8563000
AZ,2037,37641.88996,8563000
AZ,2038,37641.88996,8563000
AZ,2039,37641.88996,8563000
OK,2030,37699.54688,4163000
OK,2031,37699.54688,4163000
OK,2032,37699.54688,4163000
OK,2033,37699.54688,4163000
OK,2034,37699.54688,4163000
LA,2030,37701.28774,4795000
LA,2031,37701.28774,4795000
LA,2032,37701.28774,4795000
LA,2033,37701.28774,4795000
LA,2034,37701.28774,4795000
AR,2050,37804.61663,3425000
AR,2051,37804.61663,3425000
AR,2052,37804.61663,3425000
AR,2053,37804.61663,3425000
AR,2054,37804.61663,3425000
NC,2035,38004.1057,11781000
NC,2036,38004.1057,11781000
NC,2037,38004.1057,11781000
NC,2038,38004.1057,11781000
NC,2039,38004.1057,11781000
NJ,2015,38175.33061,8871000
NJ,2016,38175.33061,8871000
NJ,2017,38175.33061,8871000
NJ,2018,38175.33061,8871000
NJ,2019,38175.33061,8871000
SC,2060,38206.23721,6464000
SC,2061,38206.23721,6464000
SC,2062,38206.23721,6464000
SC,2063,38206.23721,6464000
SC,2064,38206.23721,6464000
TN,2030,38217.6251,7415000
TN,2031,38217.6251,7415000
TN,2032,38217.6251,7415000
TN,2033,38217.6251,7415000
TN,2034,38217.6251,7415000
MO,2035,38313.53076,6678000
MO,2036,38313.53076,6678000
MO,2037,38313.53076,6678000
MO,2038,38313.53076,6678000
MO,2039,38313.53076,6678000
MT,2045,38403.7952,1212000
MT,2046,38403.7952,1212000
MT,2047,38403.7952,1212000
MT,2048,38403.7952,1212000
MT,2049,38403.7952,1212000
TX,2020,38422.18038,29432000
TX,2021,38422.18038,29432000
TX,2022,38422.18038,29432000
TX,2023,38422.18038,29432000
TX,2024,38422.18038,29432000
MN,2020,38544.12294,5696000
MN,2021,38544.12294,5696000
MN,2022,38544.12294,5696000
MN,2023,38544.12294,5696000
MN,2024,38544.12294,5696000
FL,2045,38631.55365,26634000
FL,2046,38631.55365,26634000
FL,2047,38631.55365,26634000
FL,2048,38631.55365,26634000
FL,2049,38631.55365,26634000
GA,2035,38897.7395,11942000
GA,2036,38897.7395,11942000
GA,2037,38897.7395,11942000
GA,2038,38897.7395,11942000
GA,2039,38897.7395,11942000
IN,2035,38958.52675,7386000
IN,2036,38958.52675,7386000
IN,2037,38958.52675,7386000
IN,2038,38958.52675,7386000
IN,2039,38958.52675,7386000
CO,2020,38979.90487,5849000
CO,2021,38979.90487,5849000
CO,2022,38979.90487,5849000
CO,2023,38979.90487,5849000
CO,2024,38979.90487,5849000
OH,2030,39043.91981,12385000
OH,2031,39043.91981,12385000
OH,2032,39043.91981,12385000
OH,2033,39043.91981,12385000
OH,2034,39043.91981,12385000
WA,2015,39275.82801,7164000
WA,2016,39275.82801,7164000
WA,2017,39275.82801,7164000
WA,2018,39275.82801,7164000
WA,2019,39275.82801,7164000
SD,2035,39368.08939,984000
SD,2036,39368.08939,984000
SD,2037,39368.08939,984000
SD,2038,39368.08939,984000
SD,2039,39368.08939,984000
CA,2015,39527.818,38953000
CA,2016,39527.818,38953000
CA,2017,39527.818,38953000
CA,2018,39527.818,38953000
CA,2019,39527.818,38953000
HI,2025,39545.25264,1424000
HI,2026,39545.25264,1424000
HI,2027,39545.25264,1424000
HI,2028,39545.25264,1424000
