state,year,GDP_PC_2011_USD,Population
MS,2015,21185.80358,2989000
MS,2016,21185.80358,2989000
MS,2017,21185.80358,2989000
MS,2018,21185.80358,2989000
MS,2019,21185.80358,2989000
MS,2020,22127.28866,2986000
MS,2021,22127.28866,2986000
MS,2022,22127.28866,2986000
MS,2023,22127.28866,2986000
MS,2024,22127.28866,2986000
MS,2025,23778.67334,3010000
MS,2026,23778.67334,3010000
MS,2027,23778.67334,3010000
MS,2028,23778.67334,3010000
MS,2029,23778.67334,3010000
WV,2015,23944.73516,1842000
WV,2016,23944.73516,1842000
WV,2017,23944.73516,1842000
WV,2018,23944.73516,1842000
WV,2019,23944.73516,1842000
AR,2015,24119.08574,2978000
AR,2016,24119.08574,2978000
AR,2017,24119.08574,2978000
AR,2018,24119.08574,2978000
AR,2019,24119.08574,2978000
ID,2015,24282.27442,1652000
ID,2016,24282.27442,1652000
ID,2017,24282.27442,1652000
ID,2018,24282.27442,1652000
ID,2019,24282.27442,1652000
SC,2015,24540.66263,4892000
SC,2016,24540.66263,4892000
SC,2017,24540.66263,4892000
SC,2018,24540.66263,4892000
SC,2019,24540.66263,4892000
AL,2015,24678.89944,4853000
AL,2016,24678.89944,4853000
AL,2017,24678.89944,4853000
AL,2018,24678.89944,4853000
AL,2019,24678.89944,4853000
AR,2020,24759.67326,3037000
AR,2021,24759.67326,3037000
AR,2022,24759.67326,3037000
AR,2023,24759.67326,3037000
AR,2024,24759.67326,3037000
SC,2020,25553.35746,5204000
SC,2021,25553.35746,5204000
SC,2022,25553.35746,5204000
SC,2023,25553.35746,5204000
SC,2024,25553.35746,5204000
ME,2015,25617.85033,1328000
ME,2016,25617.85033,1328000
ME,2017,25617.85033,1328000
ME,2018,25617.85033,1328000
ME,2019,25617.85033,1328000
KY,2015,25907.38778,4426000
KY,2016,25907.38778,4426000
KY,2017,25907.38778,4426000
KY,2018,25907.38778,4426000
KY,2019,25907.38778,4426000
AZ,2015,25949.75036,6834000
AZ,2016,25949.75036,6834000
AZ,2017,25949.75036,6834000
AZ,2018,25949.75036,6834000
AZ,2019,25949.75036,6834000
MS,2030,25952.48647,3073000
MS,2031,25952.48647,3073000
MS,2032,25952.48647,3073000
MS,2033,25952.48647,3073000
MS,2034,25952.48647,3073000
AR,2025,26064.06597,3104000
AR,2026,26064.06597,3104000
AR,2027,26064.06597,3104000
AR,2028,26064.06597,3104000
AR,2029,26064.06597,3104000
FL,2015,26231.86526,20224000
FL,2016,26231.86526,20224000
FL,2017,26231.86526,20224000
FL,2018,26231.86526,20224000
FL,2019,26231.86526,20224000
ID,2020,26296.61732,1820000
ID,2021,26296.61732,1820000
ID,2022,26296.61732,1820000
ID,2023,26296.61732,1820000
ID,2024,26296.61732,1820000
SC,2025,26443.47371,5468000
SC,2026,26443.47371,5468000
SC,2027,26443.47371,5468000
SC,2028,26443.47371,5468000
SC,2029,26443.47371,5468000
AL,2020,26454.51663,4918000
AL,2021,26454.51663,4918000
AL,2022,26454.51663,4918000
AL,2023,26454.51663,4918000
AL,2024,26454.51663,4918000
WV,2020,26479.61116,1789000
WV,2021,26479.61116,1789000
WV,2022,26479.61116,1789000
WV,2023,26479.61116,1789000
WV,2024,26479.61116,1789000
MT,2020,26923.79524,1079000
MT,2021,26923.79524,1079000
MT,2022,26923.79524,1079000
MT,2023,26923.79524,1079000
MT,2024,26923.79524,1079000
KY,2020,27073.43862,4499000
KY,2021,27073.43862,4499000
KY,2022,27073.43862,4499000
KY,2023,27073.43862,4499000
KY,2024,27073.43862,4499000
MT,2015,27530.19772,1031000
MT,2016,27530.19772,1031000
MT,2017,27530.19772,1031000
MT,2018,27530.19772,1031000
MT,2019,27530.19772,1031000
