"","country","Category","gdp_ppp_pc_usd2011","population","gdp_quintile","tot_pop","tot_gdp","cum_pop","GCAM_region_ID","sce","year","d1_cutoff","d2_cutoff","d3_cutoff","d4_cutoff","d5_cutoff","d6_cutoff","d7_cutoff","d8_cutoff","d9_cutoff","category","max_cum_pop","shortfall"
"187","MA",NA,NA,70.66,NA,4244.73,NA,1672.87,1,"SSP2",2032,424.47,848.95,1273.42,1697.89,2122.36,2546.84,2971.31,3395.78,3820.26,"d4",1672.87,25.0200000000002
"188","MA",NA,NA,68.65,NA,4116.48,NA,1619.39,1,"SSP3",2032,411.65,823.3,1234.94,1646.59,2058.24,2469.89,2881.54,3293.18,3704.83,"d4",1619.39,27.1999999999998
"189","ME",NA,NA,14.21,NA,4339.36,NA,1722.41,1,"SSP5",2032,433.94,867.87,1301.81,1735.74,2169.68,2603.62,3037.55,3471.49,3905.42,"d4",1722.41,13.3299999999999
"190","NH",NA,NA,14.28,NA,4244.73,NA,2112.15,1,"SSP2",2032,424.47,848.95,1273.42,1697.89,2122.36,2546.84,2971.31,3395.78,3820.26,"d5",2112.15,10.21
"191","NH",NA,NA,13.88,NA,4116.48,NA,2045.57,1,"SSP3",2032,411.65,823.3,1234.94,1646.59,2058.24,2469.89,2881.54,3293.18,3704.83,"d5",2045.57,12.6699999999998
"192","NH",NA,NA,14.63,NA,4339.36,NA,2094.55,1,"SSP5",2032,433.94,867.87,1301.81,1735.74,2169.68,2603.62,3037.55,3471.49,3905.42,"d5",2094.55,75.1299999999997
"193","SD",NA,NA,9.68,NA,4244.73,NA,2545.75,1,"SSP2",2032,424.47,848.95,1273.42,1697.89,2122.36,2546.84,2971.31,3395.78,3820.26,"d6",2545.75,1.09000000000015
"194","SD",NA,NA,9.42,NA,4116.48,NA,2466.51,1,"SSP3",2032,411.65,823.3,1234.94,1646.59,2058.24,2469.89,2881.54,3293.18,3704.83,"d6",2466.51,3.37999999999965
"195","SD",NA,NA,9.94,NA,4339.36,NA,2539.97,1,"SSP5",2032,433.94,867.87,1301.81,1735.74,2169.68,2603.62,3037.55,3471.49,3905.42,"d6",2539.97,63.6500000000001
"196","AL",NA,NA,52.12,NA,4266.32,NA,828.89,1,"SSP2",2033,426.63,853.26,1279.9,1706.53,2133.16,2559.79,2986.42,3413.06,3839.69,"d2",828.89,24.37
"197","AL",NA,NA,50.32,NA,4118.87,NA,796.84,1,"SSP3",2033,411.89,823.77,1235.66,1647.55,2059.44,2471.32,2883.21,3295.1,3706.98,"d2",796.84,26.9299999999999
"198","AR",NA,NA,33.96,NA,4374.72,NA,863.98,1,"SSP5",2033,437.47,874.94,1312.42,1749.89,2187.36,2624.83,3062.3,3499.78,3937.25,"d2",863.98,10.96
"199","FL",NA,NA,238.83,NA,4266.32,NA,1266.68,1,"SSP2",2033,426.63,853.26,1279.9,1706.53,2133.16,2559.79,2986.42,3413.06,3839.69,"d3",1266.68,13.22
"200","HI",NA,NA,13.86,NA,4118.87,NA,1232.53,1,"SSP3",2033,411.89,823.77,1235.66,1647.55,2059.44,2471.32,2883.21,3295.1,3706.98,"d3",1232.53,3.13000000000011
"201","ID",NA,NA,22.79,NA,4374.72,NA,1301.88,1,"SSP5",2033,437.47,874.94,1312.42,1749.89,2187.36,2624.83,3062.3,3499.78,3937.25,"d3",1301.88,10.54
"202","MA",NA,NA,70.88,NA,4266.32,NA,1681.31,1,"SSP2",2033,426.63,853.26,1279.9,1706.53,2133.16,2559.79,2986.42,3413.06,3839.69,"d4",1681.31,25.22
"203","MA",NA,NA,68.56,NA,4118.87,NA,1619.75,1,"SSP3",2033,411.89,823.77,1235.66,1647.55,2059.44,2471.32,2883.21,3295.1,3706.98,"d4",1619.75,27.8
"204","ME",NA,NA,14.29,NA,4374.72,NA,1733.78,1,"SSP5",2033,437.47,874.94,1312.42,1749.89,2187.36,2624.83,3062.3,3499.78,3937.25,"d4",1733.78,16.1100000000001
"205","NH",NA,NA,14.32,NA,4266.32,NA,2122.72,1,"SSP2",2033,426.63,853.26,1279.9,1706.53,2133.16,2559.79,2986.42,3413.06,3839.69,"d5",2122.72,10.4400000000001
"206","NH",NA,NA,13.87,NA,4118.87,NA,2046.11,1,"SSP3",2033,411.89,823.77,1235.66,1647.55,2059.44,2471.32,2883.21,3295.1,3706.98,"d5",2046.11,13.3300000000002
"207","NH",NA,NA,14.73,NA,4374.72,NA,2109.21,1,"SSP5",2033,437.47,874.94,1312.42,1749.89,2187.36,2624.83,3062.3,3499.78,3937.25,"d5",2109.21,78.1500000000001
"208","SD",NA,NA,9.74,NA,4266.32,NA,2558.16,1,"SSP2",2033,426.63,853.26,1279.9,1706.53,2133.16,2559.79,2986.42,3413.06,3839.69,"d6",2558.16,1.63000000000011
"209","SD",NA,NA,9.45,NA,4118.87,NA,2467.02,1,"SSP3",2033,411.89,823.77,1235.66,1647.55,2059.44,2471.32,2883.21,3295.1,3706.98,"d6",2467.02,4.30000000000018
"210","SD",NA,NA,10.05,NA,4374.72,NA,2558.36,1,"SSP5",2033,437.47,874.94,1312.42,1749.89,2187.36,2624.83,3062.3,3499.78,3937.25,"d6",2558.36,66.4699999999998
"211","AL",NA,NA,52.38,NA,4287.62,NA,833.11,1,"SSP2",2034,428.76,857.52,1286.29,1715.05,2143.81,2572.57,3001.33,3430.1,3858.86,"d2",833.11,24.41
"212","AL",NA,NA,50.33,NA,4120.37,NA,796.78,1,"SSP3",2034,412.04,824.07,1236.11,1648.15,2060.18,2472.22,2884.26,3296.3,3708.33,"d2",796.78,27.2900000000001
"213","AR",NA,NA,34.36,NA,4411.44,NA,868.91,1,"SSP5",2034,441.14,882.29,1323.43,1764.58,2205.72,2646.86,3088.01,3529.15,3970.3,"d2",868.91,13.38
"214","FL",NA,NA,239.98,NA,4287.62,NA,1273.5,1,"SSP2",2034,428.76,857.52,1286.29,1715.05,2143.81,2572.57,3001.33,3430.1,3858.86,"d3",1273.5,12.79
"215","HI",NA,NA,13.87,NA,4120.37,NA,1232.92,1,"SSP3",2034,412.04,824.07,1236.11,1648.15,2060.18,2472.22,2884.26,3296.3,3708.33,"d3",1232.92,3.18999999999983
"216","ID",NA,NA,23.12,NA,4411.44,NA,1311.51,1,"SSP5",2034,441.14,882.29,1323.43,1764.58,2205.72,2646.86,3088.01,3529.15,3970.3,"d3",1311.51,11.9200000000001
"217","MA",NA,NA,71.09,NA,4287.62,NA,1689.7,1,"SSP2",2034,428.76,857.52,1286.29,1715.05,2143.81,2572.57,3001.33,3430.1,3858.86,"d4",1689.7,25.3499999999999
"218","MA",NA,NA,68.46,NA,4120.37,NA,1619.89,1,"SSP3",2034,412.04,824.07,1236.11,1648.15,2060.18,2472.22,2884.26,3296.3,3708.33,"d4",1619.89,28.26
"219","ME",NA,NA,14.37,NA,4411.44,NA,1746.24,1,"SSP5",2034,441.14,882.29,1323.43,1764.58,2205.72,2646.86,3088.01,3529.15,3970.3,"d4",1746.24,18.3399999999999
"220","NH",NA,NA,14.37,NA,4287.62,NA,2133.18,1,"SSP2",2034,428.76,857.52,1286.29,1715.05,2143.81,2572.57,3001.33,3430.1,3858.86,"d5",2133.18,10.6300000000001
"221","NH",NA,NA,13.85,NA,4120.37,NA,2046.3,1,"SSP3",2034,412.04,824.07,1236.11,1648.15,2060.18,2472.22,2884.26,3296.3,3708.33,"d5",2046.3,13.8799999999999
"222","NH",NA,NA,14.83,NA,4411.44,NA,2125.02,1,"SSP5",2034,441.14,882.29,1323.43,1764.58,2205.72,2646.86,3088.01,3529.15,3970.3,"d5",2125.02,80.6999999999998
"223","SD",NA,NA,9.81,NA,4287.62,NA,2570.45,1,"SSP2",2034,428.76,857.52,1286.29,1715.05,2143.81,2572.57,3001.33,3430.1,3858.86,"d6",2570.45,2.12000000000035
"224","SD",NA,NA,9.47,NA,4120.37,NA,2467.09,1,"SSP3",2034,412.04,824.07,1236.11,1648.15,2060.18,2472.22,2884.26,3296.3,3708.33,"d6",2467.09,5.12999999999965
"225","SD",NA,NA,10.16,NA,4411.44,NA,2577.94,1,"SSP5",2034,441.14,882.29,1323.43,1764.58,2205.72,2646.86,3088.01,3529.15,3970.3,"d6",2577.94,68.9200000000001
"226","AL",NA,NA,52.64,NA,4307.61,NA,836.34,1,"SSP2",2035,430.76,861.52,1292.28,1723.04,2153.8,2584.57,3015.33,3446.09,3876.85,"d2",836.34,25.1799999999999
"227","AL",NA,NA,50.34,NA,4121,NA,796.73,1,"SSP3",2035,412.1,824.2,1236.3,1648.4,2060.5,2472.6,2884.7,3296.8,3708.9,"d2",796.73,27.47
