"state","year","total_pop","sce"
"AK",2020,731,"SSP2"
"AK",2021,728,"SSP2"
"AK",2022,724,"SSP2"
"AK",2023,721,"SSP2"
"AK",2024,717,"SSP2"
"AK",2025,713,"SSP2"
"AK",2026,709,"SSP2"
"AK",2027,704,"SSP2"
"AK",2028,699,"SSP2"
"AK",2029,695,"SSP2"
"AK",2030,690,"SSP2"
"AK",2031,685,"SSP2"
"AK",2032,681,"SSP2"
"AK",2033,677,"SSP2"
"AK",2034,673,"SSP2"
"AK",2035,670,"SSP2"
"AK",2036,668,"SSP2"
"AK",2037,665,"SSP2"
"AK",2038,663,"SSP2"
"AK",2039,660,"SSP2"
"AK",2040,659,"SSP2"
"AK",2041,657,"SSP2"
"AK",2042,655,"SSP2"
"AK",2043,654,"SSP2"
"AK",2044,653,"SSP2"
"AK",2045,652,"SSP2"
"AK",2046,651,"SSP2"
"AK",2047,651,"SSP2"
"AK",2048,650,"SSP2"
"AK",2049,650,"SSP2"
"AK",2050,650,"SSP2"
"AK",2051,650,"SSP2"
"AK",2052,650,"SSP2"
"AK",2053,650,"SSP2"
"AK",2054,651,"SSP2"
"AK",2055,651,"SSP2"
"AK",2056,651,"SSP2"
"AK",2057,652,"SSP2"
"AK",2058,652,"SSP2"
"AK",2059,653,"SSP2"
"AK",2060,654,"SSP2"
"AK",2061,655,"SSP2"
"AK",2062,655,"SSP2"
"AK",2063,656,"SSP2"
"AK",2064,657,"SSP2"
"AK",2065,659,"SSP2"
"AK",2066,660,"SSP2"
"AK",2067,661,"SSP2"
"AK",2068,662,"SSP2"
"AK",2069,663,"SSP2"
"AK",2070,665,"SSP2"
"AK",2071,666,"SSP2"
"AK",2072,667,"SSP2"
"AK",2073,668,"SSP2"
"AK",2074,670,"SSP2"
"AK",2075,671,"SSP2"
"AK",2076,673,"SSP2"
"AK",2077,674,"SSP2"
"AK",2078,675,"SSP2"
"AK",2079,677,"SSP2"
"AK",2080,678,"SSP2"
"AK",2081,679,"SSP2"
"AK",2082,680,"SSP2"
"AK",2083,682,"SSP2"
"AK",2084,683,"SSP2"
"AK",2085,684,"SSP2"
"AK",2086,685,"SSP2"
"AK",2087,687,"SSP2"
"AK",2088,688,"SSP2"
"AK",2089,689,"SSP2"
"AK",2090,690,"SSP2"
"AK",2091,691,"SSP2"
"AK",2092,693,"SSP2"
"AK",2093,694,"SSP2"
"AK",2094,695,"SSP2"
"AK",2095,696,"SSP2"
"AK",2096,697,"SSP2"
"AK",2097,698,"SSP2"
"AK",2098,699,"SSP2"
"AK",2099,700,"SSP2"
"AK",2100,701,"SSP2"
"AL",2020,4922,"SSP2"
"AL",2021,4937,"SSP2"
"AL",2022,4954,"SSP2"
"AL",2023,4972,"SSP2"
"AL",2024,4991,"SSP2"
"AL",2025,5011,"SSP2"
"AL",2026,5033,"SSP2"
"AL",2027,5056,"SSP2"
"AL",2028,5080,"SSP2"
"AL",2029,5106,"SSP2"
"AL",2030,5133,"SSP2"
"AL",2031,5160,"SSP2"
"AL",2032,5186,"SSP2"
"AL",2033,5212,"SSP2"
"AL",2034,5238,"SSP2"
"AL",2035,5264,"SSP2"
"AL",2036,5289,"SSP2"
"AL",2037,5314,"SSP2"
"AL",2038,5339,"SSP2"
"AL",2039,5363,"SSP2"
"AL",2040,5387,"SSP2"
"AL",2041,5410,"SSP2"
"AL",2042,5433,"SSP2"
"AL",2043,5456,"SSP2"
"AL",2044,5479,"SSP2"
"AL",2045,5502,"SSP2"
"AL",2046,5525,"SSP2"
"AL",2047,5548,"SSP2"
"AL",2048,5569,"SSP2"
"AL",2049,5590,"SSP2"
"AL",2050,5612,"SSP2"
"AL",2051,5634,"SSP2"
"AL",2052,5656,"SSP2"
"AL",2053,5678,"SSP2"
"AL",2054,5700,"SSP2"
"AL",2055,5722,"SSP2"
"AL",2056,5743,"SSP2"
"AL",2057,5765,"SSP2"
"AL",2058,5786,"SSP2"
"AL",2059,5808,"SSP2"
"AL",2060,5830,"SSP2"
"AL",2061,5851,"SSP2"
"AL",2062,5873,"SSP2"
"AL",2063,5895,"SSP2"
"AL",2064,5917,"SSP2"
"AL",2065,5939,"SSP2"
"AL",2066,5961,"SSP2"
"AL",2067,5984,"SSP2"
"AL",2068,6007,"SSP2"
"AL",2069,6030,"SSP2"
"AL",2070,6053,"SSP2"
"AL",2071,6074,"SSP2"
"AL",2072,6096,"SSP2"
"AL",2073,6118,"SSP2"
"AL",2074,6140,"SSP2"
"AL",2075,6163,"SSP2"
"AL",2076,6185,"SSP2"
"AL",2077,6207,"SSP2"
"AL",2078,6229,"SSP2"
"AL",2079,6250,"SSP2"
"AL",2080,6271,"SSP2"
"AL",2081,6290,"SSP2"
"AL",2082,6310,"SSP2"
"AL",2083,6329,"SSP2"
"AL",2084,6348,"SSP2"
"AL",2085,6367,"SSP2"
"AL",2086,6386,"SSP2"
"AL",2087,6404,"SSP2"
"AL",2088,6422,"SSP2"
"AL",2089,6440,"SSP2"
"AL",2090,6457,"SSP2"
"AL",2091,6472,"SSP2"
"AL",2092,6488,"SSP2"
"AL",2093,6505,"SSP2"
"AL",2094,6521,"SSP2"
"AL",2095,6538,"SSP2"
"AL",2096,6555,"SSP2"
"AL",2097,6572,"SSP2"
"AL",2098,6588,"SSP2"
"AL",2099,6603,"SSP2"
"AL",2100,6618,"SSP2"
"AR",2020,3031,"SSP2"
"AR",2021,3042,"SSP2"
"AR",2022,3054,"SSP2"
"AR",2023,3067,"SSP2"
"AR",2024,3082,"SSP2"
"AR",2025,3097,"SSP2"
"AR",2026,3114,"SSP2"
"AR",2027,3132,"SSP2"
"AR",2028,3150,"SSP2"
"AR",2029,3171,"SSP2"
"AR",2030,3192,"SSP2"
"AR",2031,3213,"SSP2"
"AR",2032,3234,"SSP2"
"AR",2033,3255,"SSP2"
"AR",2034,3275,"SSP2"
"AR",2035,3295,"SSP2"
"AR",2036,3315,"SSP2"
"AR",2037,3335,"SSP2"
"AR",2038,3354,"SSP2"
"AR",2039,3373,"SSP2"
"AR",2040,3392,"SSP2"
"AR",2041,3411,"SSP2"
"AR",2042,3429,"SSP2"
"AR",2043,3448,"SSP2"
"AR",2044,3466,"SSP2"
"AR",2045,3484,"SSP2"
"AR",2046,3502,"SSP2"
"AR",2047,3521,"SSP2"
"AR",2048,3538,"SSP2"
"AR",2049,3556,"SSP2"
"AR",2050,3573,"SSP2"
"AR",2051,3591,"SSP2"
"AR",2052,3609,"SSP2"
"AR",2053,3627,"SSP2"
"AR",2054,3645,"SSP2"
"AR",2055,3662,"SSP2"
"AR",2056,3680,"SSP2"
"AR",2057,3698,"SSP2"
"AR",2058,3715,"SSP2"
"AR",2059,3732,"SSP2"
"AR",2060,3750,"SSP2"
"AR",2061,3767,"SSP2"
"AR",2062,3784,"SSP2"
"AR",2063,3802,"SSP2"
"AR",2064,3819,"SSP2"
"AR",2065,3836,"SSP2"
"AR",2066,3853,"SSP2"
"AR",2067,3871,"SSP2"
"AR",2068,3889,"SSP2"
"AR",2069,3906,"SSP2"
"AR",2070,3924,"SSP2"
"AR",2071,3940,"SSP2"
"AR",2072,3957,"SSP2"
"AR",2073,3973,"SSP2"
"AR",2074,3990,"SSP2"
"AR",2075,4007,"SSP2"
"AR",2076,4023,"SSP2"
"AR",2077,4040,"SSP2"
"AR",2078,4056,"SSP2"
"AR",2079,4071,"SSP2"
"AR",2080,4087,"SSP2"
"AR",2081,4102,"SSP2"
"AR",2082,4116,"SSP2"
"AR",2083,4131,"SSP2"
"AR",2084,4145,"SSP2"
"AR",2085,4159,"SSP2"
"AR",2086,4173,"SSP2"
"AR",2087,4187,"SSP2"
"AR",2088,4201,"SSP2"
"AR",2089,4214,"SSP2"
"AR",2090,4227,"SSP2"
"AR",2091,4240,"SSP2"
"AR",2092,4252,"SSP2"
"AR",2093,4265,"SSP2"
"AR",2094,4277,"SSP2"
"AR",2095,4290,"SSP2"
"AR",2096,4303,"SSP2"
"AR",2097,4316,"SSP2"
"AR",2098,4328,"SSP2"
"AR",2099,4340,"SSP2"
"AR",2100,4351,"SSP2"
"AZ",2020,7421,"SSP2"
"AZ",2021,7546,"SSP2"
"AZ",2022,7667,"SSP2"
"AZ",2023,7784,"SSP2"
"AZ",2024,7896,"SSP2"
"AZ",2025,8003,"SSP2"
"AZ",2026,8105,"SSP2"
"AZ",2027,8201,"SSP2"
"AZ",2028,8292,"SSP2"
"AZ",2029,8378,"SSP2"
"AZ",2030,8457,"SSP2"
"AZ",2031,8534,"SSP2"
"AZ",2032,8611,"SSP2"
"AZ",2033,8685,"SSP2"
"AZ",2034,8759,"SSP2"
"AZ",2035,8831,"SSP2"
"AZ",2036,8901,"SSP2"
"AZ",2037,8970,"SSP2"
"AZ",2038,9037,"SSP2"
"AZ",2039,9102,"SSP2"
"AZ",2040,9166,"SSP2"
"AZ",2041,9228,"SSP2"
"AZ",2042,9290,"SSP2"
"AZ",2043,9350,"SSP2"
"AZ",2044,9408,"SSP2"
