Quintile,year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
q1,2013,11544.00,9089.00,18887.00,10979.00,9369.00,12707.00,13857.00,14280.00,13738.00,9403.00,10626.00,9939.00,15213.00,11680.00,11724.00,11105.00,12808.00,12369.00,9356.00,8851.00,11541.00,15983.00,13072.00,10690.00,14285.00,7970.00,10895.00,10843.00,13056.00,12235.00,15675.00,14594.00,9075.00,11373.00,10544.00,12924.00,10756.00,10798.00,11566.00,11866.00,11655.00,9476.00,12522.00,10180.00,11708.00,15346.00,12360.00,14088.00,13201.00,9206.00,12671.00,14373.00
q2,2013,30919.00,24930.00,46024.00,29187.00,24025.00,34503.00,35333.00,39355.00,35785.00,35684.00,27846.00,28034.00,41293.00,29590.00,32735.00,28937.00,32289.00,31278.00,25224.00,24682.00,28000.00,44085.00,37606.00,28729.00,36760.00,21442.00,28263.00,27747.00,32119.00,31465.00,39590.00,40420.00,25054.00,32129.00,27466.00,33420.00,28510.00,27728.00,30071.00,30961.00,32020.00,26097.00,31053.00,26485.00,30820.00,37936.00,31352.00,37834.00,35301.00,23963.00,31455.00,35482.00
q3,2013,52717.00,43212.00,72626.00,48540.00,40561.00,60143.00,58843.00,67667.00,58148.00,68222.00,46188.00,48035.00,68217.00,46933.00,56302.00,47680.00,52505.00,51096.00,43697.00,44442.00,47018.00,73022.00,66974.00,48428.00,60637.00,38315.00,47075.00,47056.00,51778.00,51163.00,64232.00,70223.00,44213.00,57786.00,45940.00,56126.00,48198.00,45838.00,50425.00,52366.00,56432.00,44251.00,48992.00,44575.00,52039.00,59600.00,53020.00,63283.00,58752.00,41382.00,51670.00,58197.00
q4,2013,83937.00,69172.00,106954.00,76430.00,63796.00,97342.00,91527.00,107508.00,88893.00,116191.00,73012.00,76794.00,103251.00,70235.00,88688.00,73578.00,79395.00,78748.00,68905.00,73943.00,72975.00,111784.00,106310.00,75708.00,91502.00,61827.00,73041.00,72220.00,78111.00,77728.00,96056.00,111548.00,71438.00,94622.00,72486.00,86155.00,75777.00,71394.00,78752.00,82421.00,89284.00,70589.00,73505.00,70165.00,83563.00,87418.00,81725.00,100353.00,91158.00,65773.00,78774.00,87610.00
q5,2013,189718.00,150064.00,199299.00,166810.00,139983.00,223841.00,197344.00,260196.00,188411.00,284910.00,170967.00,172867.00,205939.00,144885.00,200593.00,154947.00,163379.00,170645.00,149430.00,163741.00,153362.00,235286.00,235246.00,162113.00,189503.00,134346.00,156930.00,156288.00,164207.00,167155.00,196410.00,248028.00,153220.00,228957.00,164092.00,180406.00,162405.00,154313.00,166659.00,180369.00,194709.00,149223.00,155658.00,159380.00,188979.00,175814.00,170390.00,217533.00,192055.00,138610.00,161890.00,163239.00
q1,2012,8775.00,16888.00,10983.00,9215.00,12521.00,13368.00,13928.00,14052.00,9877.00,10543.00,9713.00,14549.00,12063.00,11852.00,11342.00,12490.00,12565.00,9120.00,9013.00,11407.00,15822.00,12611.00,10443.00,14024.00,8044.00,10574.00,11208.00,12839.00,12323.00,15700.00,14554.00,9079.00,11153.00,10188.00,13063.00,10475.00,10338.00,10941.00,11826.00,10987.00,9534.00,12772.00,9874.00,11296.00,14668.00,13187.00,13889.00,13271.00,8970.00,12592.00,13739.00,2306.00
q2,2012,23941.00,41522.00,29061.00,23407.00,33835.00,34477.00,38840.00,35549.00,34812.00,27195.00,27382.00,40741.00,28396.00,32288.00,28875.00,31012.00,30829.00,24062.00,24061.00,28396.00,43097.00,36658.00,27786.00,35928.00,21039.00,27173.00,27093.00,31394.00,30731.00,39093.00,40106.00,24885.00,31647.00,26845.00,33124.00,27716.00,26527.00,29082.00,30316.00,31096.00,25495.00,30597.00,25593.00,29906.00,36386.00,32685.00,36985.00,35146.00,23089.00,31236.00,33598.00,10537.00
q3,2012,42001.00,67807.00,48047.00,40008.00,58604.00,57158.00,67388.00,58365.00,66916.00,45195.00,47351.00,66454.00,45801.00,55431.00,47168.00,50849.00,50144.00,41939.00,43188.00,46873.00,71416.00,65528.00,46967.00,58915.00,37235.00,45540.00,45246.00,50686.00,49736.00,63656.00,69602.00,43132.00,56735.00,45159.00,53758.00,46943.00,44581.00,49078.00,51344.00,54826.00,43462.00,48536.00,43089.00,50788.00,57123.00,53220.00,62121.00,57774.00,40100.00,51185.00,55285.00,19610.00
q4,2012,68058.00,101587.00,75312.00,63270.00,94597.00,88465.00,105935.00,88588.00,115082.00,71662.00,75543.00,98738.00,68879.00,86919.00,72509.00,76592.00,77027.00,67508.00,71582.00,71575.00,110288.00,104248.00,73694.00,88941.00,60514.00,71184.00,70723.00,76691.00,75509.00,95877.00,109323.00,70677.00,91802.00,71242.00,82436.00,73366.00,69669.00,76494.00,80341.00,87171.00,68593.00,73255.00,67910.00,81269.00,83733.00,80292.00,98167.00,88780.00,64090.00,77546.00,83810.00,33687.00
q5,2012,144088.00,195887.00,160800.00,134678.00,211240.00,188979.00,247890.00,175747.00,284111.00,166550.00,168126.00,188578.00,138442.00,189518.00,146468.00,151677.00,162523.00,141061.00,156710.00,147432.00,223401.00,227323.00,156263.00,183497.00,136553.00,152032.00,145684.00,153997.00,161920.00,188530.00,236831.00,148632.00,215867.00,155602.00,180095.00,155377.00,150374.00,158994.00,172872.00,179198.00,148128.00,148877.00,151269.00,180393.00,167465.00,163838.00,212043.00,184125.00,133195.00,157544.00,154658.00,81562.00
q1,2011,9122.00,17365.00,10479.00,8844.00,12502.00,12738.00,13851.00,14280.00,9483.00,10455.00,9560.00,14144.00,11179.00,11685.00,10808.00,12159.00,12259.00,8899.00,8423.00,11176.00,15580.00,12482.00,10362.00,13424.00,8067.00,10684.00,11400.00,12255.00,11865.00,15292.00,14559.00,8942.00,11024.00,10026.00,11600.00,10240.00,10140.00,10784.00,11566.00,11071.00,9343.00,12081.00,9595.00,11067.00,14054.00,13359.00,13913.00,13386.00,8766.00,12346.00,15428.00,2478.00
q2,2011,23818.00,42895.00,28077.00,22699.00,33307.00,33719.00,38253.00,36277.00,34821.00,26748.00,26901.00,39104.00,26955.00,31328.00,28084.00,30211.00,30216.00,23601.00,23231.00,27036.00,42297.00,35553.00,27235.00,34674.00,21343.00,27460.00,26849.00,30412.00,30457.00,37675.00,39315.00,24334.00,30853.00,26196.00,30529.00,27124.00,25850.00,28183.00,29595.00,30629.00,24957.00,29065.00,24818.00,29032.00,34926.00,32409.00,36996.00,34655.00,22260.00,30700.00,34555.00,10286.00
q3,2011,41605.00,68144.00,46871.00,38870.00,57726.00,55776.00,66114.00,59088.00,64317.00,44531.00,46159.00,62529.00,43711.00,53669.00,46440.00,49251.00,49144.00,41249.00,42014.00,46191.00,70015.00,63412.00,46174.00,57174.00,37180.00,45461.00,44276.00,50177.00,49234.00,62908.00,67962.00,42241.00,55513.00,44172.00,51538.00,45940.00,43432.00,47072.00,50159.00,54224.00,42744.00,48292.00,41983.00,49469.00,55603.00,52913.00,62262.00,57072.00,38537.00,50442.00,56141.00,18931.00
q4,2011,67148.00,98234.00,73568.00,62044.00,93144.00,87010.00,103747.00,90028.00,107517.00,70326.00,73400.00,94808.00,66773.00,84155.00,71015.00,74400.00,75579.00,65875.00,70565.00,72160.00,108093.00,101185.00,72759.00,85996.00,60610.00,70888.00,67308.00,76318.00,75860.00,94885.00,107295.00,69053.00,90138.00,70030.00,78664.00,71861.00,68056.00,73086.00,78132.00,86441.00,67501.00,73068.00,66868.00,79131.00,81130.00,79531.00,97558.00,87176.00,62545.00,75955.00,84016.00,32866.00
q5,2011,144348.00,186685.00,155638.00,133565.00,207562.00,185016.00,239273.00,182327.00,274747.00,162971.00,161750.00,183423.00,132490.00,184501.00,145040.00,148358.00,155529.00,140896.00,149876.00,147438.00,218638.00,217412.00,153098.00,176624.00,129572.00,152661.00,135125.00,158496.00,161182.00,187770.00,230209.00,152001.00,213691.00,154272.00,157695.00,150854.00,145096.00,154766.00,167038.00,178778.00,143213.00,143613.00,148738.00,175981.00,162038.00,157794.00,209473.00,178640.00,134237.00,152753.00,154288.00,79763.00
q1,2010,8844.00,16104.00,10974.00,9419.00,12865.00,12370.00,13969.00,13430.00,9062.00,10414.00,9961.00,14163.00,11041.00,12101.00,11190.00,12392.00,11757.00,9121.00,9341.00,11533.00,15827.00,12146.00,10498.00,13386.00,8249.00,10524.00,11437.00,12291.00,12184.00,15580.00,14775.00,9619.00,11232.00,9982.00,11540.00,10535.00,10222.00,11084.00,11320.00,10817.00,9476.00,11184.00,9469.00,11135.00,14402.00,11700.00,13916.00,13145.00,9180.00,12528.00,12988.00,2452.00
q2,2010,23509.00,39894.00,28753.00,23314.00,33901.00,32561.00,37716.00,34388.00,32500.00,27010.00,27052.00,38617.00,27203.00,31643.00,27573.00,29676.00,29538.00,23156.00,24304.00,27663.00,42268.00,35474.00,27069.00,33665.00,21213.00,26753.00,26615.00,29595.00,31123.00,38256.00,39826.00,24829.00,31059.00,26093.00,29154.00,27103.00,25679.00,28292.00,29036.00,29810.00,24707.00,28091.00,24750.00,28833.00,34885.00,29540.00,36344.00,33827.00,22291.00,30007.00,32988.00,10285.00
q3,2010,40576.00,64881.00,46994.00,38464.00,57985.00,54419.00,64256.00,56395.00,61035.00,44487.00,46477.00,63511.00,43715.00,53358.00,44830.00,48137.00,48349.00,39936.00,42909.00,46219.00,69260.00,62532.00,45438.00,55559.00,37042.00,44606.00,43074.00,48298.00,51058.00,61095.00,67926.00,42420.00,54621.00,43586.00,48644.00,45177.00,42435.00,46732.00,49225.00,52451.00,42196.00,45787.00,41679.00,48624.00,54674.00,49541.00,60662.00,55822.00,38276.00,48947.00,53912.00,18995.00
q4,2010,65131.00,98871.00,73019.00,61178.00,92059.00,84734.00,100813.00,85903.00,102994.00,69667.00,73540.00,95629.00,65774.00,83407.00,68956.00,72179.00,73623.00,64082.00,69637.00,70569.00,105987.00,98605.00,70456.00,83859.00,60140.00,69609.00,66547.00,73005.00,77411.00,91674.00,106139.00,68084.00,88453.00,68076.00,73802.00,70299.00,65497.00,72334.00,76648.00,82711.00,66289.00,70073.00,65502.00,77010.00,79618.00,75032.00,95513.00,84789.00,60668.00,74139.00,80207.00,33234.00
q5,2010,140828.00,186701.00,154452.00,129534.00,200513.00,178029.00,233617.00,172632.00,259204.00,157806.00,157806.00,185878.00,132698.00,179602.00,139706.00,142121.00,152202.00,135303.00,149390.00,140516.00,214475.00,211268.00,145398.00,170255.00,126309.00,146130.00,133656.00,144963.00,161373.00,180010.00,225745.00,143323.00,208266.00,147529.00,143303.00,145159.00,138829.00,149319.00,163160.00,173410.00,139156.00,141817.00,142774.00,168177.00,157301.00,153027.00,201605.00,171110.00,122456.00,146261.00,153453.00,81859.00
