Quintile,year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
q1,2015,9456.00,18458.00,11593.00,9803.00,13826.00,15334.00,14821.00,14900.00,11486.00,11520.00,11011.00,16453.00,11509.00,12783.00,12339.00,13263.00,12896.00,10003.00,9092.00,12043.00,17198.00,13630.00,11543.00,15495.00,8242.00,11882.00,11815.00,13521.00,12783.00,17417.00,14926.00,9407.00,11681.00,11233.00,14084.00,11536.00,11167.00,12630.00,12679.00,11150.00,10524.00,13100.00,10827.00,12773.00,16694.00,14203.00,14794.00,15000.00,9655.00,13982.00,14911.00,2142.00
q2,2015,25610.00,45286.00,31138.00,25196.00,37304.00,39105.00,41544.00,37469.00,39076.00,29671.00,30299.00,45373.00,29301.00,34705.00,31019.00,33480.00,33356.00,26414.00,25270.00,30190.00,46039.00,39862.00,30647.00,38915.00,22926.00,30240.00,29452.00,33447.00,32493.00,43145.00,41541.00,25761.00,33823.00,28682.00,35836.00,30449.00,28965.00,32413.00,33062.00,32786.00,28008.00,32446.00,28179.00,33101.00,40269.00,34516.00,39522.00,39175.00,24798.00,34182.00,36607.00,10031.00
q3,2015,44845.00,73491.00,51612.00,42291.00,64721.00,64031.00,71627.00,61563.00,75204.00,49237.00,51380.00,73382.00,48216.00,59389.00,50386.00,54770.00,54296.00,45099.00,45706.00,51472.00,76036.00,70843.00,51122.00,63595.00,40400.00,50145.00,48954.00,55215.00,52998.00,70240.00,72710.00,45230.00,60867.00,47962.00,60221.00,51110.00,48458.00,54374.00,55870.00,58622.00,47289.00,53266.00,47227.00,55762.00,63086.00,57362.00,66430.00,64346.00,42170.00,55734.00,60404.00,18745.00
q4,2015,72160.00,108123.00,80418.00,67253.00,104312.00,98394.00,113453.00,92863.00,126677.00,77532.00,81463.00,109589.00,74696.00,93969.00,77531.00,81771.00,83725.00,71685.00,76207.00,78480.00,116843.00,113107.00,80002.00,96069.00,66217.00,78181.00,75336.00,84453.00,81157.00,104852.00,116273.00,73526.00,99333.00,76534.00,93389.00,79949.00,75257.00,84035.00,87083.00,92938.00,74029.00,79273.00,74242.00,88622.00,92355.00,86821.00,104280.00,98683.00,67167.00,83855.00,90970.00,33442.00
q5,2015,159466.00,219022.00,178429.00,151830.00,238624.00,212709.00,265290.00,198807.00,320559.00,184351.00,183620.00,217683.00,155884.00,212652.00,164050.00,166895.00,181074.00,159776.00,168199.00,163489.00,243669.00,250489.00,174146.00,203367.00,139689.00,169879.00,164992.00,174903.00,173448.00,213023.00,259855.00,159814.00,243837.00,173167.00,203770.00,171357.00,167455.00,182269.00,191211.00,195979.00,161908.00,165528.00,169567.00,204050.00,186897.00,179608.00,227753.00,211062.00,139049.00,172742.00,181778.00,88365.00
q1,2014,9142.00,17950.00,11108.00,9962.00,13190.00,14379.00,14450.00,13777.00,9290.00,11022.00,10545.00,15349.00,11899.00,12246.00,11862.00,13031.00,12675.00,9346.00,9033.00,11434.00,16748.00,13189.00,11352.00,14750.00,8384.00,10959.00,11130.00,13386.00,12513.00,16891.00,15029.00,8938.00,11374.00,10851.00,13532.00,10926.00,11017.00,11792.00,12120.00,11215.00,10183.00,12376.00,10080.00,11873.00,15853.00,13086.00,14276.00,13990.00,9628.00,13338.00,14405.00,2196.00
q2,2014,24679.00,44826.00,30066.00,24932.00,35772.00,37312.00,40217.00,36584.00,35864.00,28649.00,29041.00,43045.00,29669.00,33817.00,30334.00,32861.00,32142.00,24980.00,25168.00,29304.00,44978.00,38574.00,29751.00,37609.00,22858.00,29017.00,28357.00,32782.00,31734.00,40716.00,41665.00,25437.00,32698.00,27952.00,35627.00,29102.00,28327.00,30825.00,31770.00,31624.00,26785.00,31231.00,26329.00,31422.00,39006.00,33016.00,38710.00,37237.00,24318.00,32677.00,34692.00,10198.00
q3,2014,43032.00,71820.00,49927.00,41581.00,62428.00,61474.00,70039.00,59745.00,71688.00,47561.00,49285.00,69415.00,47954.00,57774.00,49361.00,53789.00,52924.00,43418.00,44662.00,49250.00,74401.00,69277.00,49800.00,61787.00,39687.00,48324.00,46442.00,53114.00,51569.00,66715.00,72381.00,44929.00,58923.00,46677.00,58681.00,49254.00,47651.00,51308.00,53701.00,55414.00,45236.00,51096.00,44635.00,53559.00,61004.00,54371.00,65299.00,61494.00,41194.00,53141.00,57413.00,19033.00
q4,2014,69786.00,107757.00,78324.00,65540.00,100828.00,94702.00,111294.00,92541.00,119950.00,74942.00,78633.00,103161.00,73006.00,91112.00,74977.00,81183.00,81028.00,69318.00,74448.00,76855.00,114241.00,110953.00,77843.00,94054.00,64596.00,75448.00,72383.00,80603.00,78243.00,100866.00,114915.00,72721.00,96165.00,73845.00,89077.00,77313.00,74085.00,80022.00,84150.00,89868.00,71773.00,77475.00,71061.00,85882.00,89054.00,82500.00,102781.00,94349.00,64922.00,80927.00,87714.00,33331.00
q5,2014,150680.00,203119.00,171088.00,146449.00,230758.00,203607.00,268738.00,191215.00,280834.00,175375.00,176598.00,203363.00,158046.00,201945.00,155575.00,167227.00,176456.00,148222.00,165332.00,162366.00,234714.00,245028.00,165223.00,200922.00,138910.00,162096.00,153233.00,161910.00,161083.00,207921.00,251284.00,155325.00,233656.00,166170.00,198762.00,164665.00,161838.00,172103.00,183821.00,197611.00,155537.00,160721.00,161567.00,195048.00,182147.00,166893.00,221221.00,199020.00,134326.00,164680.00,167300.00,85120.00
