state,q1,q2,q3,q4,q5
Alabama,0.01,0.02,0.02,0.03,0.02703775
Alaska,0,0,0,0,0
Arizona,0,0.01,0.01,0.02,0.0226658
Arkansas,0,0.01,0.02,0.03,0.0346924
California,-0.01,0.01,0.01,0.02,0.0448971
Colorado,0,0.02,0.02,0.03,0.03342925
Connecticut,-0.01,0.01,0.03,0.04,0.04706785
Delaware,-0.04,0.01,0.03,0.05,0.0400045
District.of.Columbia,0,0.02,0.03,0.03,0.05482335
Florida,0,0,0,0,0
Georgia,0.01,0.02,0.03,0.03,0.0399228
Hawaii,0.01,0.03,0.03,0.04,0.0462841
Idaho,0,0.01,0.02,0.03,0.03754715
Illinois,0.01,0.03,0.03,0.04,0.0375182
Indiana,0.02,0.03,0.03,0.04,0.0372671
Iowa,0,0.02,0.03,0.03,0.0384807
Kansas,0,0.01,0.02,0.03,0.03773395
Kentucky,0.02,0.03,0.05,0.05,0.050606
Louisiana,0,0.01,0.02,0.02,0.02933375
Maine,-0.02,0.01,0.02,0.03,0.03861915
Maryland,0,0.03,0.04,0.05,0.0588441
Massachusetts,0,0.02,0.03,0.04,0.04001605
Michigan,0.01,0.02,0.03,0.03,0.0344073
Minnesota,0,0.02,0.03,0.04,0.0484478
Mississippi,0,0.01,0.02,0.02,0.025926
Missouri,0,0.01,0.03,0.03,0.0386919
Montana,0,0.01,0.03,0.03,0.0382022
Nebraska,0,0.01,0.02,0.03,0.0372353
Nevada,0,0,0,0,0
New.Hampshire,0,0,0,0,0.00108395
New.Jersey,-0.02,0,0.02,0.02,0.0373014
New.Mexico,-0.02,0,0.01,0.02,0.03176275
New.York,-0.02,0,0.03,0.04,0.0549582
North.Carolina,0,0.02,0.03,0.03,0.0362326
North.Dakota,0,0,0.01,0.01,0.010832
Ohio,0.02,0.02,0.03,0.03,0.0390283
Oklahoma,0,0.01,0.02,0.03,0.0320618
Oregon,0.02,0.03,0.05,0.05,0.0560554
Pennsylvania,0.03,0.04,0.04,0.04,0.03878235
Puerto.Rico,0,0,0,0,0
Rhode.Island,-0.01,0.01,0.01,0.02,0.03142825
South.Carolina,0,0.01,0.02,0.03,0.03698725
South.Dakota,0,0,0,0,0
Tennessee,0,0,0,0,0.00036835
Texas,0,0,0,0,0
Utah,0,0.02,0.03,0.04,0.040907
Vermont,0,0,0.01,0.02,0.034383
Virginia,0.01,0.02,0.03,0.04,0.04092045
Washington,0,0,0,0,0
West.Virginia,0,0.02,0.03,0.04,0.04529265
Wisconsin,0,0.02,0.03,0.04,0.04423035
Wyoming,0,0,0,0,0
